height_cm,arm_span_cm,leg_len_cm
172.6,170.0,81.6
163.9,167.4,77.9
167.3,166.2,77.7
144.3,144.1,68.0
190.0,188.6,91.6
181.9,181.3,84.6
164.2,165.6,78.1
174.8,174.8,83.6
172.3,172.9,80.7
166.4,164.9,75.9
180.0,175.9,86.5
167.0,167.7,78.7
166.4,167.6,76.6
163.2,161.4,75.3
175.1,174.7,82.7
169.4,168.6,79.9
174.0,174.2,81.3
165.7,163.4,76.9
173.3,173.3,80.9
159.1,158.9,75.9
181.9,178.8,84.6
173.0,172.2,79.1
172.6,172.2,83.5
171.2,173.4,82.3
160.9,157.8,76.8
178.7,176.6,86.8
189.7,190.6,90.1
150.9,154.1,70.6
154.4,151.4,72.2
154.1,159.5,72.3
177.7,177.6,83.8
175.6,171.5,79.6
184.0,180.4,87.1
178.7,176.6,83.2
171.4,174.1,79.7
173.8,172.1,81.0
164.9,170.3,78.0
178.8,180.4,84.5
157.6,157.1,73.9
163.9,167.3,76.8
170.1,171.5,81.8
188.8,192.1,88.4
162.5,161.8,76.9
159.4,157.8,75.9
165.6,161.5,76.8
178.4,177.8,84.2
165.8,166.8,79.0
180.6,181.7,87.5
150.8,149.4,70.6
182.4,180.2,85.8
180.1,180.0,85.1
156.8,158.0,73.2
169.8,169.0,81.4
181.5,181.3,85.4
169.7,169.4,80.0
178.1,177.7,85.0
196.5,191.8,91.2
174.0,171.4,81.5
166.1,168.3,79.1
161.1,162.0,76.1
176.4,175.7,82.6
165.9,168.9,78.2
168.9,168.6,80.9
167.0,168.6,80.4
175.9,177.1,82.1
157.8,158.1,73.8
154.0,155.6,74.2
143.7,146.4,69.3
179.6,181.4,86.1
169.3,168.9,81.5
184.1,187.4,86.1
169.5,170.1,80.0
162.7,167.2,77.0
177.1,173.8,80.5
170.5,170.5,78.8
157.1,156.8,74.5
162.2,161.5,76.7
186.6,188.9,88.2
175.7,172.3,82.1
175.0,174.0,83.7
165.2,167.5,78.2
164.2,163.3,75.2
180.1,179.8,84.4
164.9,170.5,79.1
161.3,163.7,77.5
167.9,169.1,79.5
158.1,160.4,74.7
170.3,170.2,83.4
179.9,180.2,85.1
162.4,160.8,76.3
184.7,185.3,87.8
167.3,162.8,77.4
170.9,169.7,80.9
163.4,162.6,76.4
167.9,166.6,78.8
170.9,169.3,78.8
163.9,165.3,77.6
160.1,163.7,76.3
162.1,159.6,76.4
162.9,160.1,76.0
156.7,154.6,71.5
168.3,166.8,80.0
174.8,172.7,83.6
177.8,178.3,82.3
178.8,178.5,83.2
196.6,193.9,91.6
172.4,174.3,79.0
165.4,166.6,78.1
187.2,188.0,88.7
161.7,160.2,74.4
180.3,179.0,84.2
160.3,159.5,76.3
174.2,171.9,83.0
151.0,151.6,70.4
178.4,178.4,85.2
166.6,167.6,79.1
158.4,158.6,75.3
184.2,189.5,87.7
178.3,178.8,83.9
173.8,170.3,79.5
160.0,161.5,76.6
169.8,167.3,80.6
169.0,168.8,79.5
175.8,177.7,84.8
178.3,175.9,86.7
161.7,165.1,74.6
166.3,165.7,77.3
163.8,163.2,76.8
156.7,155.7,72.8
165.1,163.4,75.7
168.4,169.3,79.6
174.2,176.7,83.2
182.4,180.7,86.0
163.1,164.1,75.7
175.4,176.0,82.2
165.9,167.4,75.4
189.1,192.6,91.5
169.7,169.2,79.5
176.1,175.5,81.6
160.7,161.7,75.6
164.8,163.0,75.3
171.7,171.8,78.8
164.6,165.2,79.0
171.1,173.6,80.1
156.1,153.2,72.0
176.5,175.8,83.4
162.5,158.0,76.9
187.9,187.3,89.8
169.6,165.6,78.7
182.9,180.1,84.7
155.5,156.0,72.6
174.7,174.8,83.2
162.7,164.0,77.3
163.3,165.4,78.1
172.4,168.1,79.5
168.6,167.0,79.4
174.1,171.7,80.9
177.2,178.1,83.3
177.0,175.5,83.0
167.4,168.1,80.2
156.5,155.6,73.5
161.1,161.0,77.0
168.2,165.3,80.3
148.0,147.8,69.9
177.9,177.5,81.4
169.4,169.4,77.1
165.5,167.0,78.9
180.9,178.9,84.7
173.7,177.5,85.5
169.0,173.0,81.1
159.8,162.4,74.8
173.1,174.0,82.5
174.1,173.4,82.8
158.7,163.2,75.3
180.3,182.7,85.7
175.3,174.4,81.4
152.2,150.5,69.2
171.1,168.7,81.8
158.1,156.8,72.3
179.9,180.0,86.6
177.8,177.7,84.7
158.3,158.2,75.3
162.2,160.9,76.5
169.5,170.9,81.1
166.4,168.4,76.7
186.1,185.6,86.6
180.1,176.6,83.1
167.7,165.2,79.5
176.2,177.6,81.8
149.2,151.8,69.1
174.7,172.4,81.2
179.5,179.5,85.6
170.8,165.9,77.7
163.4,160.6,75.1
174.2,175.3,83.5
188.7,191.8,87.7
170.6,170.5,81.4
156.9,157.5,73.9
186.4,186.9,85.7
152.4,148.4,70.2
