area_sqft,age_years,city,bedrooms,price
1326.0,6,Mumbai,3,8106000.0
1729.0,27,Pune,4,4377000.0
575.0,31,Pune,1,500000.0
1790.0,15,Nagpur,4,2543000.0
1183.0,36,Nagpur,3,500000.0
920.0,11,Nagpur,2,1113000.0
919.0,4,Pune,2,3020000.0
821.0,5,Mumbai,2,5057000.0
1122.0,38,Mumbai,2,4758000.0
1492.0,14,Mumbai,3,9255000.0
1404.0,13,Pune,3,4301000.0
1423.0,22,Mumbai,3,8019000.0
607.0,36,Mumbai,1,1244000.0
,0,Mumbai,1,3647000.0
1744.0,22,Mumbai,4,9874000.0
1539.0,22,Pune,3,4175000.0
1964.0,25,Mumbai,4,11755000.0
1623.0,8,Pune,4,5222000.0
,16,Mumbai,2,4655000.0
1650.0,6,Pune,4,4672000.0
1420.0,11,Nagpur,3,2426000.0
1275.0,6,Mumbai,3,7917000.0
913.0,2,Mumbai,2,5869000.0
1201.0,11,Nagpur,3,1578000.0
,4,Mumbai,3,6812000.0
1512.0,24,Pune,3,4072000.0
1244.0,12,Nagpur,3,1998000.0
1755.0,10,Mumbai,4,10754000.0
929.0,16,Mumbai,2,4762000.0
1365.0,26,Pune,3,3029000.0
1375.0,25,Pune,3,3560000.0
897.0,19,Mumbai,2,4982000.0
787.0,6,Mumbai,2,4881000.0
1555.0,14,Mumbai,3,9761000.0
1381.0,18,Pune,3,3848000.0
1143.0,38,Pune,3,1439000.0
1338.0,35,Mumbai,3,6982000.0
964.0,37,Mumbai,2,4165000.0
1283.0,13,Pune,3,3465000.0
988.0,8,Pune,2,3305000.0
1266.0,10,Pune,3,3951000.0
1545.0,18,Mumbai,3,8770000.0
1081.0,6,Mumbai,2,7048000.0
1497.0,22,Mumbai,3,8691000.0
838.0,35,Pune,2,722000.0
1099.0,13,Pune,2,2927000.0
722.0,7,Mumbai,2,4079000.0
1165.0,14,Mumbai,3,6474000.0
1228.0,6,Pune,3,4012000.0
,38,Pune,3,1811000.0
1106.0,3,Pune,2,3589000.0
1669.0,23,Nagpur,4,2194000.0
1698.0,31,Mumbai,4,9319000.0
775.0,37,Pune,2,500000.0
1611.0,28,Nagpur,4,1846000.0
597.0,13,Nagpur,1,611000.0
,37,Mumbai,2,4459000.0
1139.0,25,Pune,3,2348000.0
1239.0,22,Mumbai,3,7015000.0
833.0,21,Mumbai,2,4229000.0
947.0,4,Nagpur,2,1808000.0
1227.0,31,Pune,3,2793000.0
957.0,6,Pune,2,3102000.0
976.0,8,Mumbai,2,5777000.0
1433.0,20,Nagpur,3,1672000.0
1526.0,1,Pune,3,5105000.0
1179.0,32,Nagpur,3,500000.0
1206.0,32,Nagpur,3,500000.0
1193.0,6,Nagpur,3,1997000.0
1041.0,35,Mumbai,2,4768000.0
1021.0,21,Mumbai,2,5619000.0
837.0,1,Nagpur,2,1446000.0
1427.0,25,Mumbai,3,8004000.0
1171.0,35,Nagpur,3,500000.0
1152.0,15,Mumbai,3,6999000.0
1270.0,19,Pune,3,3374000.0
1386.0,6,Mumbai,3,9000000.0
1697.0,3,Pune,4,5835000.0
1104.0,0,Mumbai,2,7667000.0
1060.0,10,Nagpur,2,1583000.0
1270.0,27,Pune,3,2390000.0
904.0,6,Pune,2,2899000.0
1645.0,4,Pune,4,5229000.0
1524.0,20,Nagpur,3,1354000.0
1443.0,31,Mumbai,3,7865000.0
1158.0,39,Pune,3,1694000.0
1459.0,29,Nagpur,3,1370000.0
1568.0,15,Mumbai,3,9646000.0
1375.0,20,Pune,3,3551000.0
1102.0,27,Mumbai,2,6007000.0
610.0,16,Pune,1,1183000.0
1531.0,12,Mumbai,3,9365000.0
1076.0,36,Mumbai,2,4994000.0
905.0,5,Pune,2,2271000.0
1512.0,29,Mumbai,3,8446000.0
1318.0,39,Pune,3,1840000.0
703.0,28,Mumbai,2,3097000.0
1165.0,35,Mumbai,3,5598000.0
,22,Pune,2,2558000.0
1547.0,3,Pune,3,4991000.0
537.0,9,Pune,1,1803000.0
1065.0,10,Mumbai,2,5886000.0
1152.0,18,Pune,3,2898000.0
1697.0,21,Nagpur,4,2033000.0
821.0,1,Nagpur,2,1195000.0
350.0,29,Pune,1,500000.0
716.0,28,Mumbai,2,3118000.0
1292.0,12,Nagpur,3,2674000.0
1483.0,32,Mumbai,3,8153000.0
1807.0,2,Nagpur,4,3803000.0
1340.0,0,Mumbai,3,9062000.0
919.0,10,Pune,2,2238000.0
1510.0,4,Mumbai,3,9412000.0
1196.0,22,Mumbai,3,7031000.0
1130.0,4,Pune,3,3935000.0
,34,Mumbai,3,5760000.0
1646.0,6,Mumbai,4,10608000.0
884.0,0,Pune,2,3133000.0
842.0,39,Pune,2,945000.0
1177.0,28,Mumbai,3,6236000.0
1177.0,17,Nagpur,3,1247000.0
915.0,24,Pune,2,1987000.0
892.0,6,Nagpur,2,1356000.0
1332.0,13,Pune,3,4041000.0
1668.0,32,Nagpur,4,1413000.0
1450.0,18,Mumbai,3,7660000.0
1440.0,13,Pune,3,4717000.0
1636.0,1,Mumbai,4,10551000.0
503.0,15,Pune,1,1143000.0
671.0,19,Nagpur,1,500000.0
953.0,12,Nagpur,2,1130000.0
782.0,30,Nagpur,2,500000.0
,29,Pune,2,1796000.0
1224.0,12,Nagpur,3,1918000.0
750.0,23,Pune,2,1615000.0
1045.0,22,Pune,2,2435000.0
485.0,0,Mumbai,1,3497000.0
859.0,26,Pune,2,1516000.0
1671.0,33,Nagpur,4,1166000.0
,4,Mumbai,2,6260000.0
,7,Mumbai,3,8428000.0
1448.0,16,Nagpur,3,1745000.0
1028.0,36,Pune,2,1346000.0
,11,Pune,3,4225000.0
1275.0,25,Pune,3,3283000.0
1444.0,9,Mumbai,3,9530000.0
978.0,36,Pune,2,678000.0
696.0,23,Pune,2,1180000.0
,25,Nagpur,2,789000.0
1006.0,1,Pune,2,3078000.0
1388.0,26,Pune,3,2993000.0
1128.0,20,Pune,3,3090000.0
1060.0,34,Mumbai,2,5067000.0
1137.0,28,Mumbai,3,5730000.0
1585.0,2,Pune,4,5492000.0
999.0,8,Mumbai,2,6374000.0
1729.0,6,Nagpur,4,3305000.0
770.0,1,Nagpur,2,1677000.0
993.0,8,Mumbai,2,6192000.0
1499.0,34,Mumbai,3,8056000.0
,18,Nagpur,3,1895000.0
901.0,34,Mumbai,2,4085000.0
1162.0,34,Pune,3,1999000.0
952.0,13,Pune,2,2888000.0
1498.0,11,Nagpur,3,2420000.0
1389.0,33,Mumbai,3,7134000.0
950.0,15,Pune,2,2039000.0
1339.0,9,Nagpur,3,2083000.0
1071.0,7,Nagpur,2,1898000.0
1175.0,7,Pune,3,3665000.0
1223.0,36,Pune,3,2314000.0
1003.0,28,Pune,2,1521000.0
1349.0,3,Pune,3,4383000.0
1361.0,5,Pune,3,3924000.0
1349.0,10,Pune,3,4068000.0
1587.0,14,Mumbai,4,10007000.0
1105.0,28,Pune,2,2342000.0
681.0,25,Pune,2,791000.0
1029.0,28,Nagpur,2,638000.0
1270.0,10,Nagpur,3,2166000.0
1208.0,30,Mumbai,3,5997000.0
1403.0,0,Mumbai,3,9058000.0
1482.0,12,Pune,3,4223000.0
1159.0,36,Mumbai,3,5691000.0
1161.0,13,Mumbai,3,7126000.0
854.0,12,Mumbai,2,5093000.0
1562.0,14,Pune,3,4568000.0
1108.0,10,Mumbai,2,7321000.0
821.0,27,Pune,2,1212000.0
810.0,20,Pune,2,1792000.0
1055.0,20,Mumbai,2,5884000.0
1744.0,33,Pune,4,4439000.0
1470.0,26,Mumbai,3,7757000.0
607.0,16,Mumbai,1,3243000.0
1157.0,19,Mumbai,3,6515000.0
1292.0,21,Nagpur,3,1446000.0
1419.0,33,Nagpur,3,720000.0
1320.0,31,Pune,3,2571000.0
976.0,25,Mumbai,2,5351000.0
1344.0,38,Mumbai,3,6924000.0
1006.0,22,Mumbai,2,4981000.0
416.0,24,Nagpur,1,500000.0
952.0,19,Mumbai,2,5069000.0
960.0,32,Pune,2,1762000.0
1534.0,7,Pune,3,5094000.0
1570.0,9,Nagpur,3,2991000.0
834.0,19,Nagpur,2,613000.0
1261.0,9,Mumbai,3,7875000.0
1232.0,3,Nagpur,3,2238000.0
