city,rent
Pune,18065.0
Pune,14372.0
Delhi,17159.0
Pune,16982.0
Mumbai,43182.0
Mumbai,38416.0
Mumbai,39493.0
Delhi,17446.0
Pune,17242.0
Delhi,16172.0
Delhi,18438.0
Mumbai,42154.0
Mumbai,41248.0
Mumbai,38145.0
Delhi,15700.0
Delhi,18238.0
Delhi,16587.0
Delhi,16740.0
Delhi,14641.0
Pune,21901.0
Delhi,19833.0
Mumbai,38052.0
Pune,19816.0
Delhi,20685.0
Delhi,13221.0
Mumbai,38902.0
Delhi,17224.0
Pune,19297.0
Delhi,17757.0
Pune,17539.0
Pune,17883.0
Pune,21707.0
Delhi,22320.0
Mumbai,38950.0
Mumbai,38148.0
Mumbai,45385.0
Mumbai,38041.0
Pune,16853.0
Mumbai,40073.0
Delhi,18966.0
Pune,20058.0
Mumbai,40782.0
Pune,16255.0
Delhi,19013.0
Mumbai,40500.0
Pune,21754.0
Delhi,17970.0
Delhi,15326.0
Mumbai,37910.0
Pune,20900.0
Delhi,16920.0
Pune,13791.0
Mumbai,38839.0
Delhi,18000.0
Mumbai,42378.0
Pune,15971.0
Pune,19333.0
Pune,19591.0
Delhi,16601.0
Delhi,17625.0
Pune,21539.0
Pune,21441.0
Pune,19711.0
Delhi,18664.0
Delhi,20277.0
Mumbai,39719.0
Mumbai,39810.0
Mumbai,38279.0
Pune,18011.0
Delhi,17836.0
Mumbai,45547.0
Delhi,17614.0
Delhi,20542.0
Pune,20641.0
Delhi,17627.0
Delhi,20339.0
Delhi,13646.0
Delhi,18190.0
Delhi,19715.0
Pune,13204.0
Mumbai,37682.0
Mumbai,42112.0
Delhi,17486.0
Pune,15804.0
Pune,17253.0
Delhi,16915.0
Delhi,19449.0
Delhi,18908.0
Delhi,17440.0
Pune,16669.0
Mumbai,39892.0
Mumbai,42650.0
Delhi,18698.0
Mumbai,41278.0
Pune,17699.0
Delhi,15416.0
Pune,16578.0
Delhi,19302.0
Delhi,18206.0
Pune,16192.0
Pune,14764.0
Delhi,18221.0
Pune,17321.0
Pune,17299.0
Mumbai,39341.0
Mumbai,40568.0
Pune,18589.0
Pune,19924.0
Pune,19857.0
Mumbai,42664.0
Delhi,19613.0
Pune,17329.0
Delhi,17891.0
Mumbai,40988.0
Pune,17379.0
Delhi,19099.0
Delhi,20307.0
Pune,16398.0
Delhi,14459.0
Pune,20387.0
Pune,18036.0
Pune,19417.0
Mumbai,37335.0
Mumbai,43466.0
Pune,19477.0
Delhi,17748.0
Mumbai,39296.0
Mumbai,40228.0
Mumbai,39667.0
Delhi,17443.0
Delhi,15761.0
Pune,20526.0
Pune,17921.0
Mumbai,40149.0
Pune,18186.0
Mumbai,35284.0
Delhi,19054.0
Pune,17342.0
Delhi,17422.0
Delhi,18140.0
Delhi,16055.0
Mumbai,41687.0
Delhi,16608.0
Pune,16193.0
Pune,16276.0
Mumbai,40318.0
Delhi,19492.0
Pune,16810.0
Delhi,14980.0
Mumbai,42125.0
Delhi,15870.0
Pune,20390.0
Pune,17891.0
Pune,16603.0
Mumbai,38720.0
Pune,18924.0
Mumbai,41779.0
Pune,17604.0
Delhi,19894.0
Delhi,22174.0
Mumbai,39583.0
Pune,15701.0
Mumbai,37891.0
Pune,15219.0
Pune,16721.0
Mumbai,38552.0
Mumbai,37350.0
Mumbai,41060.0
Mumbai,34777.0
Mumbai,37358.0
Mumbai,44031.0
Pune,20076.0
Pune,19046.0
Delhi,18915.0
Mumbai,43542.0
Mumbai,41071.0
Delhi,18155.0
Delhi,15540.0
Pune,17853.0
Mumbai,38532.0
Mumbai,38588.0
Mumbai,38572.0
Mumbai,39911.0
Pune,17341.0
Mumbai,41742.0
Pune,15348.0
Mumbai,39661.0
Delhi,21719.0
Delhi,18078.0
Pune,20397.0
Mumbai,42274.0
Delhi,20633.0
Pune,19476.0
Pune,15239.0
Delhi,17465.0
Delhi,17239.0
Pune,14902.0
Mumbai,39072.0
Mumbai,37500.0
Delhi,14669.0
Delhi,18422.0
Pune,17913.0
Pune,16624.0
Pune,16099.0
Mumbai,38917.0
Delhi,17212.0
Delhi,17184.0
Mumbai,39895.0
Pune,17129.0
Delhi,18774.0
Mumbai,41046.0
Mumbai,40716.0
Mumbai,38674.0
Mumbai,38767.0
Pune,18870.0
Delhi,17606.0
Pune,17914.0
Pune,13016.0
Pune,12600.0
Delhi,18674.0
Mumbai,40659.0
Mumbai,42787.0
Delhi,19442.0
Delhi,18443.0
Pune,18033.0
Delhi,15147.0
Pune,19766.0
Delhi,16793.0
Mumbai,41005.0
Mumbai,40400.0
Delhi,18544.0
Pune,19785.0
Mumbai,39020.0
Pune,17226.0
Delhi,16288.0
Mumbai,39246.0
Mumbai,43332.0
Mumbai,39273.0
Delhi,20371.0
Pune,19652.0
Mumbai,41459.0
Pune,19606.0
Delhi,15971.0
Mumbai,40747.0
Delhi,21177.0
Pune,16608.0
Mumbai,39906.0
Mumbai,38622.0
Pune,18634.0
Mumbai,37843.0
Pune,21219.0
Pune,17246.0
Mumbai,36915.0
Mumbai,43582.0
Delhi,19941.0
Pune,19037.0
Pune,19065.0
Pune,17284.0
Mumbai,39553.0
Delhi,19448.0
Pune,19835.0
Delhi,19865.0
Pune,18425.0
Delhi,17067.0
Delhi,17616.0
Delhi,20219.0
Mumbai,42880.0
Delhi,17317.0
Delhi,17045.0
Delhi,20495.0
Pune,19447.0
Delhi,19395.0
Delhi,15375.0
Mumbai,39252.0
Delhi,16970.0
Pune,18416.0
Pune,14630.0
Mumbai,42544.0
Mumbai,40600.0
Mumbai,40870.0
Pune,15632.0
Mumbai,39947.0
Delhi,20669.0
Pune,14861.0
Delhi,18612.0
Pune,19398.0
Mumbai,38616.0
Pune,19629.0
Delhi,17340.0
Mumbai,42460.0
Pune,19055.0
Pune,18449.0
Delhi,22018.0
Mumbai,41664.0
Delhi,20617.0
Pune,15621.0
Mumbai,38707.0
Delhi,19673.0
Pune,19811.0
Pune,17889.0
