f1,f2,target
1.105,-0.1901,2.9108
2.0474,-0.9581,-4.0941
-0.6371,-2.0613,-6.3051
-0.4247,1.358,-1.66
-1.2548,-0.9775,-3.265
-1.8746,-0.1048,1.9592
2.6924,2.7672,-0.7268
0.2997,0.8702,3.5186
-2.5738,-1.4922,2.1794
0.3229,-0.0414,2.3997
-0.9211,1.7795,-2.2633
2.7565,0.5336,-1.9061
0.1602,1.096,1.8004
-1.579,2.3999,2.1984
2.1467,1.5072,-1.9523
-2.5794,1.6253,5.6306
2.8619,-0.0372,-1.435
-1.8139,0.9526,3.5224
0.7154,-1.7554,2.8327
2.6205,0.5262,-3.035
-0.9765,-2.0976,-5.3644
1.19,-2.8742,-0.2231
1.0324,-2.0158,1.4371
0.725,-2.073,2.1851
-1.1954,0.8672,-2.398
0.6541,1.5752,5.5434
0.5726,-1.7764,1.9927
2.3602,-1.4535,-4.6747
0.623,-1.4199,2.477
-1.8197,1.1136,2.7316
-0.4477,-1.9981,-4.6132
-0.2611,1.4116,-0.3191
-2.5889,2.067,5.5623
1.4091,-1.4563,-0.4202
1.8956,1.6494,-1.0344
2.1224,2.046,-0.6735
-2.4893,1.5112,6.9325
0.9135,1.1635,5.157
-2.1001,-1.5933,2.2317
-2.7311,1.754,4.4642
1.1642,1.7937,4.8217
2.4326,-1.1208,-4.2308
-2.4138,-0.3845,3.745
2.2354,0.9972,-3.0306
1.5892,1.2684,1.4203
-2.9107,1.7033,3.5351
-0.1253,2.2012,1.5748
-2.8549,-0.786,1.7102
1.0093,-1.4358,1.4203
0.8924,-1.2945,3.0668
2.618,1.1009,-2.5581
-0.6435,-1.3727,-4.8606
-2.6064,0.2319,3.5445
-0.3022,-2.4816,-4.4361
1.2726,0.2764,2.4178
-1.634,-2.2234,-1.6256
2.562,-0.9513,-4.703
-1.5155,0.6529,-0.159
-1.6528,-0.6069,0.7227
0.2485,-1.0465,1.2548
0.3635,2.6034,5.5056
-2.0047,-1.6105,2.2277
0.0272,2.551,2.7151
-2.2255,0.7612,5.6623
1.5384,-0.9501,-0.4511
1.9602,2.3359,-0.4793
2.5059,2.5661,-1.4404
-0.639,-1.7949,-5.136
0.8972,-2.6138,1.0298
0.0959,-0.1282,0.5402
-1.1862,-1.8324,-4.5832
1.8524,2.6715,0.9277
1.4369,2.7401,4.2731
2.7859,-1.9389,-4.2211
-1.6188,1.9002,2.7199
-2.1945,2.7112,5.8026
-1.2342,1.3689,-1.0816
-2.117,-1.1381,2.5155
2.6806,-1.7187,-4.4159
-1.6538,0.9124,1.4351
-2.9295,0.6017,2.133
-1.4714,2.9272,1.4416
-1.5431,0.597,0.207
-2.6498,2.8815,6.4352
0.1069,2.6332,3.9134
2.4746,-2.6682,-6.9203
-1.7286,-2.1831,-1.6074
-2.4648,1.524,5.6005
0.4384,-0.3912,2.6893
0.426,1.0807,4.0861
-2.4991,-0.9909,2.1484
1.7757,0.5558,-0.2852
-1.9067,-2.3672,-0.2126
-2.4681,-0.7109,2.7618
0.2048,-2.2721,-0.2134
-2.4877,0.2265,4.062
1.4945,-2.1524,-1.216
0.8749,-1.2047,3.0431
1.7893,1.2439,0.0754
-2.7677,-2.5677,-0.1987
-2.3379,-0.8053,2.9687
0.4195,-2.1692,0.3177
1.6209,-0.5471,-0.7904
0.816,-2.9836,1.0628
-2.6345,-1.1236,2.7319
0.1949,-2.8787,-1.0925
-0.0512,2.3579,1.3705
2.3141,-1.401,-5.6271
2.2619,-2.1163,-6.6043
-2.1635,-0.1976,3.884
-0.0007,-1.1048,-0.7129
-1.0599,1.8609,-2.2002
2.7812,1.6239,-1.4145
-2.5003,-2.9384,0.7693
-0.4105,-0.2193,-3.7283
1.4382,-1.3153,-0.5555
-2.9236,-0.8674,0.7308
1.5762,-0.5194,-1.0505
1.9256,2.2489,-1.1442
2.9295,-2.2942,-3.4494
-0.1003,0.7346,0.235
1.7386,2.8272,1.7061
2.8257,-0.7291,-4.2133
-1.4754,0.3073,-0.594
-1.511,-1.3716,-2.5259
0.4681,2.347,5.7841
-2.8828,1.5007,3.8196
1.9004,-0.4951,-2.1742
-1.0168,-2.4892,-6.4393
-1.2945,-1.9937,-3.9398
0.4664,2.5338,6.1333
-1.6895,-1.7766,-0.9319
0.0774,-2.7717,-2.5788
-0.5788,0.4,-3.4288
-0.492,-0.1244,-3.5578
1.2461,-2.6616,0.1505
-0.0355,0.9181,0.186
-0.3366,0.6669,-2.4107
0.7035,0.5826,4.6062
-1.4255,-0.0609,-0.6212
-1.6121,-1.0387,-0.7183
-2.3837,0.6834,4.1071
-1.2879,0.4212,-1.6084
-0.9314,-2.2215,-5.4369
-0.5897,0.4435,-3.3626
-1.0422,-2.0308,-5.9954
-1.9092,-1.3616,1.1117
-0.225,-1.0289,-3.0051
-2.9675,-1.8223,-0.6648
-2.3614,2.8652,6.957
2.0435,1.0694,-2.5403
2.315,2.1323,-1.5365
2.8713,-2.4758,-4.1606
2.2092,-1.2311,-4.9448
-2.1257,0.4691,4.3398
1.6768,0.9997,0.2841
-0.3574,-0.6199,-2.246
-0.8457,-0.6727,-4.4671
0.3049,2.7367,4.7063
1.8878,-1.2552,-3.4383
-1.7587,0.9404,2.8297
-0.544,2.3243,-1.3776
0.8226,0.2127,4.7544
2.9893,-0.7194,-1.9066
-2.008,0.8937,3.9757
-2.4299,1.7879,5.2136
1.7285,-0.2378,-1.5968
1.8919,-1.4574,-3.0094
1.8321,-2.8615,-4.482
-2.011,-1.757,0.9858
2.6513,0.6259,-2.3752
0.1516,2.0241,3.1961
2.9353,-1.5124,-2.9464
0.1871,0.6835,2.2782
-1.8115,0.5248,2.3725
-0.2528,-1.6834,-3.6521
-0.6029,-2.1677,-5.0334
-1.3184,1.9295,-0.1399
-1.5007,0.65,-0.0931
2.0286,0.2916,-2.9762
2.8959,-2.4392,-4.3573
1.8683,0.6065,-1.8504
-0.4177,2.0317,-0.9714
2.0241,1.7931,-1.5818
1.5138,-1.812,-1.5479
-2.6723,-1.0815,2.828
-1.4191,-2.0123,-3.1359
-0.6193,-2.6135,-6.3561
2.7497,0.4453,-2.7355
-1.0489,2.5325,-1.0043
-0.8009,-1.5241,-6.0505
1.7833,-2.5038,-3.906
1.862,0.0118,-2.0204
-0.1636,1.4188,-0.214
-1.4315,-2.3796,-3.672
1.6673,-1.6527,-2.5116
-1.571,0.4013,0.1953
1.7718,0.3897,-1.5198
-2.6471,0.5283,3.75
-0.5621,0.9594,-2.4411
-1.7554,2.2023,3.5522
-0.5901,-0.1601,-3.8393
2.7021,0.1105,-2.7898
1.8251,-0.884,-2.4483
-1.875,-1.2794,1.511
1.5272,-0.4001,-0.4091
-0.0957,1.638,1.031
-0.7112,-1.4857,-5.8329
2.1502,-0.2519,-3.9382
-1.5493,-0.0761,-0.3952
-0.6382,-2.8108,-6.428
2.8883,-0.9873,-3.3751
0.5953,-0.0034,3.9337
-2.2096,1.9829,5.8337
2.0044,1.125,-0.9448
-2.5427,1.1751,4.799
-0.9693,-1.1816,-5.1885
2.2588,2.9883,-1.2191
-0.9101,2.8263,-1.17
0.9282,-2.7677,1.418
1.7925,-0.6233,-2.292
2.5786,-0.5716,-4.032
-2.5554,0.7097,3.3658
1.8333,0.2283,-1.8881
1.273,1.1117,2.9311
0.2822,1.698,3.7756
0.0935,0.4724,1.0699
0.3789,2.3906,5.4454
-0.5426,-2.2178,-5.1987
1.7012,-1.0663,-1.8772
2.212,0.3,-3.9903
-1.7422,0.8764,2.8818
-1.0433,2.6514,-1.1402
0.2633,0.7835,3.4117
-1.3924,0.3083,-1.1084
2.5752,-0.3554,-4.327
-1.3614,1.7023,-0.3523
-0.8505,-2.5738,-6.3973
0.0132,1.7526,1.4175
-2.6979,2.4117,4.9252
-1.7475,2.9083,4.0761
1.5472,2.4781,2.6318
0.6116,2.1928,5.8871
-0.1985,-1.0872,-3.0997
-2.3252,1.1935,4.6854
1.5642,0.5059,0.087
1.9934,2.3858,-1.048
1.2845,-0.3855,1.7718
1.0959,1.2612,4.1023
0.8061,-1.5324,2.8449
0.1355,0.2727,1.4618
1.2722,2.4376,4.7701
0.254,1.2272,2.9823
2.843,-2.7886,-4.764
-2.5922,-1.5061,1.7818
0.4189,0.5975,3.3141
-1.0244,1.4146,-2.6684
-2.6171,2.8957,5.5004
1.4021,-0.9333,-0.5707
-1.7432,-2.945,-0.9238
-2.8402,-1.1732,1.4579
2.7029,-2.1805,-5.0822
0.0082,2.1738,2.3633
-0.0849,1.1066,1.0169
2.9705,0.8844,-0.0797
2.5808,-2.8349,-6.8824
-2.7481,-1.4688,1.933
2.7056,-1.5604,-4.9755
-2.9307,2.883,4.8951
2.7297,0.029,-2.708
-2.3529,-1.0389,3.485
1.3095,1.9247,3.8828
1.0105,-0.7605,2.5808
2.9928,-1.9555,-3.6663
-1.6435,0.2399,0.6911
1.1899,-1.555,0.8907
-2.6432,-1.5494,2.2503
0.7529,1.5496,5.9648
0.3489,-0.9458,1.5292
1.2147,-2.1204,0.383
2.0179,0.4711,-2.7084
1.8173,2.8961,1.7802
-1.6537,2.436,2.9965
1.7454,-0.0682,-1.4277
1.5142,-1.8498,-1.8359
0.888,-2.5721,1.0084
-2.1233,2.6028,6.1801
-0.0644,-2.3426,-1.9649
-0.8617,-0.4277,-4.2642
1.4919,0.3888,1.4187
-1.5268,1.5968,1.2595
0.3216,-0.083,2.082
-0.3895,2.6134,-0.6853
-2.3096,-2.8855,1.0698
0.2088,-1.2875,0.1442
1.1112,0.6409,4.1068
-2.1141,1.4735,4.7886
2.6147,-1.842,-5.0628
1.6604,1.7033,1.1977
1.2965,-0.8386,1.6578
1.1132,2.7607,6.2449
0.0364,-1.0076,-0.74
