age,income,high_value
41.5,31079.0,0
38.4,25878.0,0
47.7,54219.0,1
41.3,116938.0,1
33.6,66939.0,0
44.3,79073.0,1
55.6,65318.0,1
51.4,79575.0,1
31.6,26423.0,0
24.8,49237.0,0
32.5,66534.0,0
40.5,59552.0,1
12.1,55200.0,0
37.4,43353.0,0
25.0,53540.0,0
31.2,40645.0,0
33.5,-546.0,0
36.2,30137.0,0
44.9,71891.0,1
52.5,98927.0,1
38.5,105340.0,1
56.4,62419.0,1
32.0,82335.0,1
44.2,82699.0,1
50.8,42694.0,1
41.1,17552.0,0
31.1,60772.0,0
28.9,15945.0,0
34.5,52002.0,0
42.6,75203.0,1
27.9,24498.0,0
37.5,60807.0,0
38.1,91000.0,1
46.5,69038.0,1
42.6,73058.0,1
44.3,82669.0,1
32.2,103324.0,1
38.4,63786.0,1
49.4,90738.0,1
57.9,58396.0,1
24.9,46346.0,0
58.2,67871.0,1
56.2,44855.0,1
49.4,45672.0,1
43.2,44806.0,0
36.2,2614.0,0
57.5,62637.0,1
63.5,28404.0,1
61.6,57318.0,1
55.8,96249.0,1
44.3,46975.0,0
25.5,46450.0,0
39.9,94098.0,1
47.9,73658.0,1
24.5,84413.0,0
44.7,51118.0,1
45.2,78702.0,1
48.4,42846.0,1
25.8,43100.0,0
32.1,74906.0,1
34.8,45041.0,0
26.0,79178.0,0
60.9,119792.0,1
34.0,17846.0,0
43.9,41195.0,0
36.9,88004.0,1
59.0,56373.0,1
55.8,89027.0,1
47.6,34748.0,0
13.6,68284.0,0
40.6,56236.0,0
48.2,63509.0,1
52.0,68278.0,1
32.6,29500.0,0
61.9,33147.0,1
24.2,94981.0,1
32.1,67330.0,0
51.2,62659.0,1
40.6,58898.0,1
64.0,68914.0,1
42.3,31102.0,0
32.4,35024.0,0
35.5,92613.0,1
26.9,63782.0,0
24.7,81258.0,0
47.6,44858.0,1
47.0,94418.0,1
55.5,68632.0,1
30.9,72031.0,0
60.3,73718.0,1
36.6,40075.0,0
58.9,13357.0,0
34.8,33130.0,0
31.2,100763.0,1
43.0,92517.0,1
52.4,51327.0,1
41.9,52458.0,0
33.0,85915.0,1
23.9,55790.0,0
23.2,27519.0,0
46.0,91639.0,1
51.9,71929.0,1
38.0,-2908.0,0
27.1,52170.0,0
50.5,63592.0,1
24.6,72031.0,0
31.4,63804.0,0
47.5,44106.0,1
13.0,57106.0,0
44.6,67370.0,1
33.0,53300.0,0
41.3,50702.0,0
39.1,91302.0,1
42.4,36335.0,0
48.3,51263.0,1
30.9,9218.0,0
57.1,73524.0,1
48.7,80707.0,1
50.1,73712.0,1
54.0,82942.0,1
49.5,71018.0,1
50.1,68563.0,1
40.9,71849.0,1
22.9,53317.0,0
38.4,89708.0,1
30.8,51286.0,0
22.9,23441.0,0
43.1,81245.0,1
33.2,106268.0,1
27.6,35996.0,0
27.5,57459.0,0
43.2,42864.0,0
44.3,50485.0,1
55.9,61152.0,1
39.8,28955.0,0
52.5,53059.0,1
56.8,23351.0,0
53.8,45794.0,1
11.6,30348.0,0
54.7,33523.0,1
44.1,17002.0,0
45.1,90484.0,1
44.5,72726.0,1
44.6,12063.0,0
43.8,45079.0,0
35.7,43239.0,0
17.2,42726.0,0
38.7,23828.0,0
30.4,78860.0,1
53.0,50103.0,1
36.5,71704.0,1
41.0,73169.0,1
29.8,94386.0,1
33.9,14628.0,0
39.9,103465.0,1
22.2,91720.0,0
43.6,74327.0,1
38.7,119590.0,1
25.8,65124.0,0
11.2,80537.0,0
46.2,41540.0,0
36.4,88359.0,1
33.6,64196.0,0
37.2,48720.0,0
61.8,112923.0,1
39.4,52380.0,0
41.0,60222.0,1
22.2,55068.0,0
59.8,41108.0,1
51.0,73282.0,1
52.8,78460.0,1
40.6,68859.0,1
51.0,986.0,0
44.5,85200.0,1
47.4,51244.0,1
38.2,29592.0,0
22.3,75082.0,0
52.3,74071.0,1
16.8,33923.0,0
37.1,121811.0,1
37.5,29759.0,0
27.5,16675.0,0
47.4,31146.0,0
37.6,95520.0,1
34.8,55604.0,0
46.2,50699.0,1
34.3,58446.0,0
56.7,45085.0,1
44.2,42743.0,0
34.3,43970.0,0
16.7,77699.0,0
24.3,85511.0,0
53.0,33623.0,1
39.4,65981.0,1
36.6,79705.0,1
59.7,32956.0,1
24.6,47436.0,0
33.0,34048.0,0
34.3,27724.0,0
47.0,62547.0,1
32.0,41597.0,0
32.6,75778.0,1
20.7,59264.0,0
48.8,70316.0,1
49.7,52693.0,1
34.3,44125.0,0
42.0,57733.0,1
24.5,59875.0,0
34.3,42354.0,0
56.5,70665.0,1
41.6,78665.0,1
67.7,63952.0,1
30.6,102837.0,1
47.0,44192.0,0
37.7,73015.0,1
46.8,49782.0,1
39.9,65866.0,1
33.3,39251.0,0
29.6,87878.0,1
76.8,64401.0,1
39.1,89806.0,1
15.8,28348.0,0
32.2,47662.0,0
48.1,37686.0,0
34.0,46701.0,0
56.3,42685.0,1
52.0,56986.0,1
38.2,59569.0,0
34.3,58975.0,0
27.9,46112.0,0
31.6,64686.0,0
22.3,81890.0,0
54.5,37443.0,1
59.1,60022.0,1
24.9,58148.0,0
25.8,71709.0,0
18.8,58404.0,0
28.4,59608.0,0
2.7,35223.0,0
26.3,60543.0,0
55.6,36953.0,1
35.9,72893.0,1
50.3,57420.0,1
34.1,60996.0,0
61.1,37720.0,1
42.4,80094.0,1
35.4,77308.0,1
70.6,81538.0,1
36.1,115685.0,1
25.3,58687.0,0
42.4,90085.0,1
39.5,56904.0,0
52.8,69852.0,1
28.9,69133.0,0
49.7,66615.0,1
50.2,76456.0,1
32.0,52402.0,0
42.0,61023.0,1
30.0,73383.0,0
68.1,103696.0,1
31.6,38941.0,0
34.6,14847.0,0
27.2,47898.0,0
35.8,62248.0,0
39.9,64374.0,1
49.2,62305.0,1
32.7,89570.0,1
37.8,84401.0,1
23.0,58768.0,0
30.1,48261.0,0
73.1,51350.0,1
52.5,51092.0,1
30.6,54360.0,0
24.0,20684.0,0
28.3,48474.0,0
39.7,49378.0,0
40.4,55278.0,0
31.1,53642.0,0
24.6,76800.0,0
57.1,46701.0,1
45.4,49036.0,1
35.5,73548.0,1
37.4,54117.0,0
33.6,65411.0,0
4.8,76733.0,0
41.4,70549.0,1
27.2,66254.0,0
28.0,55089.0,0
32.3,77047.0,1
48.8,64389.0,1
26.0,47379.0,0
22.8,56230.0,0
47.7,29547.0,0
49.1,35961.0,0
28.5,12927.0,0
46.7,43002.0,0
36.5,93389.0,1
43.6,46088.0,0
24.9,79689.0,0
50.0,59914.0,1
54.4,42486.0,1
47.6,93457.0,1
46.7,74555.0,1
-5.3,16205.0,0
43.1,86035.0,1
39.7,33130.0,0
38.2,55552.0,0
32.4,76703.0,1
40.7,52504.0,0
44.9,87974.0,1
36.8,79032.0,1
34.4,20578.0,0
54.8,48189.0,1
26.7,67052.0,0
52.4,45625.0,1
42.1,54593.0,1
30.3,79995.0,1
36.5,67920.0,1
29.0,36985.0,0
48.1,64365.0,1
44.2,44693.0,0
33.3,29620.0,0
26.8,31749.0,0
43.6,67174.0,1
51.5,59297.0,1
38.6,60136.0,0
45.0,31345.0,0
35.5,55402.0,0
40.8,34071.0,0
36.5,36840.0,0
43.5,55872.0,1
21.9,25415.0,0
47.7,76732.0,1
37.2,122172.0,1
44.3,71471.0,1
35.9,33927.0,0
43.8,53220.0,1
27.1,21114.0,0
54.3,50560.0,1
19.6,72683.0,0
27.5,74735.0,0
42.8,34206.0,0
57.6,67479.0,1
43.3,88910.0,1
37.0,103877.0,1
22.9,42480.0,0
37.7,38395.0,0
39.8,61360.0,1
60.3,-13202.0,0
47.5,46724.0,1
21.7,53226.0,0
64.3,48516.0,1
35.3,20403.0,0
29.4,53861.0,0
57.7,40585.0,1
39.4,78937.0,1
35.6,37038.0,0
42.6,52941.0,0
50.1,54176.0,1
51.9,74189.0,1
23.5,-3648.0,0
64.0,51484.0,1
51.4,78990.0,1
35.4,50958.0,0
30.2,21827.0,0
28.4,68165.0,0
41.5,68417.0,1
32.2,53238.0,0
30.8,31005.0,0
49.7,41483.0,1
44.4,52156.0,1
35.3,38112.0,0
48.8,11996.0,0
56.4,40768.0,1
26.9,58456.0,0
32.8,47323.0,0
51.3,58111.0,1
48.6,62091.0,1
42.7,82414.0,1
53.9,115096.0,1
26.9,78294.0,0
22.3,24892.0,0
29.6,-6424.0,0
41.5,57638.0,1
30.4,61785.0,0
34.2,30953.0,0
28.3,66801.0,0
32.6,40827.0,0
27.9,70067.0,0
44.4,51862.0,1
49.5,69937.0,1
34.2,16420.0,0
37.5,49038.0,0
33.0,56285.0,0
46.4,24378.0,0
41.1,107058.0,1
59.1,46481.0,1
26.9,94749.0,1
44.4,43391.0,0
45.3,54251.0,1
35.7,89598.0,1
47.0,67596.0,1
22.7,64801.0,0
65.4,66649.0,1
23.9,25846.0,0
51.0,50261.0,1
26.5,36089.0,0
53.8,64935.0,1
35.4,46400.0,0
41.9,58899.0,1
40.6,58068.0,1
53.2,59091.0,1
36.1,59131.0,0
4.4,43691.0,0
30.9,33650.0,0
42.2,43391.0,0
34.7,86788.0,1
49.2,69354.0,1
52.2,74674.0,1
38.2,94499.0,1
22.1,30514.0,0
56.6,72749.0,1
53.0,33123.0,1
36.4,51642.0,0
65.3,72106.0,1
35.8,100359.0,1
26.4,40446.0,0
38.1,57630.0,0
52.9,88906.0,1
28.8,22755.0,0
63.4,69053.0,1
29.2,52293.0,0
51.5,37958.0,1
46.5,63666.0,1
38.2,74873.0,1
53.0,37198.0,1
22.0,69500.0,0
56.3,64334.0,1
39.2,28955.0,0
33.5,98835.0,1
49.0,87248.0,1
52.7,38502.0,1
49.2,45334.0,1
64.0,79270.0,1
53.0,47614.0,1
55.4,14007.0,0
33.5,86222.0,1
41.3,60220.0,1
46.8,107676.0,1
39.8,68937.0,1
43.6,64775.0,1
45.1,131863.0,1
50.1,55703.0,1
38.8,36205.0,0
35.8,65730.0,0
30.1,88394.0,1
29.3,30872.0,0
54.1,37293.0,1
39.0,71244.0,1
49.4,-19934.0,0
24.4,32683.0,0
16.7,79887.0,0
27.4,45332.0,0
53.8,19338.0,0
52.8,108139.0,1
44.0,24737.0,0
30.4,46916.0,0
38.4,50682.0,0
36.4,62079.0,0
35.9,50762.0,0
9.9,57976.0,0
29.7,61437.0,0
37.7,57833.0,0
58.2,62332.0,1
41.9,527.0,0
56.8,71027.0,1
35.3,24889.0,0
37.0,5834.0,0
-6.8,94534.0,0
45.6,27862.0,0
46.6,64497.0,1
61.2,40686.0,1
34.2,43038.0,0
41.1,72091.0,1
31.5,33794.0,0
25.9,69317.0,0
31.4,69517.0,0
35.9,89111.0,1
56.3,51595.0,1
40.0,86165.0,1
30.5,103017.0,1
41.7,99667.0,1
42.6,74652.0,1
31.9,71229.0,0
53.7,131236.0,1
17.3,115804.0,1
37.4,40835.0,0
48.0,83090.0,1
23.9,75049.0,0
44.3,61807.0,1
55.5,63833.0,1
45.4,72195.0,1
19.7,83434.0,0
31.3,65469.0,0
54.8,68495.0,1
43.6,94804.0,1
39.9,67943.0,1
45.3,73626.0,1
48.7,84756.0,1
31.5,100832.0,1
36.5,90676.0,1
41.7,69430.0,1
33.5,65195.0,0
38.4,29410.0,0
55.6,67302.0,1
28.4,34071.0,0
63.1,34399.0,1
62.6,76263.0,1
19.4,57486.0,0
38.3,71805.0,1
44.1,44326.0,0
30.9,90030.0,1
31.1,63594.0,0
37.2,89693.0,1
48.9,76836.0,1
33.9,64131.0,0
61.9,48037.0,1
43.5,60788.0,1
38.8,80700.0,1
57.4,77441.0,1
47.5,30110.0,0
44.4,85642.0,1
36.0,54652.0,0
61.8,80382.0,1
49.7,42563.0,1
37.6,75946.0,1
21.1,40085.0,0
44.5,63234.0,1
26.3,52549.0,0
19.4,52861.0,0
36.7,45835.0,0
43.4,56161.0,1
55.4,16484.0,0
43.4,81915.0,1
49.7,84042.0,1
25.3,48931.0,0
39.7,25506.0,0
41.5,43832.0,0
50.3,83690.0,1
41.4,75638.0,1
49.6,52491.0,1
33.9,82432.0,1
44.3,33963.0,0
45.0,44684.0,0
25.0,71865.0,0
42.1,57602.0,1
36.2,45269.0,0
17.2,-2803.0,0
51.5,76780.0,1
35.7,68093.0,1
29.8,16427.0,0
35.5,75008.0,1
41.7,59641.0,1
58.1,66971.0,1
38.0,83630.0,1
45.7,41503.0,0
56.5,77839.0,1
46.4,77096.0,1
52.8,79038.0,1
34.3,100899.0,1
49.3,76468.0,1
39.3,45961.0,0
52.9,104960.0,1
28.0,32317.0,0
30.6,48432.0,0
55.2,35888.0,1
37.6,57431.0,0
35.7,87055.0,1
40.9,92445.0,1
31.7,71588.0,0
56.0,44765.0,1
25.0,46159.0,0
38.2,44920.0,0
44.2,83821.0,1
38.7,37337.0,0
30.4,81613.0,1
29.6,59185.0,0
45.1,64301.0,1
27.6,97793.0,1
47.8,48117.0,1
21.7,101543.0,1
33.3,24764.0,0
40.4,39381.0,0
25.0,20540.0,0
47.8,41330.0,0
39.8,74572.0,1
