signup_order,spend
0,240.49
1,220.55
2,173.48
3,207.15
4,210.4
5,194.87
6,220.82
7,193.08
8,178.74
9,155.04
10,125.71
11,215.02
12,150.37
13,190.45
14,213.84
15,180.22
16,195.09
17,188.64
18,158.09
19,167.04
20,272.79
21,204.69
22,185.68
23,202.8
24,195.33
25,132.83
26,177.54
27,210.01
28,225.25
29,177.01
30,215.64
31,246.16
32,214.71
33,248.75
34,200.53
35,181.31
36,212.54
37,208.46
38,220.34
39,215.35
40,243.48
41,195.07
42,152.44
43,218.02
44,232.1
45,214.28
46,234.13
47,169.91
48,223.82
49,244.59
50,149.31
51,154.97
52,85.98
53,184.26
54,185.55
55,188.41
56,139.1
57,208.34
58,158.45
59,232.47
60,185.95
61,260.29
62,207.24
63,178.86
64,253.5
65,204.0
66,199.03
67,246.1
68,233.84
69,169.91
70,264.46
71,236.73
72,274.08
73,241.78
74,216.69
75,165.96
76,209.91
77,152.79
78,195.63
79,211.3
80,212.75
81,221.65
82,192.03
83,195.78
84,219.29
85,142.06
86,234.57
87,249.93
88,189.77
89,199.75
90,213.93
91,138.33
92,210.91
93,233.28
94,164.44
95,279.43
96,179.09
97,172.59
98,184.53
99,242.2
100,133.42
101,176.38
102,226.74
103,195.36
104,104.84
105,261.69
106,192.12
107,179.86
108,191.17
109,235.83
110,231.83
111,179.73
112,199.76
113,198.79
114,219.27
115,193.1
116,214.16
117,239.54
118,242.61
119,270.4
120,139.77
121,219.76
122,191.24
123,250.01
124,249.92
125,213.97
126,207.21
127,228.71
128,195.01
129,184.72
130,226.3
131,233.76
132,164.0
133,221.44
134,202.48
135,268.41
136,187.18
137,196.27
138,258.47
139,198.29
140,202.68
141,200.33
142,197.52
143,189.78
144,205.87
145,173.73
146,200.17
147,197.88
148,180.85
149,178.21
150,210.78
151,236.73
152,196.63
153,274.86
154,212.25
155,228.2
156,184.1
157,194.99
158,162.45
159,193.16
160,198.96
161,234.82
162,245.45
163,162.31
164,95.83
165,195.93
166,148.02
167,200.87
168,169.29
169,187.14
170,249.47
171,196.81
172,126.29
173,200.39
174,240.38
175,254.63
176,160.22
177,231.33
178,195.08
179,218.1
180,185.22
181,243.35
182,248.5
183,219.86
184,234.09
185,218.98
186,209.08
187,266.92
188,170.27
189,214.09
190,237.38
191,136.12
192,100.64
193,244.6
194,151.85
195,237.06
196,195.24
197,176.32
198,198.19
199,185.41
200,220.49
201,157.6
202,173.94
203,194.97
204,211.48
205,171.29
206,227.81
207,242.53
208,155.02
209,220.23
210,221.23
211,265.52
212,208.16
213,241.1
214,172.69
215,229.94
216,257.46
217,116.32
218,222.28
219,207.06
220,191.63
221,175.35
222,260.93
223,166.54
224,196.85
225,166.1
226,227.62
227,120.71
228,109.54
229,212.57
230,215.76
231,203.62
232,178.76
233,268.14
234,203.49
235,181.42
236,222.64
237,211.97
238,223.33
239,204.38
240,225.57
241,241.23
242,206.83
243,141.14
244,186.43
245,223.2
246,207.54
247,244.71
248,229.94
249,243.15
250,135.17
251,202.75
252,245.25
253,244.59
254,210.75
255,205.06
256,228.7
257,171.49
258,212.17
259,184.81
260,224.77
261,260.45
262,200.48
263,218.89
264,229.9
265,263.66
266,234.6
267,221.13
268,210.28
269,186.79
270,212.62
271,293.93
272,217.76
273,170.34
274,165.81
275,211.34
276,194.74
277,146.94
278,219.08
279,206.64
280,184.96
281,155.59
282,210.31
283,161.29
284,181.68
285,207.22
286,236.34
287,244.76
288,195.33
289,166.38
290,177.2
291,261.38
292,220.66
293,210.67
294,159.2
295,169.46
296,201.57
297,262.65
298,164.07
299,215.67
300,219.33
301,177.29
302,206.48
303,109.91
304,229.18
305,195.48
306,194.31
307,184.41
308,179.4
309,119.83
310,213.71
311,204.39
312,246.15
313,162.34
314,171.23
315,225.7
316,155.08
317,228.41
318,219.78
319,148.38
320,196.76
321,188.68
322,218.42
323,127.53
324,237.54
325,274.45
326,261.7
327,223.87
328,165.75
329,280.96
330,256.81
331,208.56
332,189.8
333,214.96
334,190.31
335,225.83
336,197.48
337,159.67
338,138.93
339,172.22
340,140.47
341,205.48
342,223.43
343,234.54
344,168.22
345,178.37
346,162.31
347,216.01
348,203.39
349,221.28
350,196.0
351,176.05
352,172.25
353,230.31
354,187.88
355,218.56
356,179.86
357,268.89
358,162.53
359,222.17
360,177.28
361,240.98
362,210.81
363,171.32
364,198.7
365,240.32
366,239.99
367,185.28
368,196.73
369,264.25
370,277.78
371,277.57
372,199.8
373,257.38
374,199.33
375,180.56
376,172.99
377,242.02
378,217.94
379,251.79
380,203.24
381,139.79
382,214.88
383,194.27
384,136.66
385,199.78
386,226.74
387,185.17
388,229.16
389,230.06
390,170.18
391,183.92
392,244.18
393,168.81
394,194.46
395,153.45
396,124.62
397,230.06
398,258.93
399,289.03
400,220.0
401,206.46
