day,units_sold
1,101.5
2,98.4
3,107.7
4,101.3
5,93.6
6,104.3
7,115.6
8,111.4
9,91.6
10,84.8
11,92.5
12,100.5
13,72.1
14,97.4
15,85.0
16,91.2
17,93.5
18,96.2
19,104.9
20,112.5
21,98.5
22,116.4
23,92.0
24,104.2
25,110.8
26,101.1
27,91.1
28,88.9
29,94.5
30,102.6
31,87.9
32,97.5
33,98.1
34,106.5
35,102.6
36,104.3
37,92.2
38,98.4
39,109.4
40,117.9
41,84.9
42,118.2
43,116.2
44,109.4
45,103.2
46,96.2
47,117.5
48,123.5
49,121.6
50,115.8
51,104.3
52,85.5
53,99.9
54,107.9
55,84.5
56,104.7
57,105.2
58,108.4
59,85.8
60,92.1
61,94.8
62,86.0
63,120.9
64,94.0
65,103.9
66,96.9
67,119.0
68,115.8
69,107.6
70,73.6
71,100.6
72,108.2
73,112.0
74,92.6
75,121.9
76,84.2
77,92.1
78,111.2
79,100.6
80,124.0
81,102.3
82,92.4
83,95.5
84,86.9
85,84.7
86,107.6
87,107.0
88,115.5
89,90.9
90,120.3
91,96.6
92,118.9
93,94.8
94,91.2
95,103.0
96,112.4
97,101.9
98,93.0
99,83.9
100,83.2
101,106.0
102,111.9
103,98.0
104,87.1
105,110.5
106,84.6
107,91.4
108,107.5
109,73.0
110,104.6
111,93.0
112,101.3
113,99.1
114,102.4
115,108.3
116,90.9
117,117.1
118,108.7
119,110.1
120,114.0
121,109.5
122,110.1
123,100.9
124,82.9
125,98.4
126,90.8
127,82.9
128,103.1
129,93.2
130,87.6
131,87.5
132,103.2
133,104.3
134,115.9
135,99.8
136,112.5
137,116.8
138,113.8
139,71.6
140,114.7
141,104.1
142,105.1
143,104.5
144,104.6
145,103.8
146,95.7
147,77.2
148,98.7
149,90.4
150,113.0
151,96.5
152,101.0
153,89.8
154,93.9
155,99.9
156,82.2
157,103.6
158,98.7
159,85.8
160,71.2
161,106.2
162,96.4
163,93.6
164,97.2
165,121.8
166,99.4
167,101.0
168,82.2
169,119.8
170,111.0
171,112.8
172,100.6
173,111.0
174,104.5
175,107.4
176,98.2
177,82.3
178,112.3
179,76.8
180,97.1
181,97.5
182,87.5
183,107.4
184,97.6
185,94.8
186,106.2
187,94.3
188,116.7
189,104.2
190,94.3
191,76.7
192,84.3
193,113.0
194,99.4
195,96.6
196,119.7
197,84.6
198,93.0
199,94.3
200,107.0
201,92.0
202,92.6
203,80.7
204,108.8
205,109.7
206,94.3
207,102.0
208,84.5
209,94.3
210,116.5
211,101.6
212,127.7
213,90.6
214,107.0
215,97.7
216,106.8
217,99.9
218,93.3
219,89.6
220,136.8
221,99.1
222,75.8
223,92.2
224,108.1
225,94.0
226,116.3
227,112.0
228,98.2
229,94.3
230,87.9
231,91.6
232,82.3
233,114.5
234,119.1
235,84.9
236,85.8
237,78.8
238,88.4
239,62.7
240,86.3
241,115.6
242,95.9
243,110.3
244,94.1
245,121.1
246,102.4
247,95.4
248,130.6
249,96.1
250,85.3
251,102.4
252,99.5
253,112.8
254,88.9
255,109.7
256,110.2
257,92.0
258,102.0
259,90.0
260,128.1
261,91.6
262,94.6
263,87.2
264,95.8
265,99.9
266,109.2
267,92.7
268,97.8
269,83.0
270,90.1
271,133.1
272,112.5
273,90.6
274,84.0
275,88.3
276,99.7
277,100.4
278,91.1
279,84.6
280,117.1
281,105.4
282,95.5
283,97.4
284,93.6
285,64.8
286,101.4
287,87.2
288,88.0
289,92.3
290,108.8
291,86.0
292,82.8
293,107.7
294,109.1
295,88.5
296,106.7
297,96.5
298,103.6
299,84.9
300,110.0
301,114.4
302,107.6
303,106.7
304,54.7
305,103.1
306,99.7
307,98.2
308,92.4
309,100.7
310,104.9
311,96.8
312,94.4
313,114.8
314,86.7
315,112.4
316,102.1
317,90.3
318,96.5
319,89.0
320,108.1
321,104.2
322,93.3
323,86.8
324,103.6
325,111.5
326,98.6
327,105.0
328,95.5
329,100.8
330,96.5
331,103.5
332,81.9
333,107.7
334,97.2
335,104.3
336,95.9
337,103.8
338,87.1
339,114.3
340,79.6
341,87.5
342,102.8
343,117.6
344,103.3
345,97.0
346,82.9
347,97.7
348,99.8
349,120.3
350,107.5
351,81.7
352,124.3
353,95.3
354,89.4
355,117.7
356,99.4
357,95.6
358,102.6
359,110.1
360,111.9
361,83.5
362,124.0
363,111.4
364,95.4
365,90.2
366,88.4
367,101.5
368,92.2
369,90.8
370,109.7
371,104.4
372,95.3
373,108.8
374,116.4
375,86.9
376,92.8
377,111.3
378,108.6
379,102.7
380,113.9
381,86.9
382,82.3
383,89.6
384,101.5
385,90.4
386,94.2
387,88.3
388,92.6
389,87.9
390,104.4
391,109.5
392,94.2
393,97.5
394,93.0
395,106.4
396,101.1
397,119.1
398,86.9
399,104.4
400,105.3
