day,price
1,52.02
2,45.8
3,55.25
4,56.7
5,42.74
6,46.49
7,54.14
8,52.42
9,54.42
10,50.73
11,59.9
12,59.89
13,56.83
14,62.64
15,59.84
16,53.7
17,60.34
18,54.21
19,63.89
20,59.75
21,59.58
22,57.6
23,67.61
24,61.23
25,60.36
26,61.24
27,66.16
28,65.83
29,66.56
30,67.15
31,76.21
32,63.97
33,63.94
34,62.93
35,70.58
36,73.64
37,67.93
38,64.8
39,65.38
40,73.25
41,74.22
42,73.72
43,68.17
44,73.16
45,73.08
46,74.09
47,77.86
48,75.12
49,77.89
50,75.34
51,76.95
52,79.16
53,69.21
54,75.4
55,75.15
56,74.81
57,77.12
58,86.47
59,75.17
60,84.84
61,72.09
62,79.33
63,82.31
64,84.93
65,86.06
66,86.97
67,81.76
68,81.69
69,88.79
70,84.04
71,79.12
72,80.33
73,81.9
74,89.49
75,88.21
76,91.45
77,86.36
78,89.79
79,92.63
80,88.45
81,92.78
82,87.69
83,89.68
84,90.09
85,86.52
86,95.43
87,91.15
88,94.06
89,96.9
90,97.23
91,98.83
92,95.51
93,94.38
94,96.6
95,89.06
96,90.76
97,91.89
98,94.01
99,101.5
100,95.47
