normal_tails,heavy_tails
1.82676,2.09302
-3.07833,-0.60236
0.95806,0.18014
0.06964,0.91976
1.31825,-0.3959
0.38563,0.26176
1.82726,-1.34328
0.03174,0.44419
-0.51623,-0.14845
0.58048,-1.03321
0.43211,-0.14857
-0.35684,0.29329
-0.2473,0.44239
0.71944,0.76401
0.70432,0.23044
-0.49393,0.53153
-0.36771,1.45758
-1.80679,-0.54001
1.67921,-0.17302
-0.22429,-0.2173
1.33728,0.28039
0.41747,0.15094
1.94396,-0.03037
1.53711,-0.0885
0.3183,-0.07583
1.48076,-0.04933
-0.95012,-1.17605
1.25862,0.27519
-1.48042,-0.363
0.34324,0.92927
1.06488,-0.08565
0.22363,1.2181
-0.36714,-3.34854
-0.80556,0.8438
-0.3428,-0.29936
1.05113,0.49556
0.89084,-2.72175
-0.26213,2.28734
-1.246,-0.55597
0.674,0.48281
-1.44987,-0.88984
-0.53085,-0.28488
-0.73483,0.45392
0.74327,0.73513
0.23595,-0.5962
0.46185,-0.36767
0.27241,-0.27928
-0.67793,-0.27779
0.53548,-0.12167
1.41246,1.11495
-0.03677,0.04293
0.63359,0.25013
-0.1259,1.92122
1.02856,0.36713
0.66664,-0.07479
0.87582,-0.54594
0.34842,-0.07244
1.64,-4.16008
-0.36115,-0.4857
-0.33417,0.23495
-0.59186,-1.18624
0.61096,-0.23514
-0.6224,0.17843
-0.64453,0.96013
0.72747,0.28924
1.1621,0.39817
0.57435,-0.54026
-2.6831,-1.58128
-0.95363,-0.12984
-1.07349,-1.46838
-1.20751,0.39195
-0.40777,1.26172
1.81754,-0.56886
-0.3074,0.51244
-0.73545,-0.1712
0.69882,-0.01852
0.06917,-0.3015
0.12068,-0.19196
-0.68667,1.2304
-0.0015,-0.67734
0.43454,-1.56031
-1.91131,-1.37158
-1.61022,1.37163
1.08456,0.10984
0.843,-0.20503
-0.50666,-0.54486
-1.0202,-1.48779
-0.18555,1.66551
-1.19365,0.57385
-0.3401,-0.73752
1.6511,-0.2283
0.13207,0.93462
1.16629,0.78334
-0.22262,-0.38182
0.36942,-0.44789
1.38583,-1.3038
-1.33594,-0.5213
-0.34748,-1.64721
-0.1569,0.32412
0.28198,0.51311
1.55367,0.25471
0.68553,-0.26597
-1.49767,-0.72368
-0.27097,-0.00215
-0.89364,0.26739
-0.91905,0.56458
2.02483,0.09842
-1.06297,-0.02635
0.2364,-1.1574
-0.71521,-0.35684
0.86098,1.41157
0.3537,0.47228
0.12743,-1.61893
-0.07617,0.19252
1.13772,0.05938
-0.9317,0.44202
