f1,f2,target_normal,target_heavy
-0.8499,0.3219,-3.7394,5.2286
1.789,0.8793,4.1826,2.6396
0.3716,1.4877,-0.6246,-0.4537
0.7287,2.0812,-2.9873,-2.3005
-1.3373,0.1254,-4.2721,-3.6477
0.5442,-0.6738,2.8395,2.7315
0.0196,-1.0581,3.7506,2.4957
-1.3481,1.2198,-5.8064,-5.7941
-2.4002,-1.5566,-4.2236,-5.1108
-0.4148,-1.0051,0.9313,1.6113
0.9692,0.6468,1.2759,1.0205
0.2673,1.547,-0.6967,-1.0964
1.1765,1.15,0.862,1.9658
0.3801,0.0351,1.4415,1.4478
0.8769,0.9787,-0.4222,1.3715
0.368,0.1743,0.6784,0.306
0.535,0.907,-1.479,-0.6676
0.989,-0.8053,4.5306,1.6311
-0.2797,0.7485,-0.8585,-0.6196
0.1323,-0.0197,-1.2381,-2.5263
0.9569,-0.0852,5.6167,3.096
0.633,-1.1528,1.5469,2.8156
1.7274,-0.5926,8.0689,6.2623
-0.3514,2.4335,-5.0334,-6.4173
1.4384,0.4895,2.3852,3.6212
-0.396,-0.4579,-0.6195,0.5696
-1.5886,-0.715,-1.4335,-2.6218
-2.713,0.3975,-9.3772,-7.4486
0.1559,-1.0654,1.3653,-0.3438
0.0777,-1.6296,4.1608,4.7809
-0.427,0.4027,-0.2299,-0.471
0.9997,0.3544,2.5409,4.258
-0.8257,-0.4918,-2.8543,-2.8898
1.7519,-1.9476,8.3144,8.9207
1.2086,-2.0951,8.4884,7.5462
-0.9954,0.7576,-4.5906,-3.7621
-0.3042,-0.8656,0.2291,0.2662
0.8039,0.9376,0.5777,2.7858
-0.6694,0.2547,-2.1013,-1.2749
1.9259,-0.0251,4.2055,5.5448
0.3256,0.2539,-0.5368,1.1575
0.3141,0.2292,1.6162,0.4158
-0.3933,0.3732,-2.4111,-1.682
-0.9765,-0.2668,-3.741,-3.1558
-0.5847,-0.0847,-2.6801,-1.372
0.6126,-0.557,3.7584,2.2911
-0.217,0.6573,-1.4421,-2.1546
-0.7355,0.4795,-1.4513,-3.8973
-0.9015,1.1245,-3.7653,-5.0953
0.3302,-0.0182,1.716,1.535
-0.1455,-0.3325,1.6905,1.3326
2.2948,-0.2356,6.9968,8.1901
0.8887,0.7175,1.7955,0.6527
-0.1632,-0.61,-0.2724,1.7105
1.1426,1.2487,1.0188,1.4636
0.8917,-1.0364,3.1571,5.1997
0.378,-0.1481,2.5947,0.5383
0.6832,-0.2929,3.9449,3.7583
-0.9953,0.2488,-2.6529,-5.1181
-0.9828,1.4121,-6.1418,-7.4188
-0.0385,0.4501,0.5595,-1.8895
1.1004,2.3117,-1.6746,-0.7762
0.5092,-1.3616,4.585,3.2608
-1.4413,-1.3208,-1.5224,-2.1004
0.3247,-0.4123,3.8584,2.8433
0.9813,-0.3425,3.9923,4.2984
-1.0162,1.3894,-4.6534,-5.6592
0.1021,0.6981,-1.8569,-1.0012
-0.569,0.4388,-2.6658,-2.1102
1.6436,0.0531,6.5866,5.3088
-0.7485,1.6925,-4.5946,-4.2721
1.0485,-0.6165,4.1114,4.9327
-1.2504,0.3274,-4.8562,-4.7996
1.4834,1.2549,2.633,6.5257
-0.4031,0.3705,0.3502,-2.0961
1.1179,0.6937,1.9401,2.5461
-0.7472,0.0659,-3.4584,-2.4026
1.4921,1.5474,0.2528,1.3793
-0.0384,0.4908,-2.4321,-1.182
0.4745,0.699,0.9518,2.4772
-1.7656,1.4455,-8.9095,-7.6059
0.9102,-0.6556,4.3877,3.5778
1.1455,-1.157,7.9443,4.8881
-1.3091,-1.3109,0.227,-3.5679
0.8257,-0.2736,2.8949,2.0404
-1.3132,0.9826,-4.837,-7.2967
-0.0085,-1.5351,3.8305,2.7915
-1.0458,-1.4663,-1.0839,-1.7553
-0.2211,0.9625,-2.9664,-1.6815
1.0324,0.0031,4.59,2.7142
0.7512,-1.1324,5.0258,5.9421
-0.3918,-0.156,1.3944,-5.4346
1.3412,-0.0874,3.9433,3.296
2.0809,-0.5856,5.9827,4.546
-1.2317,-2.612,-0.7024,1.9363
0.0706,0.7245,-0.9228,-1.3536
0.1718,0.5588,-0.1466,1.4763
0.5904,-0.5056,2.6385,3.3269
0.1657,1.1903,-1.6912,-4.1903
