experience_years,salary
13.55,121356.0
1.02,31755.0
10.09,123457.0
7.09,83867.0
10.16,121562.0
0.59,16271.0
0.77,16801.0
2.65,40233.0
14.68,167216.0
4.53,74148.0
8.85,96129.0
14.76,159991.0
10.58,112416.0
3.15,53595.0
6.37,68921.0
1.56,38447.0
4.27,54627.0
4.53,65268.0
0.29,19784.0
12.64,128872.0
13.45,147443.0
7.76,90823.0
9.53,111040.0
8.93,100340.0
9.92,121628.0
14.92,149457.0
8.67,112214.0
2.13,60138.0
10.39,115305.0
10.36,139159.0
12.81,164672.0
10.2,122103.0
4.85,52377.0
0.61,11117.0
6.72,83371.0
9.42,131121.0
11.01,131005.0
10.07,124702.0
8.97,102712.0
9.07,97705.0
