x,strong_positive,weak_positive,curved,unrelated
3.6635,9.9237,5.7725,0.5984,22.5514
1.993,5.7436,11.3219,8.8072,13.6301
0.8856,3.1363,1.8362,15.4306,8.2434
6.5319,18.9962,9.1928,1.4552,13.0098
4.5934,11.7823,8.9953,2.2966,9.8783
9.8768,27.8857,34.4961,22.6051,14.5761
8.5157,24.9364,26.1297,13.0161,14.6573
8.3696,23.6924,22.9585,14.4241,15.4566
0.5144,2.9459,32.3388,20.7965,17.1416
5.5535,16.6772,24.0223,-0.0522,18.7908
6.0746,18.1792,2.7307,-0.1356,17.8469
0.5014,0.0238,3.1599,16.2808,16.4912
4.7733,15.0773,18.8477,-1.5103,14.3205
3.2956,9.3564,-3.8618,1.3856,13.383
2.1649,5.096,8.0929,9.3538,15.6358
7.9702,22.9676,12.2353,9.7412,14.4618
4.209,16.0899,-18.2117,-1.4624,10.5084
1.0318,2.1965,7.8705,16.5478,13.68
3.6907,9.7941,19.804,0.6168,18.9479
9.1484,29.1112,36.032,19.829,15.8738
3.896,12.7501,9.6722,3.3203,11.6653
1.8734,5.1889,-2.5688,10.6682,16.7276
0.6674,3.9959,5.3014,18.0674,18.5889
5.1217,13.2146,21.3288,2.5829,10.5061
6.6756,19.3121,32.7925,4.0481,23.5001
4.1281,9.9776,31.0062,2.438,21.0626
8.4832,27.4205,36.7263,12.8948,14.9235
5.2449,15.7758,7.8049,-0.3639,20.957
7.9743,27.6715,23.2663,10.015,16.9267
5.6515,17.6013,-2.3985,-0.8381,18.6886
5.908,18.3923,27.7918,2.0147,11.5666
4.125,10.7022,20.5621,1.0378,13.4354
1.0972,1.5392,19.9489,12.7358,14.6377
7.0459,20.3888,28.0782,4.9125,15.2531
8.5839,27.0197,47.7112,12.7572,13.4222
7.2503,20.181,12.3257,4.4677,8.2513
4.1957,9.0616,17.4001,0.5053,10.4596
0.8711,3.7828,-0.6042,18.205,17.7105
1.8579,6.8272,2.7375,8.1399,13.7736
5.5126,15.1206,-7.7785,-1.3753,23.4908
6.5885,20.3182,9.5841,3.5989,21.97
0.2638,2.3285,-26.6608,22.6807,14.5264
9.4292,29.8934,23.7573,16.9791,16.5272
7.1462,19.0513,11.799,4.7483,6.9576
7.2239,21.6549,23.4702,2.3417,18.8519
