speed_kmh,efficiency_kmpl
20.4,17.361
107.22,17.81
44.27,23.945
85.11,23.668
68.41,25.688
98.85,20.103
108.07,18.741
109.97,15.356
72.1,23.731
116.42,14.44
111.14,17.117
87.78,24.078
96.09,21.324
37.87,22.125
106.85,18.305
119.95,13.116
111.09,16.492
31.65,19.579
58.77,24.192
112.52,15.944
29.15,18.677
51.19,24.181
87.14,23.816
82.75,23.449
48.66,23.089
92.09,20.893
20.81,16.543
105.55,18.47
78.29,24.949
21.86,17.441
85.49,23.637
59.73,25.279
79.76,23.9
67.32,24.36
49.04,25.06
59.11,25.315
73.72,25.758
36.27,21.281
69.06,24.622
114.29,15.422
21.7,17.131
80.12,23.115
114.39,14.622
59.56,23.833
52.86,24.149
75.67,22.893
36.59,22.115
24.0,18.767
100.04,18.497
73.36,24.3
112.03,16.094
53.94,23.476
84.81,23.34
37.19,22.177
74.95,24.069
40.32,23.161
52.77,24.44
56.66,23.692
49.24,23.23
119.07,14.253
65.41,26.054
22.85,18.05
86.87,24.109
51.02,23.128
76.51,25.767
46.46,24.962
31.55,20.264
42.29,22.817
72.4,23.91
114.15,17.599
113.29,15.672
104.01,18.674
44.08,22.609
117.67,13.445
76.65,23.991
84.21,24.306
34.95,21.868
63.03,24.339
46.99,23.836
117.17,13.476
39.94,22.596
55.67,22.428
61.32,26.344
67.09,25.234
53.35,23.743
74.12,25.428
112.29,16.129
107.82,17.406
93.32,23.183
88.71,23.007
39.67,23.025
73.81,25.751
118.6,13.855
38.19,22.118
49.0,23.859
88.97,21.857
66.92,25.617
90.43,20.982
72.58,25.363
21.5,18.286
30.68,20.834
59.34,24.879
104.44,18.115
68.29,25.3
50.25,25.158
96.15,21.623
52.59,25.095
74.92,24.06
89.72,22.089
74.01,25.11
75.16,22.974
115.93,14.076
116.63,13.112
112.81,14.51
81.83,24.342
22.63,18.547
55.17,24.748
112.53,15.718
104.5,17.895
23.87,18.212
67.76,24.394
29.98,20.776
110.34,15.595
21.07,16.808
96.14,22.266
42.04,22.032
43.29,23.564
85.5,22.976
84.31,20.962
112.95,15.882
116.44,14.437
72.62,23.695
39.92,22.711
115.25,15.832
96.95,20.769
33.26,21.299
79.22,23.458
21.79,18.647
20.19,16.893
47.56,23.863
49.74,23.093
105.19,18.076
70.49,25.772
40.98,22.988
59.95,24.189
69.22,23.478
83.72,21.947
78.0,24.807
59.41,24.069
92.27,21.818
110.58,18.017
105.97,17.233
85.64,22.676
78.25,25.149
92.17,22.153
32.12,21.534
44.51,24.16
107.4,17.305
45.8,23.167
99.32,20.949
83.97,23.702
79.06,24.043
46.53,24.398
78.38,24.635
65.18,23.382
81.62,25.502
43.57,24.196
57.45,24.07
116.15,15.307
55.99,24.179
55.84,22.703
25.79,18.988
108.81,17.98
51.21,25.345
80.1,23.196
44.34,23.948
44.49,23.129
61.09,25.228
115.47,14.679
30.03,20.165
112.31,14.873
85.48,23.973
33.94,20.752
48.12,24.222
103.1,18.711
87.12,23.563
109.44,17.721
39.53,22.367
45.88,22.834
42.3,22.466
85.8,23.429
55.23,25.482
73.75,24.846
70.98,24.925
102.75,19.895
29.12,18.303
86.28,22.881
100.21,20.6
53.87,24.731
51.06,24.422
20.06,17.577
105.92,17.07
33.6,21.387
83.49,23.743
106.41,15.885
81.55,24.528
96.36,20.098
66.91,24.865
60.94,25.273
86.15,22.825
77.36,24.123
26.68,18.917
45.37,22.704
86.37,22.86
26.41,17.633
61.68,25.584
56.01,23.865
42.74,22.193
116.09,14.714
58.05,24.569
113.87,14.469
37.08,21.097
101.1,20.717
24.57,18.31
21.53,16.59
68.83,24.621
115.5,14.898
109.45,16.78
79.52,24.541
74.62,24.325
54.29,25.937
36.54,23.379
119.76,12.847
57.61,23.244
66.87,23.411
80.55,23.217
51.88,25.62
31.8,20.631
113.65,16.2
53.15,25.291
108.49,17.72
119.75,13.495
43.46,24.806
104.65,17.991
28.55,20.208
42.62,23.926
92.53,23.004
29.99,20.504
52.16,24.118
113.66,16.534
53.59,25.417
101.54,18.006
83.5,21.848
88.79,22.681
86.09,24.458
90.25,21.486
46.41,24.002
57.03,25.005
45.79,24.229
81.39,23.176
45.87,22.563
37.94,20.498
76.31,24.181
62.79,24.881
75.64,23.984
72.08,25.122
48.35,23.907
56.55,25.2
22.08,16.968
85.68,22.968
96.79,20.944
42.34,22.035
78.93,22.454
21.58,17.835
75.22,24.392
23.9,19.607
34.06,21.208
50.15,23.123
78.15,25.281
112.22,16.675
93.88,21.426
36.6,22.857
25.25,19.087
57.86,25.037
117.89,13.426
96.91,19.588
85.48,23.796
101.73,19.582
62.89,25.681
37.85,22.125
111.3,17.323
48.22,24.354
28.59,20.1
37.42,22.146
42.43,23.068
26.79,18.295
52.06,22.459
90.9,21.877
98.53,19.909
54.28,24.767
