basket_id,items
1,"butter,coffee,sugar"
2,sugar
3,"eggs,milk"
4,"coffee,eggs,oil,sugar"
5,"milk,rice"
6,"eggs,oil,rice"
7,"butter,jam,rice"
8,"coffee,jam,oil,sugar"
9,"bread,butter,jam,tea"
10,"coffee,sugar"
11,"eggs,oil"
12,oil
13,"bread,jam,rice"
14,"jam,oil"
15,"coffee,eggs,sugar"
16,"butter,jam,oil"
17,"coffee,milk,sugar,tea"
18,"coffee,jam,tea"
19,"milk,sugar"
20,"coffee,jam,rice"
21,"bread,butter,jam,milk"
22,jam
23,"bread,coffee,jam,sugar"
24,"bread,butter,jam,oil,rice"
25,rice
26,"eggs,milk"
27,"eggs,milk,sugar"
28,"bread,eggs,oil"
29,"bread,butter,jam,oil,tea"
30,"eggs,jam"
31,"butter,eggs"
32,rice
33,"jam,tea"
34,"eggs,milk"
35,"butter,eggs,jam"
36,"butter,jam,milk"
37,"coffee,sugar"
38,"bread,butter"
39,"butter,eggs,jam,oil"
40,"coffee,sugar"
41,"eggs,rice"
42,"bread,butter,coffee,jam,oil,sugar"
43,"coffee,oil,sugar"
44,rice
45,"coffee,rice,sugar"
46,"jam,oil,sugar"
47,"butter,coffee,jam,milk,sugar"
48,rice
49,"bread,butter,jam"
50,"eggs,jam,milk"
51,"bread,butter,jam"
52,"jam,oil,sugar"
53,rice
54,"butter,jam,rice"
55,"oil,tea"
56,sugar
57,"bread,butter,eggs,jam"
58,"bread,butter,sugar"
59,"coffee,oil,sugar,tea"
60,"bread,butter,sugar"
61,"butter,jam,oil"
62,"bread,butter"
63,"milk,rice"
64,"coffee,oil,sugar"
65,"bread,butter,coffee,jam,sugar"
66,sugar
67,milk
68,"bread,butter,eggs,jam"
69,"eggs,oil"
70,eggs
71,butter
72,eggs
73,eggs
74,"bread,butter,eggs,oil"
75,"coffee,jam,rice"
76,"coffee,oil,sugar"
77,"butter,jam,milk"
78,tea
79,"oil,rice"
80,"oil,sugar"
81,"eggs,tea"
82,bread
83,"butter,jam"
84,"coffee,jam,sugar"
85,"bread,coffee,milk,sugar"
86,"sugar,tea"
87,"eggs,sugar"
88,oil
89,"coffee,sugar,tea"
90,sugar
91,"bread,butter,eggs,jam"
92,butter
93,"butter,oil"
94,"milk,rice,tea"
95,"coffee,rice,sugar"
96,"eggs,milk,oil"
97,"butter,jam"
98,"bread,eggs"
99,eggs
100,rice
101,"butter,eggs,jam,tea"
102,"jam,oil,tea"
103,"oil,rice,tea"
104,"coffee,jam"
105,"oil,rice"
106,"bread,butter,jam,sugar"
107,rice
108,"butter,jam,tea"
109,"bread,butter,coffee,jam,sugar"
110,sugar
111,"bread,butter,jam,milk,tea"
112,eggs
113,"coffee,oil,sugar"
114,"coffee,rice,sugar,tea"
115,"bread,butter,jam,milk,sugar"
116,"eggs,milk"
117,"butter,jam,tea"
118,"bread,tea"
119,oil
120,sugar
121,"bread,butter,jam,milk"
122,tea
123,eggs
124,"coffee,sugar,tea"
125,jam
126,"milk,oil"
127,"butter,coffee,jam,sugar"
128,oil
129,"butter,coffee,jam,sugar"
130,"milk,oil,rice"
131,"coffee,sugar"
132,"butter,jam"
133,oil
134,"butter,jam"
135,"bread,butter,eggs,rice"
136,"butter,jam,rice"
137,"coffee,rice"
138,"jam,milk"
139,sugar
140,eggs
141,sugar
142,"butter,eggs,jam"
143,"coffee,sugar"
144,tea
145,"rice,sugar"
146,"bread,rice,tea"
147,"coffee,jam"
148,"eggs,sugar"
149,"butter,jam"
150,"bread,butter,jam,milk"
151,"bread,milk,sugar"
152,"milk,tea"
153,"butter,coffee,eggs,jam,sugar"
154,"rice,sugar"
155,"bread,butter,jam"
156,"oil,rice,tea"
157,"butter,milk,oil"
158,"butter,jam,milk"
159,"milk,oil"
160,rice
161,"butter,coffee,jam,sugar"
162,"milk,rice,tea"
163,oil
164,oil
165,oil
166,"rice,tea"
167,"butter,jam"
168,"coffee,milk,rice"
169,milk
170,tea
171,"butter,eggs,rice"
172,bread
173,"eggs,rice,sugar"
174,"bread,butter,coffee,milk,sugar"
175,"butter,jam,milk"
176,"bread,butter,coffee,rice,sugar"
177,"rice,tea"
178,"butter,coffee,jam,sugar"
179,sugar
180,"butter,jam"
181,"bread,sugar"
182,"eggs,rice,tea"
183,"butter,coffee,jam"
184,milk
185,"eggs,sugar"
186,milk
187,"jam,milk,sugar"
188,"butter,jam,tea"
189,"eggs,jam,oil"
190,"butter,jam,sugar"
191,oil
192,"butter,sugar"
193,"bread,butter,jam,rice"
194,"butter,eggs,oil"
195,"eggs,sugar"
196,"butter,jam,rice"
197,"rice,sugar,tea"
198,"butter,oil"
199,sugar
200,"coffee,eggs,oil"
201,"bread,butter"
202,"coffee,oil,sugar"
203,tea
204,eggs
205,tea
206,"milk,rice,tea"
207,"coffee,milk,sugar,tea"
208,"bread,jam"
209,"jam,rice"
210,"eggs,oil,tea"
211,sugar
212,"jam,milk"
213,eggs
214,oil
215,sugar
216,"coffee,milk"
217,eggs
218,"bread,butter,milk,sugar"
219,"eggs,jam,rice"
220,"sugar,tea"
221,"oil,rice,tea"
222,"butter,coffee,jam"
223,"oil,tea"
224,rice
225,"coffee,jam,sugar"
226,"bread,butter,jam,tea"
227,"bread,butter,milk"
228,oil
229,coffee
230,tea
231,"jam,rice"
232,"oil,sugar"
233,"bread,butter,jam"
234,"eggs,sugar"
235,"bread,butter,coffee,jam,sugar"
236,"eggs,jam"
237,"butter,eggs,jam,sugar"
238,"oil,sugar"
239,"jam,oil,sugar"
240,"bread,butter,jam"
241,"jam,rice"
242,tea
243,rice
244,"bread,rice"
245,"butter,jam,milk"
246,milk
247,"jam,oil,tea"
248,"coffee,sugar"
249,"coffee,oil,sugar"
250,"eggs,oil,sugar"
251,"bread,butter,jam"
252,"eggs,jam,sugar"
253,"jam,milk"
254,tea
255,rice
256,"butter,oil,rice"
257,tea
258,sugar
259,"bread,butter"
260,"butter,jam,tea"
261,"milk,rice"
262,"bread,butter,coffee,jam"
263,jam
264,"bread,butter,jam"
265,"eggs,tea"
266,"coffee,jam,rice,sugar"
267,"jam,rice,sugar"
268,"eggs,jam,milk"
269,sugar
270,"butter,jam"
271,"butter,milk,sugar"
272,"bread,butter,eggs,rice"
273,"bread,butter,milk,tea"
274,"butter,jam,oil,sugar"
275,"coffee,sugar,tea"
276,"milk,sugar,tea"
277,"bread,butter,coffee,eggs,jam,sugar"
278,"coffee,milk,rice,sugar"
279,"butter,rice"
280,"jam,oil"
281,tea
282,"coffee,jam,sugar"
283,sugar
284,"milk,tea"
285,"eggs,oil,tea"
286,"milk,sugar"
287,sugar
288,"eggs,rice"
289,"butter,jam"
290,"butter,coffee"
291,tea
292,"milk,sugar,tea"
293,eggs
294,"eggs,jam,sugar"
295,"eggs,milk"
296,"butter,eggs,rice"
297,"bread,butter,coffee,jam,sugar"
298,"bread,butter,jam"
299,"bread,butter,jam,milk,oil"
300,oil
301,"bread,butter,jam,milk"
302,"butter,jam,sugar"
303,"butter,jam,oil"
304,sugar
305,"coffee,eggs"
306,eggs
307,"butter,sugar"
308,"butter,jam"
309,"jam,rice"
310,"coffee,milk,tea"
311,rice
312,"butter,milk"
313,"coffee,rice,sugar,tea"
314,"bread,butter,jam,rice"
315,"butter,eggs,jam"
