area,bedrooms,age,noise_1,noise_2,noise_3,price
1304.0,4,23,-0.4625,0.1912,0.7014,38250.0
1446.0,3,14,-0.5471,0.0493,-1.226,65613.0
1299.0,3,16,1.2599,-2.1666,-1.6238,67567.0
809.0,5,22,0.3749,0.7238,-0.7554,80550.0
1472.0,2,14,-1.5809,-1.0715,1.0532,42855.0
1334.0,3,37,-0.8547,-1.143,-0.335,-98209.0
1039.0,5,27,0.7051,0.5996,-0.6676,90507.0
1374.0,5,0,1.896,-0.8764,0.1383,334560.0
1309.0,3,32,0.3865,0.8228,-1.4155,-9752.0
1288.0,1,6,0.3107,1.1089,-1.1393,67657.0
1209.0,3,21,1.8608,-1.8024,0.5103,-4924.0
1364.0,2,28,-0.0227,-0.1491,-0.3032,-91164.0
979.0,5,9,-0.3091,-1.5868,-0.4532,212323.0
1151.0,3,15,-1.4132,-0.0749,0.3176,105893.0
1055.0,3,36,-0.513,0.8992,-0.5849,-92818.0
1380.0,4,11,2.1787,-1.3768,-0.6863,177467.0
1212.0,3,4,-1.4217,1.7892,-0.4598,150881.0
1112.0,2,38,0.0112,-0.3246,0.6026,-158834.0
965.0,3,15,-1.4083,-1.1976,0.0598,73314.0
1123.0,2,10,0.1285,-0.1393,-1.1946,44564.0
1202.0,5,37,0.8876,0.7768,-0.3031,5607.0
1117.0,5,28,-0.2436,-1.3929,0.6482,80926.0
1588.0,3,28,0.7303,-0.0143,1.8708,-29527.0
1502.0,4,38,0.7208,-1.3898,-1.1424,-38577.0
387.0,1,3,0.447,1.1875,0.3385,70569.0
633.0,3,30,1.7162,0.1379,-0.2587,-69684.0
1148.0,1,24,0.7788,-0.4427,0.8255,-107554.0
1073.0,1,28,-0.305,1.0175,0.4496,-148002.0
1264.0,2,23,-0.6808,-1.3066,1.4722,-58466.0
1265.0,1,28,-0.8453,-0.4117,0.5195,-132927.0
1835.0,5,28,0.4759,1.8275,-0.5451,72813.0
866.0,2,32,-0.3237,-0.1431,-0.5386,-136260.0
1087.0,5,13,2.7292,1.3376,0.4056,163140.0
1813.0,1,10,1.8424,0.1757,0.3949,-6331.0
