area_sqft,bedrooms,age_years,price
1518.0,3,9,5693000.0
1463.0,3,1,6252000.0
1191.0,3,3,4676000.0
1428.0,3,29,4437000.0
972.0,2,24,2746000.0
560.0,1,23,1420000.0
1787.0,4,5,7013000.0
1367.0,3,17,4612000.0
477.0,1,24,1252000.0
829.0,2,2,4262000.0
983.0,2,22,3453000.0
1320.0,3,38,3648000.0
1664.0,4,39,5024000.0
1308.0,3,4,4806000.0
1048.0,2,16,3464000.0
1364.0,3,7,5057000.0
1122.0,2,18,3432000.0
1264.0,3,7,4362000.0
967.0,2,1,4288000.0
778.0,2,22,2480000.0
1649.0,4,2,6260000.0
1088.0,2,8,4168000.0
1241.0,3,25,4143000.0
990.0,2,31,2318000.0
1009.0,2,18,3596000.0
1076.0,2,3,3612000.0
1430.0,3,18,5091000.0
1626.0,4,11,5817000.0
1390.0,3,17,4889000.0
1006.0,2,29,2316000.0
2179.0,5,34,7093000.0
1494.0,3,20,5267000.0
1530.0,3,14,5688000.0
1008.0,2,23,3085000.0
1115.0,2,19,3624000.0
1413.0,3,34,3913000.0
591.0,1,11,1894000.0
929.0,2,21,2889000.0
1340.0,3,7,4761000.0
2048.0,5,32,6802000.0
1348.0,3,23,4310000.0
837.0,2,16,2918000.0
774.0,2,26,2362000.0
1543.0,3,39,4241000.0
916.0,2,4,3363000.0
1079.0,2,32,2983000.0
1887.0,4,9,6849000.0
1221.0,3,9,4609000.0
1075.0,2,20,3429000.0
926.0,2,31,2154000.0
1663.0,4,25,5734000.0
1661.0,4,35,4828000.0
964.0,2,2,3857000.0
705.0,2,17,2576000.0
1158.0,3,36,3365000.0
1682.0,4,11,6366000.0
1360.0,3,30,4593000.0
775.0,2,13,2808000.0
1317.0,3,29,4151000.0
1469.0,3,22,5149000.0
1189.0,3,24,3502000.0
1258.0,3,19,4266000.0
1201.0,3,20,4339000.0
1024.0,2,8,3978000.0
968.0,2,31,2491000.0
721.0,2,36,1752000.0
781.0,2,23,2547000.0
592.0,1,1,2546000.0
1353.0,3,33,4312000.0
1367.0,3,9,4863000.0
1218.0,3,19,4381000.0
