area_sqft,age_years,price
1002.0,21,2982000.0
830.0,36,1674000.0
1572.0,33,3503000.0
805.0,3,3095000.0
577.0,23,1217000.0
1429.0,33,3602000.0
1494.0,3,4849000.0
868.0,25,2361000.0
1002.0,38,1353000.0
2173.0,26,6049000.0
844.0,11,2535000.0
1023.0,33,2201000.0
1613.0,7,4862000.0
1461.0,18,4323000.0
1764.0,10,5704000.0
1486.0,10,4781000.0
1057.0,38,1502000.0
1241.0,36,2648000.0
1007.0,24,2576000.0
1482.0,36,3689000.0
1378.0,14,4224000.0
769.0,9,2760000.0
1370.0,39,3003000.0
913.0,20,2202000.0
1225.0,27,3153000.0
1067.0,34,2196000.0
1299.0,5,4471000.0
400.0,17,705000.0
1356.0,32,3159000.0
702.0,12,1913000.0
1610.0,34,3965000.0
786.0,37,985000.0
1019.0,25,2783000.0
951.0,15,2768000.0
1290.0,26,3186000.0
1571.0,11,4863000.0
1275.0,10,4015000.0
1192.0,36,3001000.0
1258.0,37,2855000.0
1163.0,14,3457000.0
1219.0,32,2507000.0
942.0,20,2491000.0
1153.0,16,3380000.0
1715.0,37,4406000.0
1591.0,24,4206000.0
603.0,38,591000.0
1126.0,17,3131000.0
1272.0,6,4174000.0
1017.0,13,3135000.0
972.0,27,2149000.0
1186.0,3,4022000.0
1555.0,1,5134000.0
1579.0,13,4652000.0
1222.0,26,3346000.0
1501.0,13,5125000.0
1173.0,35,2820000.0
1345.0,13,3866000.0
1134.0,21,3312000.0
671.0,3,2425000.0
968.0,15,2810000.0
1340.0,12,4301000.0
1617.0,19,4853000.0
1325.0,21,3654000.0
1936.0,24,5728000.0
1534.0,7,4966000.0
1227.0,23,3492000.0
1054.0,39,2265000.0
2006.0,0,6243000.0
1131.0,19,3298000.0
815.0,21,2298000.0
1348.0,33,3222000.0
1012.0,11,3116000.0
1420.0,21,3952000.0
664.0,20,1632000.0
1526.0,23,4390000.0
1554.0,14,4500000.0
1080.0,33,2560000.0
865.0,2,3065000.0
1253.0,18,3837000.0
1616.0,34,3999000.0
996.0,15,3269000.0
1140.0,23,3118000.0
1616.0,2,5456000.0
1417.0,32,3398000.0
1162.0,21,2938000.0
1326.0,1,4238000.0
1269.0,28,2849000.0
1058.0,20,3280000.0
1153.0,7,4205000.0
400.0,24,1008000.0
1246.0,38,2465000.0
1513.0,27,4142000.0
1439.0,7,4424000.0
1051.0,34,1882000.0
1790.0,28,4588000.0
1684.0,31,3917000.0
912.0,17,2785000.0
1193.0,13,3510000.0
1048.0,23,2761000.0
912.0,20,2358000.0
1569.0,17,4706000.0
1561.0,32,3877000.0
965.0,2,3357000.0
1150.0,27,2890000.0
1347.0,25,3558000.0
1095.0,10,3470000.0
1545.0,17,4466000.0
1324.0,31,3055000.0
1327.0,21,3710000.0
670.0,30,873000.0
1626.0,1,5782000.0
408.0,17,742000.0
1176.0,18,3664000.0
1588.0,18,4445000.0
1235.0,0,4481000.0
924.0,27,2037000.0
1044.0,3,3719000.0
758.0,15,1630000.0
1634.0,5,5220000.0
1347.0,10,4301000.0
876.0,10,2444000.0
1830.0,13,5898000.0
1010.0,35,1729000.0
1336.0,13,4206000.0
554.0,30,511000.0
1177.0,31,2848000.0
1423.0,10,5013000.0
1239.0,23,3322000.0
918.0,26,2246000.0
1568.0,31,4315000.0
821.0,6,2675000.0
1677.0,3,5711000.0
1137.0,11,3393000.0
1174.0,22,3130000.0
1329.0,11,4114000.0
1347.0,6,4226000.0
1900.0,20,5439000.0
1266.0,34,3013000.0
654.0,8,2183000.0
1325.0,28,3212000.0
860.0,23,2315000.0
1037.0,2,3567000.0
1041.0,9,3304000.0
1234.0,14,3398000.0
1628.0,4,5027000.0
1228.0,4,3733000.0
1045.0,38,1989000.0
902.0,20,1993000.0
917.0,38,1702000.0
1033.0,5,3558000.0
1270.0,24,3468000.0
1234.0,3,4424000.0
1472.0,39,3332000.0
444.0,0,1834000.0
1458.0,22,4170000.0
1430.0,19,4324000.0
400.0,39,-339000.0
1592.0,31,4017000.0
1197.0,0,4534000.0
695.0,17,1576000.0
1306.0,34,3373000.0
770.0,6,2546000.0
1124.0,26,3044000.0
1394.0,8,4598000.0
1585.0,19,4773000.0
1552.0,39,3583000.0
1128.0,1,3953000.0
427.0,3,1647000.0
953.0,36,1458000.0
1293.0,5,4455000.0
1464.0,1,5049000.0
1242.0,5,4143000.0
819.0,2,3275000.0
1058.0,29,2567000.0
807.0,36,923000.0
1175.0,0,4143000.0
555.0,30,591000.0
1161.0,2,3999000.0
1468.0,19,4190000.0
803.0,34,1517000.0
1594.0,38,3876000.0
400.0,10,1371000.0
1416.0,3,4952000.0
763.0,35,1083000.0
1076.0,16,3182000.0
1297.0,19,3988000.0
1418.0,13,4394000.0
563.0,1,2322000.0
1270.0,19,3215000.0
568.0,26,1024000.0
1239.0,22,3230000.0
1090.0,39,2260000.0
1309.0,16,4149000.0
824.0,2,3064000.0
1074.0,13,2982000.0
774.0,25,1617000.0
1196.0,17,3466000.0
1453.0,25,3926000.0
1388.0,5,4870000.0
1119.0,17,3276000.0
1585.0,35,4022000.0
1377.0,4,4762000.0
1622.0,14,5342000.0
1324.0,32,2946000.0
1087.0,8,3640000.0
1364.0,24,3856000.0
1600.0,32,3873000.0
1121.0,34,2730000.0
1315.0,15,3810000.0
918.0,14,2109000.0
1565.0,35,3486000.0
969.0,6,3394000.0
521.0,10,1792000.0
1493.0,34,3728000.0
716.0,26,1836000.0
1669.0,39,4255000.0
960.0,27,2349000.0
741.0,32,1197000.0
847.0,2,2927000.0
1417.0,35,3509000.0
1008.0,30,2088000.0
1435.0,25,4112000.0
825.0,14,2348000.0
1500.0,18,4582000.0
1242.0,7,3948000.0
1235.0,8,3921000.0
2376.0,31,6425000.0
728.0,38,988000.0
1485.0,38,3652000.0
641.0,9,2082000.0
1055.0,19,2982000.0
813.0,36,1327000.0
988.0,18,2820000.0
1214.0,9,3842000.0
755.0,0,2766000.0
1397.0,8,4554000.0
872.0,26,1711000.0
1495.0,34,3757000.0
960.0,9,3049000.0
1127.0,37,2505000.0
1203.0,8,4226000.0
1129.0,13,3467000.0
1548.0,11,4595000.0
2257.0,11,7366000.0
1198.0,37,2889000.0
988.0,8,3197000.0
1212.0,33,2837000.0
1353.0,28,3278000.0
1015.0,9,3325000.0
2112.0,11,7126000.0
809.0,7,2883000.0
1316.0,20,3452000.0
763.0,10,2712000.0
1507.0,5,4952000.0
1754.0,24,4937000.0
1027.0,11,2974000.0
1286.0,29,3106000.0
970.0,23,2709000.0
1755.0,30,5024000.0
1425.0,37,3551000.0
