temperature_c,ice_cream_sales,drownings
33.74,3692.0,11.25
32.32,4088.0,8.82
18.47,2521.0,9.47
18.07,2182.0,4.26
32.64,3694.0,10.62
38.04,4111.0,13.74
20.45,2479.0,5.75
20.89,1797.0,3.94
34.35,3677.0,14.04
27.71,3634.0,11.96
26.21,3322.0,11.9
24.43,3288.0,9.62
16.72,2120.0,5.8
27.28,2921.0,9.75
23.14,2908.0,11.58
25.51,2507.0,11.78
29.59,3748.0,10.86
33.46,4413.0,13.89
31.87,3512.0,10.29
35.05,4502.0,14.91
15.49,1858.0,3.94
32.66,3859.0,12.66
29.64,2951.0,11.27
37.99,4498.0,9.74
40.35,5089.0,17.35
15.35,1314.0,5.96
37.36,4325.0,13.26
21.84,2396.0,7.17
31.87,3322.0,12.41
35.64,4576.0,13.79
37.87,4536.0,15.9
40.4,4846.0,16.31
32.14,4137.0,13.92
38.2,4344.0,15.62
28.44,4375.0,8.46
21.3,2404.0,5.59
19.32,1956.0,8.52
28.44,3591.0,12.02
35.12,4317.0,13.91
27.13,2957.0,8.13
33.39,3726.0,11.83
18.38,2447.0,5.62
41.24,5028.0,17.69
27.8,3453.0,9.39
37.32,4734.0,12.12
34.68,3975.0,12.17
36.08,4703.0,14.92
25.35,3047.0,13.15
17.99,2372.0,6.1
27.29,2998.0,13.02
23.94,3097.0,8.58
25.76,3175.0,9.34
41.8,5758.0,14.92
23.34,2756.0,10.8
36.13,4795.0,13.39
19.49,2532.0,9.58
31.03,4197.0,11.52
24.36,2998.0,13.11
21.54,2734.0,8.97
25.6,2412.0,10.28
40.23,4449.0,13.67
30.62,3992.0,14.74
28.99,3611.0,12.14
36.7,4640.0,14.78
28.6,3359.0,11.44
18.04,2405.0,6.2
18.54,2123.0,6.36
34.4,4116.0,14.42
27.6,3682.0,9.43
20.64,2805.0,7.95
41.11,4808.0,20.91
22.3,2697.0,8.66
36.13,4413.0,13.88
23.55,2790.0,11.19
35.15,4193.0,12.12
29.24,3232.0,14.46
15.99,2094.0,6.4
34.25,3802.0,11.39
22.88,2463.0,8.87
26.73,3593.0,9.32
34.27,4665.0,15.08
41.87,5583.0,15.83
27.07,3359.0,12.25
33.15,3823.0,9.45
28.11,3601.0,10.38
32.99,4428.0,14.32
19.29,2355.0,8.71
41.84,4905.0,16.85
18.89,1772.0,9.04
33.02,3463.0,14.75
16.78,2533.0,6.71
17.36,1648.0,7.36
38.59,4435.0,17.22
35.24,4143.0,14.42
17.6,2189.0,1.96
22.59,2326.0,5.91
16.89,2201.0,5.46
40.26,5007.0,17.45
37.86,4567.0,15.27
35.97,4133.0,15.67
33.86,3954.0,15.53
33.16,3403.0,14.33
15.89,2095.0,4.47
16.53,1827.0,8.26
23.12,2365.0,6.56
