month,area_sqft
Month 1,822.0
Month 1,654.0
Month 1,1026.0
Month 1,1042.0
Month 1,860.0
Month 1,1092.0
Month 1,1109.0
Month 1,438.0
Month 1,759.0
Month 1,1122.0
Month 1,810.0
Month 1,1062.0
Month 1,1699.0
Month 1,813.0
Month 1,1176.0
Month 1,1376.0
Month 1,1051.0
Month 1,1153.0
Month 1,1379.0
Month 1,905.0
Month 1,2342.0
Month 1,1313.0
Month 1,1466.0
Month 1,1366.0
Month 1,631.0
Month 1,1413.0
Month 1,1027.0
Month 1,1548.0
Month 1,1390.0
Month 1,1378.0
Month 1,908.0
Month 1,989.0
Month 1,1095.0
Month 1,1283.0
Month 1,1284.0
Month 1,1668.0
Month 1,1092.0
Month 1,1345.0
Month 1,1759.0
Month 1,1103.0
Month 1,1991.0
Month 1,1171.0
Month 1,1394.0
Month 1,1023.0
Month 1,1486.0
Month 1,1523.0
Month 1,1372.0
Month 1,564.0
Month 1,1251.0
Month 1,912.0
Month 1,1066.0
Month 1,428.0
Month 1,954.0
Month 1,1380.0
Month 1,1221.0
Month 1,1301.0
Month 1,1667.0
Month 1,1762.0
Month 1,1520.0
Month 1,1578.0
Month 1,1624.0
Month 1,765.0
Month 1,387.0
Month 1,823.0
Month 1,1466.0
Month 1,1611.0
Month 1,633.0
Month 1,1618.0
Month 1,1806.0
Month 1,896.0
Month 1,1034.0
Month 1,1106.0
Month 1,1414.0
Month 1,1146.0
Month 1,1090.0
Month 1,857.0
Month 1,539.0
Month 1,1411.0
Month 1,996.0
Month 1,920.0
Month 1,920.0
Month 1,797.0
Month 1,1232.0
Month 1,1001.0
Month 1,824.0
Month 1,1556.0
Month 1,1570.0
Month 1,1513.0
Month 1,951.0
Month 1,1242.0
Month 1,1754.0
Month 1,1227.0
Month 1,1304.0
Month 1,1501.0
Month 1,1647.0
Month 1,842.0
Month 1,1390.0
Month 1,1067.0
Month 1,1483.0
Month 1,1329.0
Month 1,1280.0
Month 1,1130.0
Month 1,1187.0
Month 1,1222.0
Month 1,1253.0
Month 1,1030.0
Month 1,1338.0
Month 1,1755.0
Month 1,901.0
Month 1,1166.0
Month 1,963.0
Month 1,1593.0
Month 1,1418.0
Month 1,1349.0
Month 1,1044.0
Month 1,1246.0
Month 1,1414.0
Month 1,763.0
Month 1,741.0
Month 1,1385.0
Month 1,1071.0
Month 1,1258.0
Month 1,1134.0
Month 1,939.0
Month 1,841.0
Month 1,1488.0
Month 1,1239.0
Month 1,1222.0
Month 1,1394.0
Month 1,1386.0
Month 1,1454.0
Month 1,916.0
Month 1,496.0
Month 1,1591.0
Month 1,874.0
Month 1,1345.0
Month 1,1173.0
Month 1,1238.0
Month 1,1982.0
Month 1,1197.0
Month 1,1766.0
Month 1,1599.0
Month 1,1782.0
Month 1,1662.0
Month 1,1478.0
Month 1,1287.0
Month 1,1188.0
Month 1,1398.0
Month 1,1192.0
Month 1,1934.0
Month 1,779.0
Month 1,1267.0
Month 1,1407.0
Month 1,903.0
Month 1,1453.0
Month 1,1389.0
Month 1,794.0
Month 1,693.0
Month 1,1453.0
Month 1,1218.0
Month 1,801.0
Month 1,807.0
Month 1,981.0
Month 1,1528.0
Month 1,897.0
Month 1,1325.0
Month 1,1481.0
Month 1,767.0
Month 1,1654.0
Month 1,1938.0
Month 1,1003.0
Month 1,671.0
Month 1,1484.0
Month 1,1553.0
Month 1,1276.0
Month 1,1213.0
Month 1,1426.0
Month 1,553.0
Month 1,1206.0
Month 1,916.0
Month 1,1558.0
Month 1,826.0
Month 1,1051.0
Month 1,1250.0
Month 1,502.0
Month 1,915.0
Month 1,1291.0
Month 1,1851.0
Month 1,1620.0
Month 1,1627.0
Month 1,1722.0
Month 1,1569.0
Month 1,1243.0
Month 1,871.0
Month 1,718.0
Month 1,1636.0
Month 1,740.0
Month 1,776.0
Month 1,1416.0
Month 1,1028.0
Month 1,1373.0
Month 1,984.0
Month 1,1297.0
Month 1,887.0
Month 1,1419.0
Month 1,1140.0
Month 1,1636.0
Month 1,1098.0
Month 1,763.0
Month 1,957.0
Month 1,1519.0
Month 1,1284.0
Month 1,1213.0
Month 1,1239.0
Month 1,1440.0
Month 1,914.0
Month 1,1329.0
Month 1,1783.0
Month 1,478.0
Month 1,1031.0
Month 1,804.0
Month 1,1279.0
Month 1,1316.0
Month 1,1170.0
Month 1,1191.0
Month 1,767.0
Month 1,1174.0
Month 1,1802.0
Month 1,1456.0
Month 1,1630.0
Month 1,1052.0
Month 1,1476.0
Month 1,670.0
Month 1,1188.0
Month 1,1291.0
Month 1,636.0
Month 1,1508.0
Month 1,862.0
Month 1,2029.0
Month 1,1432.0
Month 1,1114.0
Month 1,1128.0
Month 1,1239.0
Month 1,896.0
Month 1,1641.0
Month 1,962.0
Month 1,641.0
Month 1,900.0
Month 1,1294.0
Month 1,866.0
Month 1,694.0
Month 1,1130.0
Month 1,1252.0
Month 1,1026.0
Month 1,1233.0
Month 1,1486.0
Month 1,1456.0
Month 1,1589.0
Month 1,1019.0
Month 1,1558.0
Month 1,1261.0
Month 1,593.0
Month 1,1209.0
Month 1,1876.0
Month 1,1364.0
Month 1,706.0
Month 1,553.0
Month 1,1108.0
Month 1,1917.0
Month 1,1268.0
Month 1,1886.0
Month 1,1074.0
Month 1,939.0
Month 1,778.0
Month 1,439.0
Month 1,1136.0
Month 1,884.0
