income,age,city,approved
63781.0,45,Mumbai,0
49545.0,35,Pune,1
51739.0,24,Delhi,1
11171.0,53,Pune,1
95994.0,63,Delhi,0
82883.0,22,Delhi,0
53492.0,39,Pune,1
75476.0,23,Pune,1
65624.0,61,Mumbai,0
48924.0,49,Mumbai,0
79551.0,38,Pune,0
53789.0,59,Mumbai,0
53424.0,43,Mumbai,0
44157.0,40,Pune,1
69099.0,24,Delhi,0
58016.0,48,Pune,1
70906.0,43,Mumbai,1
47856.0,32,Pune,1
62537.0,43,Pune,1
42155.0,32,Mumbai,0
76829.0,33,Pune,0
63761.0,41,Delhi,0
,39,Delhi,0
68210.0,30,Pune,0
39785.0,62,Delhi,0
75664.0,40,Delhi,1
101134.0,38,Delhi,0
27231.0,27,Pune,0
25412.0,48,Delhi,0
29903.0,61,Delhi,1
76829.0,22,Mumbai,1
62574.0,49,Pune,1
81567.0,37,Delhi,0
74449.0,25,Pune,1
64211.0,31,Delhi,0
65681.0,29,Pune,0
56605.0,63,Pune,0
77369.0,57,Delhi,0
37406.0,49,Delhi,1
51563.0,37,Pune,0
64859.0,64,Mumbai,0
,32,Mumbai,0
,46,Pune,1
38419.0,22,Delhi,0
48734.0,64,Pune,0
79385.0,50,Pune,1
55300.0,42,Delhi,1
86487.0,46,Delhi,0
22549.0,57,Mumbai,0
82570.0,57,Delhi,1
,44,Pune,1
31627.0,28,Delhi,0
,39,Pune,0
84315.0,54,Delhi,1
,54,Pune,1
79994.0,57,Delhi,1
,59,Mumbai,0
65479.0,57,Pune,1
54392.0,64,Mumbai,0
44579.0,53,Delhi,1
72961.0,40,Mumbai,1
56065.0,40,Mumbai,0
56425.0,57,Mumbai,0
57895.0,23,Mumbai,1
72997.0,45,Delhi,0
38673.0,49,Pune,0
29402.0,42,Delhi,0
11322.0,22,Delhi,1
83973.0,53,Delhi,0
61476.0,24,Mumbai,0
90202.0,24,Pune,0
59821.0,39,Delhi,1
45157.0,60,Delhi,0
69559.0,26,Delhi,0
58468.0,24,Mumbai,0
34916.0,40,Mumbai,1
42299.0,40,Pune,0
95336.0,58,Pune,1
67087.0,32,Mumbai,1
68328.0,28,Delhi,0
54469.0,37,Pune,0
46206.0,56,Pune,0
77833.0,51,Delhi,0
57907.0,64,Delhi,1
,36,Mumbai,0
57317.0,22,Mumbai,1
41888.0,63,Pune,1
63801.0,39,Pune,0
82585.0,34,Pune,0
43278.0,52,Pune,1
88571.0,31,Delhi,0
46648.0,53,Mumbai,0
63068.0,24,Delhi,1
43272.0,33,Delhi,0
,35,Mumbai,0
60948.0,56,Delhi,0
51306.0,62,Delhi,0
45942.0,37,Mumbai,1
46442.0,22,Pune,0
43577.0,29,Delhi,0
28598.0,26,Delhi,0
54741.0,43,Mumbai,1
,48,Pune,1
78168.0,47,Delhi,0
72942.0,42,Mumbai,1
109147.0,57,Delhi,1
66374.0,37,Delhi,1
50873.0,50,Mumbai,1
97433.0,36,Pune,0
39056.0,24,Mumbai,1
79370.0,32,Mumbai,0
40897.0,46,Mumbai,1
67082.0,35,Pune,1
,36,Delhi,1
77985.0,45,Mumbai,1
56835.0,52,Delhi,1
40646.0,24,Delhi,0
93568.0,22,Delhi,0
75307.0,23,Mumbai,1
60916.0,49,Delhi,0
45091.0,32,Delhi,1
59133.0,55,Delhi,0
56721.0,42,Pune,0
74496.0,22,Mumbai,0
75962.0,33,Pune,0
46645.0,21,Mumbai,0
49013.0,45,Delhi,0
49359.0,60,Pune,0
33014.0,23,Mumbai,0
48169.0,60,Mumbai,0
58152.0,38,Pune,0
73819.0,28,Mumbai,0
86408.0,58,Mumbai,1
43833.0,61,Pune,0
71020.0,44,Mumbai,0
,38,Pune,1
101504.0,55,Mumbai,0
59026.0,43,Mumbai,0
,57,Pune,0
41277.0,41,Delhi,1
43786.0,32,Delhi,0
64034.0,35,Pune,1
52319.0,32,Pune,0
67066.0,59,Mumbai,0
,44,Pune,1
73240.0,47,Mumbai,0
42010.0,63,Pune,0
94448.0,62,Delhi,0
54231.0,49,Pune,0
81945.0,48,Pune,1
32100.0,25,Pune,1
68579.0,61,Mumbai,1
42239.0,38,Mumbai,0
50262.0,43,Delhi,0
60492.0,32,Delhi,0
53659.0,41,Delhi,0
65285.0,45,Pune,0
