person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
29,female,Associate,39704.0,8,RENT,10800.0,MEDICAL,13.57,0.27,5,607,No,1
28,male,Associate,36889.0,5,RENT,7796.0,PERSONAL,14.04,0.21,10,668,Yes,0
26,male,Associate,97163.0,2,RENT,20000.0,EDUCATION,10.05,0.21,6,643,No,0
41,male,Doctorate,65605.0,23,RENT,10000.0,MEDICAL,13.23,0.15,17,600,Yes,0
24,male,Bachelor,37030.0,1,RENT,4600.0,MEDICAL,11.01,0.12,2,657,Yes,0
37,male,Associate,58528.0,9,RENT,14737.0,PERSONAL,11.05,0.25,11,627,No,1
22,male,Bachelor,90285.0,1,MORTGAGE,11500.0,MEDICAL,9.99,0.13,3,661,No,0
25,male,High School,22450.0,4,MORTGAGE,4000.0,MEDICAL,11.01,0.18,3,580,No,1
28,female,Bachelor,19066.0,5,RENT,4000.0,HOMEIMPROVEMENT,14.71,0.21,10,619,No,1
22,male,Master,178234.0,1,MORTGAGE,15000.0,DEBTCONSOLIDATION,7.66,0.08,4,624,Yes,0
25,male,Bachelor,28947.0,0,MORTGAGE,7000.0,DEBTCONSOLIDATION,10.71,0.24,3,577,Yes,0
27,female,Associate,38225.0,6,RENT,2600.0,HOMEIMPROVEMENT,14.74,0.07,5,634,No,1
37,male,Bachelor,23963.0,9,RENT,7000.0,HOMEIMPROVEMENT,8.62,0.29,9,636,No,1
23,male,Associate,49506.0,1,RENT,9500.0,HOMEIMPROVEMENT,14.74,0.19,4,640,No,1
21,male,High School,90770.0,0,MORTGAGE,8500.0,PERSONAL,7.14,0.09,2,623,Yes,0
27,male,Bachelor,24665.0,6,RENT,9575.0,HOMEIMPROVEMENT,6.62,0.39,9,603,No,1
36,male,High School,72962.0,15,MORTGAGE,8000.0,VENTURE,13.92,0.11,14,675,Yes,0
25,male,High School,38922.0,4,RENT,14850.0,DEBTCONSOLIDATION,8.9,0.38,3,680,No,1
31,male,Master,94681.0,8,RENT,18000.0,HOMEIMPROVEMENT,18.79,0.19,9,609,No,1
29,female,High School,65769.0,6,MORTGAGE,7500.0,DEBTCONSOLIDATION,7.49,0.11,9,665,No,1
25,female,Associate,96803.0,2,MORTGAGE,15000.0,MEDICAL,11.12,0.15,4,639,No,1
23,male,High School,40548.0,0,RENT,4800.0,VENTURE,14.54,0.12,4,597,Yes,0
34,male,Master,87309.0,10,RENT,20000.0,VENTURE,11.19,0.23,7,689,No,0
24,male,Bachelor,60341.0,3,RENT,4400.0,DEBTCONSOLIDATION,16.77,0.07,3,636,No,1
29,female,Bachelor,229004.0,7,MORTGAGE,4000.0,PERSONAL,6.62,0.02,5,649,No,0
37,male,Bachelor,39888.0,11,RENT,10000.0,DEBTCONSOLIDATION,13.79,0.25,15,568,No,1
21,female,Associate,27576.0,0,RENT,4941.0,EDUCATION,13.36,0.18,3,609,No,0
23,female,Master,57192.0,0,RENT,15000.0,PERSONAL,12.04,0.26,2,613,No,1
23,female,Associate,19062.0,2,RENT,6105.0,EDUCATION,8.9,0.32,3,708,No,1
21,male,High School,62027.0,0,RENT,1600.0,VENTURE,15.62,0.03,4,629,No,1
21,female,Associate,61736.0,0,RENT,7950.0,VENTURE,10.99,0.13,3,576,No,0
31,female,High School,78950.0,10,MORTGAGE,4500.0,MEDICAL,15.32,0.06,10,571,Yes,0
22,female,High School,72826.0,1,RENT,12000.0,PERSONAL,8.17,0.16,3,624,Yes,0
21,female,Bachelor,72915.0,0,MORTGAGE,6000.0,PERSONAL,6.91,0.08,4,624,No,0
21,male,High School,39904.0,0,RENT,10000.0,EDUCATION,11.48,0.25,2,657,No,1
27,male,Bachelor,60613.0,4,RENT,6000.0,PERSONAL,11.22,0.1,8,706,Yes,0
21,female,Master,19840.0,3,RENT,6000.0,VENTURE,9.63,0.3,3,688,No,1
27,male,Master,48771.0,5,RENT,10000.0,DEBTCONSOLIDATION,11.36,0.21,5,715,No,0
33,male,High School,87097.0,12,MORTGAGE,2931.0,HOMEIMPROVEMENT,10.35,0.03,12,642,Yes,0
27,female,Bachelor,35638.0,5,RENT,9750.0,PERSONAL,7.51,0.27,6,705,No,1
26,male,Associate,50353.0,5,RENT,14000.0,DEBTCONSOLIDATION,14.98,0.28,5,607,No,1
33,male,Bachelor,144975.0,11,MORTGAGE,15000.0,PERSONAL,5.79,0.1,9,681,Yes,0
24,female,Bachelor,54902.0,4,RENT,9600.0,DEBTCONSOLIDATION,15.31,0.17,3,618,No,1
25,female,High School,53032.0,4,RENT,3000.0,EDUCATION,6.15,0.06,5,655,No,0
28,female,Master,32511.0,3,RENT,8000.0,VENTURE,11.36,0.25,5,685,No,1
29,male,Bachelor,111182.0,5,RENT,20000.0,DEBTCONSOLIDATION,13.72,0.18,10,673,No,0
26,female,High School,67074.0,6,MORTGAGE,6338.0,EDUCATION,10.66,0.09,4,597,No,0
23,male,High School,52826.0,5,MORTGAGE,9000.0,PERSONAL,9.63,0.17,2,592,Yes,0
22,female,Associate,45385.0,0,MORTGAGE,7500.0,EDUCATION,10.95,0.17,2,676,No,0
22,male,Associate,80342.0,2,RENT,7000.0,EDUCATION,9.99,0.09,4,612,No,0
23,male,Master,51668.0,0,RENT,12000.0,EDUCATION,13.49,0.23,2,648,Yes,0
70,male,Bachelor,58915.0,47,RENT,15000.0,MEDICAL,6.99,0.25,24,751,No,1
25,female,High School,133313.0,2,MORTGAGE,6405.0,EDUCATION,13.51,0.05,3,615,No,0
30,female,Bachelor,12662.0,8,RENT,1500.0,DEBTCONSOLIDATION,12.73,0.12,8,643,No,1
25,female,High School,133048.0,3,MORTGAGE,25000.0,PERSONAL,11.49,0.19,4,652,Yes,0
26,male,High School,46904.0,3,RENT,12000.0,PERSONAL,11.01,0.26,4,697,No,1
27,male,Master,108756.0,5,RENT,10000.0,DEBTCONSOLIDATION,7.66,0.09,7,714,Yes,0
36,male,Associate,153254.0,10,RENT,25000.0,DEBTCONSOLIDATION,14.59,0.16,11,617,No,1
30,female,Associate,69440.0,7,MORTGAGE,4000.0,HOMEIMPROVEMENT,8.0,0.06,8,625,Yes,0
27,female,Bachelor,76621.0,5,OWN,9500.0,EDUCATION,8.07,0.12,8,678,Yes,0
28,female,Bachelor,169201.0,4,MORTGAGE,25000.0,HOMEIMPROVEMENT,12.53,0.15,7,700,Yes,0
23,female,Bachelor,82582.0,1,MORTGAGE,8000.0,MEDICAL,15.33,0.1,3,691,No,1
21,female,High School,30927.0,0,RENT,5000.0,MEDICAL,16.45,0.16,4,681,No,1
