person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25,female,High School,117218.0,5,MORTGAGE,9404.0,VENTURE,7.06,0.08,3,584,Yes,0
44,female,High School,75398.0,23,RENT,11000.0,DEBTCONSOLIDATION,8.07,0.15,16,639,No,0
32,male,Associate,188986.0,8,MORTGAGE,7215.0,PERSONAL,7.69,0.04,7,564,Yes,0
24,female,High School,35604.0,4,RENT,2500.0,DEBTCONSOLIDATION,11.36,0.07,4,617,No,0
43,male,Master,171866.0,20,MORTGAGE,20000.0,MEDICAL,11.49,0.12,15,670,No,0
27,female,Associate,67684.0,4,RENT,3600.0,PERSONAL,11.11,0.05,7,614,No,0
22,male,High School,79210.0,0,MORTGAGE,5000.0,EDUCATION,9.37,0.06,4,592,No,0
28,female,High School,169315.0,6,MORTGAGE,18000.0,HOMEIMPROVEMENT,14.65,0.11,7,523,Yes,0
35,male,High School,36450.0,11,RENT,6150.0,VENTURE,12.21,0.17,5,615,Yes,0
23,male,Bachelor,99197.0,1,RENT,20900.0,PERSONAL,12.69,0.21,2,638,No,0
25,female,High School,47222.0,1,RENT,5525.0,MEDICAL,8.73,0.12,4,678,Yes,0
27,female,Associate,33443.0,7,RENT,3000.0,DEBTCONSOLIDATION,5.79,0.09,10,564,Yes,0
25,female,Bachelor,45608.0,3,RENT,2800.0,HOMEIMPROVEMENT,16.29,0.06,3,628,No,1
27,male,Associate,90660.0,0,MORTGAGE,8500.0,EDUCATION,17.16,0.09,5,557,Yes,0
25,male,High School,40510.0,2,RENT,7500.0,PERSONAL,12.85,0.19,5,504,Yes,0
27,male,Associate,59418.0,7,MORTGAGE,8500.0,MEDICAL,10.59,0.14,6,661,No,0
31,male,High School,84931.0,11,MORTGAGE,5000.0,PERSONAL,11.71,0.06,6,642,Yes,0
21,male,High School,65526.0,0,MORTGAGE,2700.0,PERSONAL,14.72,0.04,4,678,Yes,0
27,female,Master,34214.0,3,RENT,7000.0,EDUCATION,10.95,0.2,6,633,Yes,0
28,female,Associate,312736.0,6,MORTGAGE,27136.0,PERSONAL,11.73,0.09,4,566,Yes,0
24,female,Bachelor,85260.0,0,MORTGAGE,9000.0,EDUCATION,11.83,0.11,3,707,No,0
34,female,Master,108726.0,13,MORTGAGE,15000.0,VENTURE,6.99,0.14,6,598,No,0
32,female,Associate,54463.0,11,OWN,15000.0,HOMEIMPROVEMENT,7.51,0.28,5,682,No,0
24,male,High School,48384.0,2,RENT,4772.0,EDUCATION,12.26,0.1,4,547,No,1
29,male,Bachelor,181234.0,3,MORTGAGE,10000.0,MEDICAL,13.49,0.06,10,638,No,0
24,male,Bachelor,100469.0,1,MORTGAGE,5775.0,VENTURE,9.99,0.06,4,617,Yes,0
37,male,Bachelor,51934.0,14,MORTGAGE,8330.0,PERSONAL,12.17,0.16,14,507,Yes,0
26,male,Bachelor,145009.0,1,MORTGAGE,20000.0,HOMEIMPROVEMENT,13.79,0.14,4,717,Yes,0
22,female,Associate,58772.0,0,MORTGAGE,5000.0,MEDICAL,6.03,0.09,4,682,No,0
28,male,Associate,50741.0,8,OWN,13000.0,VENTURE,11.58,0.26,9,656,No,0
24,male,Master,31889.0,3,RENT,6000.0,DEBTCONSOLIDATION,7.71,0.19,4,682,No,0
22,male,Master,78714.0,0,MORTGAGE,12800.0,EDUCATION,5.99,0.16,4,624,Yes,0
28,female,High School,51488.0,7,OWN,12000.0,PERSONAL,11.86,0.23,6,655,No,0
28,male,High School,108832.0,6,MORTGAGE,12000.0,EDUCATION,8.15,0.11,8,548,No,0
25,female,Associate,40937.0,3,MORTGAGE,7125.0,MEDICAL,7.51,0.17,3,655,No,0
27,female,High School,191938.0,3,MORTGAGE,15000.0,PERSONAL,11.61,0.08,7,490,Yes,0
27,male,High School,52160.0,4,RENT,3764.0,DEBTCONSOLIDATION,11.71,0.07,5,644,No,1
25,male,Bachelor,65451.0,1,MORTGAGE,6000.0,EDUCATION,8.25,0.09,2,686,No,0
23,female,Associate,36725.0,2,RENT,8400.0,MEDICAL,14.65,0.23,3,651,No,0
25,male,Bachelor,39552.0,1,MORTGAGE,15000.0,PERSONAL,11.11,0.38,4,645,Yes,0
30,male,Master,84819.0,7,MORTGAGE,11250.0,PERSONAL,12.21,0.13,10,623,Yes,0
35,male,Associate,87524.0,12,MORTGAGE,12913.0,HOMEIMPROVEMENT,6.43,0.15,10,678,No,0
34,female,Master,118676.0,13,OWN,16000.0,EDUCATION,10.99,0.13,5,660,Yes,0
24,male,Associate,29992.0,0,RENT,5600.0,MEDICAL,12.73,0.19,4,627,Yes,0
30,female,Associate,29871.0,6,OWN,2500.0,VENTURE,7.29,0.08,6,522,Yes,0
35,male,High School,62156.0,11,RENT,5000.0,EDUCATION,12.98,0.08,10,631,No,0
27,female,Master,106464.0,8,MORTGAGE,20000.0,DEBTCONSOLIDATION,12.84,0.19,10,720,No,0
27,male,Master,80173.0,4,MORTGAGE,2885.0,VENTURE,7.33,0.04,3,712,Yes,0
22,male,High School,43269.0,0,RENT,8000.0,EDUCATION,7.29,0.18,2,616,No,0
28,male,Bachelor,77552.0,8,RENT,10000.0,HOMEIMPROVEMENT,11.72,0.13,6,646,Yes,0
54,female,Associate,35824.0,31,MORTGAGE,2500.0,PERSONAL,11.71,0.07,28,626,Yes,0
30,female,Bachelor,66405.0,8,RENT,25000.0,HOMEIMPROVEMENT,15.65,0.38,7,633,No,1
24,male,Master,71342.0,5,RENT,6300.0,MEDICAL,14.91,0.09,2,658,No,1
28,female,High School,234419.0,2,MORTGAGE,17936.0,MEDICAL,13.77,0.08,7,621,No,1
24,female,Associate,47471.0,4,MORTGAGE,15000.0,MEDICAL,15.23,0.32,2,635,Yes,0
28,male,Bachelor,248616.0,2,RENT,24000.0,HOMEIMPROVEMENT,11.01,0.1,10,563,Yes,0
24,male,High School,97044.0,1,MORTGAGE,5000.0,VENTURE,15.62,0.05,2,628,Yes,0
22,male,Associate,58493.0,0,MORTGAGE,9925.0,EDUCATION,9.63,0.17,2,683,Yes,0
27,female,High School,53035.0,4,MORTGAGE,10800.0,EDUCATION,10.99,0.2,6,688,Yes,0
25,male,High School,127063.0,3,MORTGAGE,4800.0,VENTURE,15.23,0.04,2,664,Yes,0
42,male,High School,135412.0,18,MORTGAGE,25000.0,PERSONAL,12.76,0.18,16,648,No,0
26,male,Bachelor,55096.0,2,RENT,6000.0,MEDICAL,7.49,0.11,3,639,Yes,0
23,female,Associate,109002.0,0,RENT,8000.0,EDUCATION,9.91,0.07,3,662,Yes,0
27,male,Associate,180868.0,3,MORTGAGE,18000.0,HOMEIMPROVEMENT,11.01,0.1,7,653,No,0
22,male,Associate,52556.0,0,RENT,13000.0,EDUCATION,12.87,0.25,4,644,No,0
24,male,Associate,67317.0,2,MORTGAGE,5500.0,HOMEIMPROVEMENT,8.59,0.08,4,615,Yes,0
26,female,Bachelor,37310.0,7,RENT,5000.0,MEDICAL,11.92,0.13,5,584,No,0
39,male,Bachelor,52739.0,17,MORTGAGE,6250.0,HOMEIMPROVEMENT,7.68,0.12,14,597,No,0
25,male,Bachelor,60425.0,3,RENT,12000.0,MEDICAL,7.14,0.2,3,593,No,0
22,male,Associate,90791.0,2,RENT,5000.0,EDUCATION,11.49,0.06,4,583,No,0
