f1,f2,f3,target
189.6179,1.2078,31.8141,380.8589
10.7559,12.2079,15.8448,29.7913
2.1771,15.5627,7.7544,12.109
776.8905,25.7482,13.6277,1566.2721
14.7403,9.6326,6.2923,34.4639
13.0674,34.1287,15.4497,43.9337
57.6007,16.1225,20.6287,122.6752
109.9915,36.5842,11.5219,238.6548
16.4262,36.4003,168.7801,51.0357
14.9307,15.3649,60.494,39.1595
7.5753,14.5721,53.0266,21.774
38.0304,22.2128,41.9767,88.2133
0.895,61.7712,6.9894,32.0317
3.2044,27.2238,43.4061,19.06
12.3142,6.1469,20.6711,26.9916
18.9533,94.2695,45.7023,83.8512
24.8584,68.224,16.0214,83.9752
7.2537,38.1858,38.122,34.6316
15.8582,8.4902,25.8438,36.1259
1.2927,42.9114,34.4843,24.6654
3.311,21.4879,6.9552,18.9982
46.1983,2.1434,7.3453,93.7384
43.8396,71.6678,1.8705,123.7083
11.6134,28.8129,10.2765,37.3581
115.5501,5.4176,29.6655,232.2008
6.3392,94.3074,19.6128,60.5918
13.3368,3.0343,127.7414,26.4342
45.9731,46.0128,70.2225,115.6053
29.4929,9.9426,8.3289,63.9428
8.3293,90.6567,4.0293,63.1137
10.4228,14.1064,25.7152,27.831
37.8217,5.0835,2.9951,77.362
19.9882,76.3189,46.19,78.4938
25.4627,14.17,27.7312,57.4502
15.3687,49.3495,8.3822,55.2311
23.2816,17.7812,36.514,55.4957
25.7157,331.9678,104.4303,217.2808
104.2103,2.1309,13.8136,209.2972
10.2834,36.0892,1.6373,37.7789
73.1088,64.9542,4.7957,178.5055
6.8455,8.3204,21.0653,15.7129
40.6528,191.0767,16.1644,176.6866
46.7238,23.8303,139.201,104.1646
45.4391,90.505,6.1384,137.251
16.2572,8.2059,105.1557,37.8872
41.4051,14.3585,12.2104,88.0384
34.231,9.2846,7.2164,73.2492
34.1036,301.7036,15.3214,218.9326
10.8977,5.5385,4.6251,23.5179
35.7833,51.2074,20.2893,97.702
28.9576,22.8171,23.395,68.8621
3.748,12.1347,22.706,11.7958
8.4868,11.8927,8.1577,22.6534
13.9176,51.3374,12.8425,53.3556
16.958,49.1605,40.8231,58.6028
129.6357,2.0147,51.5496,259.0475
11.8164,23.2932,50.4757,35.8951
66.1271,63.0095,23.8222,164.4944
117.9934,14.713,17.2002,242.1975
48.3897,10.9517,216.3715,101.5963
