age_years,income_rs,rating
52.6,46383.0,3.88
61.3,93185.0,2.1
9.4,38527.0,3.9
38.3,87240.0,2.5
52.2,93048.0,4.13
56.2,48098.0,3.14
47.8,66885.0,3.38
58.0,31952.0,4.29
43.5,75446.0,2.65
46.6,44443.0,3.5
42.1,33791.0,3.2
27.1,52139.0,3.86
29.8,50852.0,4.03
44.6,48294.0,3.69
33.0,63925.0,3.63
55.3,56620.0,3.14
55.5,46730.0,3.95
61.6,78976.0,3.27
39.7,108430.0,3.57
56.6,61301.0,3.61
29.1,45912.0,2.38
30.2,40144.0,2.56
41.0,71799.0,3.64
43.4,54869.0,3.45
20.8,60301.0,4.47
19.2,20106.0,1.53
44.3,37359.0,3.64
29.7,36755.0,4.34
54.5,78873.0,3.54
44.7,54593.0,4.1
43.7,10289.0,3.49
42.5,69638.0,3.43
50.7,82650.0,4.19
38.2,86083.0,2.44
53.0,3963.0,1.69
33.7,63055.0,3.86
37.3,76224.0,3.57
31.8,72113.0,3.57
47.2,55280.0,3.7
40.4,23973.0,3.97
29.7,51328.0,3.11
64.0,53531.0,3.85
35.6,71477.0,3.73
38.6,72794.0,2.56
44.7,55147.0,3.36
61.0,76942.0,3.7
38.2,38868.0,2.85
48.4,46347.0,4.31
41.2,59379.0,3.24
22.4,71472.0,4.12
49.5,53557.0,4.64
52.2,84613.0,2.31
37.1,68218.0,2.43
39.8,41017.0,3.95
22.0,61712.0,3.33
21.7,42250.0,3.9
35.3,40749.0,4.86
47.5,31452.0,3.1
34.4,87951.0,4.18
43.5,78188.0,3.29
51.6,27988.0,2.98
41.1,82258.0,3.87
46.9,79219.0,3.7
57.4,52733.0,4.35
25.0,70144.0,3.74
48.9,104899.0,4.19
17.4,65725.0,3.91
45.2,68438.0,2.14
42.4,82447.0,3.21
33.5,39307.0,3.24
27.1,34682.0,4.21
39.3,31812.0,2.66
35.1,58457.0,3.65
41.2,77455.0,3.17
29.1,42825.0,2.05
46.5,32616.0,3.38
27.6,64345.0,4.01
36.3,53012.0,3.21
35.3,72594.0,4.24
55.2,58037.0,3.81
22.1,57022.0,3.75
35.0,59073.0,3.09
54.2,61510.0,3.37
32.1,41555.0,3.87
25.1,38366.0,3.52
43.4,92637.0,2.52
36.5,122679.0,3.36
50.0,83309.0,3.82
29.0,28333.0,4.4
42.3,61559.0,4.17
48.0,84775.0,2.72
52.4,28589.0,4.06
26.7,51278.0,2.22
57.1,52860.0,2.98
29.2,42729.0,2.85
21.8,44312.0,4.72
28.5,81361.0,4.05
41.9,52052.0,3.74
36.1,56549.0,3.01
45.3,95473.0,4.49
45.9,44121.0,3.31
43.8,22808.0,3.88
36.9,74100.0,4.39
61.8,101419.0,3.27
13.4,65357.0,3.94
19.2,67269.0,1.93
33.9,35359.0,3.97
24.9,42359.0,2.15
9.3,90446.0,3.84
30.5,86321.0,3.74
31.0,72873.0,3.89
10.6,48208.0,5.36
50.3,37177.0,1.52
55.6,40033.0,3.88
54.8,37434.0,3.2
33.9,73116.0,4.12
41.8,45002.0,3.76
26.6,50768.0,3.6
42.5,74496.0,3.11
31.9,74017.0,2.95
44.9,61444.0,3.8
35.9,69961.0,2.31
52.4,60410.0,4.37
49.9,21490.0,3.06
54.9,58614.0,3.88
20.7,51645.0,2.57
18.2,52967.0,3.88
44.9,64905.0,3.33
33.1,48710.0,4.14
44.8,84546.0,4.5
43.6,56610.0,3.09
42.2,63365.0,3.6
51.0,66641.0,3.71
46.7,56574.0,4.68
45.7,73003.0,2.49
29.3,75190.0,4.0
60.7,72675.0,3.51
41.5,45766.0,2.56
53.3,41760.0,3.26
43.9,47674.0,2.99
55.2,59864.0,4.41
41.8,22196.0,2.77
42.6,42706.0,4.34
41.7,36539.0,3.16
31.5,46056.0,4.07
33.1,41045.0,2.16
38.2,75850.0,2.92
38.6,68487.0,3.66
28.2,78711.0,2.8
68.3,39721.0,2.29
28.2,43908.0,3.55
36.3,53553.0,4.16
69.3,92763.0,3.54
32.1,93224.0,3.36
49.2,47224.0,3.85
47.9,72267.0,3.19
37.5,102710.0,4.27
22.9,39119.0,4.41
21.4,55941.0,2.51
39.9,85799.0,4.37
45.0,74292.0,4.08
14.1,39886.0,3.76
41.8,90280.0,4.08
32.2,79551.0,4.68
50.7,73741.0,5.07
42.1,35020.0,4.83
30.4,56580.0,3.34
34.9,86303.0,4.61
40.6,69749.0,2.21
56.2,75919.0,4.26
76.6,54573.0,4.11
44.4,90207.0,4.33
41.6,55107.0,2.83
48.6,78425.0,4.7
40.6,66426.0,4.57
48.5,40633.0,3.72
45.6,89682.0,2.41
41.0,34713.0,3.81
31.5,45198.0,2.87
43.0,62778.0,2.3
51.9,31795.0,2.97
42.0,23760.0,5.42
59.3,57531.0,2.36
52.4,51318.0,3.26
39.6,54345.0,3.68
62.0,69886.0,4.28
27.7,105068.0,2.73
55.3,51453.0,2.74
63.5,108793.0,4.23
38.2,64598.0,3.73
40.0,57808.0,4.5
52.5,5602.0,2.58
58.5,28997.0,3.42
46.6,64831.0,4.24
44.3,70688.0,3.6
52.4,42809.0,2.6
44.5,65498.0,3.6
26.9,77386.0,1.99
39.2,48048.0,2.88
41.3,26858.0,4.11
23.4,39637.0,4.21
46.2,53207.0,3.81
32.5,64948.0,4.04
50.3,74770.0,2.29
23.5,40662.0,2.97
30.5,59912.0,4.32
23.9,54014.0,5.32
56.8,59904.0,3.85
56.7,81258.0,2.76
59.0,85179.0,2.72
59.1,49680.0,4.45
52.3,47059.0,4.36
52.1,45402.0,2.52
21.0,48691.0,3.6
45.4,50959.0,4.6
35.4,55862.0,4.61
37.6,49170.0,3.07
26.7,37803.0,3.35
57.2,35873.0,3.86
43.3,60435.0,2.62
23.6,108169.0,2.19
47.5,70481.0,2.95
40.4,72319.0,4.46
28.7,66346.0,4.36
37.4,56117.0,3.87
31.6,99404.0,2.55
13.2,53063.0,1.92
22.3,39838.0,2.65
46.6,34619.0,3.5
44.5,63059.0,4.29
43.5,39382.0,2.76
26.0,41862.0,3.52
32.9,41934.0,2.02
40.8,33004.0,1.77
48.3,62693.0,3.44
29.9,25728.0,2.49
27.3,105018.0,2.61
53.7,4063.0,1.62
40.8,31459.0,4.07
35.4,60655.0,1.98
31.1,67796.0,3.43
32.1,52602.0,2.21
59.0,65225.0,3.1
51.6,63088.0,4.47
35.0,62179.0,3.59
25.0,71423.0,3.49
60.1,64638.0,4.11
58.8,57826.0,3.82
54.4,57045.0,4.51
50.1,77598.0,2.23
17.4,56255.0,4.48
24.5,71391.0,3.45
46.8,91642.0,2.57
36.6,67778.0,3.88
43.1,84258.0,3.84
33.7,51492.0,3.4
32.1,65600.0,4.1
46.6,70371.0,2.36
35.2,64793.0,2.09
40.0,69782.0,2.94
43.1,88313.0,4.29
42.8,53855.0,3.84
53.9,46742.0,3.43
56.4,66684.0,2.92
23.6,30945.0,3.42
36.8,59793.0,4.36
32.2,83885.0,2.99
49.0,59786.0,2.97
27.2,70944.0,3.79
49.3,67684.0,3.96
48.4,84054.0,3.56
46.9,70126.0,4.6
28.3,64062.0,3.62
37.4,-6618.0,2.68
27.0,49490.0,1.7
44.7,74112.0,4.4
51.4,56977.0,3.34
21.7,44805.0,3.73
30.0,77822.0,3.84
38.0,41990.0,4.56
33.6,52750.0,4.32
57.9,73183.0,4.28
38.2,49136.0,3.72
43.0,62827.0,3.32
26.6,58963.0,3.72
58.5,35257.0,2.85
42.0,48642.0,3.8
49.3,51795.0,4.37
41.0,46085.0,4.09
14.5,80842.0,3.64
20.8,58459.0,2.82
24.5,46072.0,2.81
45.6,31015.0,2.94
33.9,52309.0,3.19
45.1,84932.0,3.87
43.4,52581.0,3.91
43.0,73759.0,3.97
51.0,67683.0,4.32
42.2,48253.0,2.74
20.3,39587.0,3.34
