x,y,true_group
-0.4919,0.894,0
1.285,-0.4913,1
1.5519,-0.3137,1
-1.0267,0.0762,0
0.1598,-0.1602,1
0.5933,0.8257,0
-0.8041,0.6258,0
0.3435,-0.3505,1
-0.6419,0.8179,0
-0.045,0.3277,1
0.9239,0.4273,0
-0.4925,0.8959,0
-0.2498,0.9535,0
1.685,-0.2388,1
0.9636,0.0878,0
0.6658,0.8672,0
0.8488,-0.5827,1
-0.5654,0.7679,0
0.013,0.3863,1
-0.9585,0.0417,0
-0.9783,0.2722,0
0.428,-0.3423,1
-0.4485,0.8957,0
1.6104,-0.2664,1
-1.0453,0.3812,0
1.2429,-0.4721,1
0.3143,0.9488,0
0.996,0.0682,0
0.9058,-0.454,1
-0.0786,0.9758,0
-0.8674,0.435,0
0.9334,-0.3746,1
1.5115,-0.2941,1
0.0354,0.2077,1
0.5353,0.8918,0
0.2998,1.0046,0
0.1908,1.0669,0
-0.9546,0.3702,0
-0.8123,0.2469,0
1.9918,0.5682,1
-0.002,1.0349,0
1.3238,-0.4154,1
0.9171,0.1941,0
0.9928,-0.025,0
1.0005,-0.5269,1
0.5781,0.6721,0
1.9647,0.1059,1
0.3458,-0.1986,1
-0.8653,0.5592,0
0.1096,0.0079,1
0.2603,-0.193,1
-0.6498,0.7568,0
0.8701,-0.545,1
-0.8874,0.3743,0
0.6276,-0.4717,1
1.2785,-0.3223,1
0.6393,0.7884,0
1.0324,0.0859,0
0.9633,0.328,0
0.5985,0.6885,0
0.2864,0.9471,0
0.5383,-0.3077,1
1.0621,0.0359,0
1.7168,-0.225,1
-1.0185,0.1091,0
1.882,0.0816,1
-0.6234,0.7739,0
0.951,-0.0074,0
-0.6762,0.6108,0
1.1259,-0.5176,1
0.8833,0.0816,0
0.3873,-0.2746,1
0.519,0.8791,0
1.0065,0.3309,0
-0.1191,1.0027,0
0.9642,0.1955,0
1.8267,-0.1059,1
1.0878,-0.5571,1
1.8759,-0.0795,1
1.452,-0.3639,1
1.5835,-0.4328,1
0.5191,0.8998,0
0.5443,0.7865,0
-0.2378,0.9334,0
1.0102,-0.5994,1
0.0439,-0.0303,1
-0.2489,0.9474,0
1.951,0.0876,1
1.9768,0.3399,1
1.3743,-0.4657,1
2.0068,0.273,1
0.4181,-0.1913,1
0.5981,0.7064,0
1.038,0.1473,0
-1.096,0.1629,0
-0.621,0.746,0
-0.5427,0.7986,0
1.9031,0.4064,1
0.4499,-0.361,1
1.9552,0.0162,1
0.3179,-0.2014,1
0.6361,0.9417,0
1.2518,-0.4457,1
-0.9328,0.5978,0
0.7346,-0.4606,1
1.6533,-0.4669,1
0.2538,0.9738,0
1.6763,-0.2949,1
-0.6956,0.6806,0
0.8708,-0.4786,1
0.1045,0.9988,0
0.213,0.991,0
0.9211,-0.568,1
0.9404,0.3371,0
1.9119,-0.0183,1
0.0592,0.1922,1
0.3564,-0.3091,1
0.6522,0.7479,0
0.2024,-0.0478,1
1.6543,-0.1521,1
0.09,0.8609,0
0.0772,0.1418,1
0.1096,-0.0701,1
0.0986,0.0269,1
1.9101,0.3044,1
-0.6794,0.7356,0
0.803,0.3555,0
0.1975,-0.2641,1
1.6989,-0.2413,1
-0.7783,0.5298,0
-0.6363,0.6457,0
2.0632,0.4352,1
0.5508,0.9251,0
0.1383,-0.1158,1
0.0919,0.0603,1
0.0671,1.0329,0
1.1778,-0.4703,1
-1.0587,0.0579,0
1.4723,-0.3359,1
1.126,0.2607,0
-0.8907,0.494,0
-1.0401,0.1991,0
0.9129,0.454,0
-0.1611,0.9599,0
0.4343,-0.3734,1
-0.1532,0.9044,0
1.727,-0.0249,1
0.2956,-0.0696,1
0.0689,-0.143,1
-0.2972,0.9768,0
1.493,-0.3234,1
-0.301,1.0526,0
0.8216,-0.5411,1
-0.2969,0.9273,0
0.0424,0.2121,1
-0.4887,0.9233,0
0.4806,-0.3743,1
-0.5406,0.9378,0
-0.9264,0.0197,0
0.9153,-0.5351,1
0.6964,-0.4686,1
-0.5167,0.8568,0
0.8801,0.4252,0
1.931,0.2656,1
-0.8573,0.5248,0
0.9241,0.3578,0
0.1883,-0.008,1
0.0493,1.005,0
0.2835,0.9579,0
0.5304,0.8988,0
-1.0169,0.4852,0
0.6464,-0.5078,1
0.1207,0.4973,1
2.0037,0.2671,1
0.0663,0.0557,1
0.8252,-0.4436,1
-0.1333,1.0226,0
0.7749,0.5542,0
1.3202,-0.402,1
2.0343,0.4308,1
0.0226,0.063,1
0.3984,0.9817,0
-0.6751,0.7902,0
1.8915,0.2667,1
0.0162,0.1612,1
-0.0006,0.3695,1
0.8735,0.2592,0
-0.9273,0.3067,0
1.8032,-0.1426,1
0.5862,-0.3777,1
0.6648,0.7079,0
1.3791,-0.4112,1
1.6441,-0.1507,1
0.8539,0.4277,0
0.9151,-0.0038,0
0.0292,0.1352,1
-0.7714,0.6051,0
-0.0867,0.2335,1
1.9711,0.1986,1
0.0465,0.1988,1
-0.5576,0.8407,0
0.2344,-0.1286,1
0.0852,0.1816,1
0.5948,-0.4382,1
0.6446,-0.5165,1
1.1291,-0.3927,1
0.1803,-0.0776,1
0.81,0.5178,0
0.03,0.4147,1
1.9667,0.4139,1
