x,y
9.4244,18.1528
3.0714,8.1304
2.5491,12.0003
2.2262,-1.8524
7.862,12.7688
2.1671,4.0675
8.0573,18.699
7.3266,9.4478
4.2177,6.6657
4.9183,10.1728
9.0924,17.5319
7.9097,15.3883
1.5381,0.4126
7.4899,19.2209
4.0301,5.9576
9.9141,18.2557
2.1161,8.1557
4.1048,7.0904
9.4329,17.8374
5.802,6.0856
7.3575,12.671
6.0475,9.4305
2.3134,0.7257
0.5454,0.6878
0.9505,0.2207
3.6013,10.3391
0.9208,0.7999
1.6991,-0.3152
4.8589,8.6041
3.5518,6.2089
5.6214,18.4909
3.433,12.7449
5.5606,10.8601
6.4297,9.1438
8.5433,22.0065
0.3352,3.3771
7.5076,7.8252
3.7369,8.8385
2.4922,0.267
1.1153,7.582
