x,y
30.736,51.409
34.347,42.226
22.127,44.238
26.949,49.972
33.595,70.937
28.706,62.176
28.174,64.006
28.551,37.842
26.275,64.207
26.446,47.174
33.954,52.377
34.441,63.676
30.473,59.027
38.453,44.713
24.998,39.942
33.59,41.716
35.234,46.408
41.09,35.164
33.078,54.967
29.112,52.726
34.057,39.774
30.438,62.968
33.217,66.682
36.157,28.775
31.506,57.75
30.027,62.971
32.885,60.819
32.582,50.013
27.242,55.005
25.475,62.223
37.74,63.556
34.889,37.558
33.276,37.185
33.581,38.225
39.168,41.935
32.918,33.927
28.519,51.92
36.279,54.682
34.463,47.982
38.63,45.48
38.926,56.776
29.035,46.857
26.181,32.586
22.178,48.843
36.469,42.433
18.058,40.439
39.259,54.823
19.691,57.748
30.392,44.398
32.293,50.228
40.194,57.671
33.852,54.849
22.466,65.426
33.817,44.273
18.796,43.443
28.513,50.35
25.186,42.083
27.337,35.609
22.795,62.363
37.816,54.029
30.065,64.67
23.591,51.748
22.342,44.426
33.722,45.525
36.579,54.396
28.385,59.094
29.521,46.211
28.82,41.619
34.3,44.311
35.259,54.391
37.474,47.757
33.945,51.771
31.729,27.761
21.789,25.305
39.715,60.048
25.561,52.478
35.499,38.338
20.646,58.883
28.461,42.291
28.734,44.229
30.673,56.197
29.542,50.938
24.576,50.669
28.694,52.652
40.17,58.505
26.343,49.97
28.573,66.136
27.433,48.367
36.41,52.288
33.072,43.026
25.397,45.264
32.493,46.126
35.74,49.155
30.48,49.042
40.898,61.885
30.604,52.122
37.879,36.681
30.2,51.632
35.912,54.607
26.378,45.115
25.129,44.732
35.981,51.424
29.384,44.379
24.5,58.462
36.296,44.545
31.516,51.764
33.024,45.82
20.763,51.112
26.166,42.846
26.734,54.814
37.425,35.859
36.452,41.245
27.395,53.702
18.58,48.232
29.135,38.153
35.605,56.817
23.363,55.477
27.75,54.741
26.59,55.419
34.068,66.843
28.478,51.873
21.904,52.683
38.485,56.133
34.461,34.651
42.951,42.927
32.884,51.4
30.683,51.17
26.375,59.423
42.709,46.081
45.344,49.787
16.977,49.363
23.406,44.895
22.146,55.247
24.301,33.685
33.884,50.619
26.596,38.456
33.949,49.329
28.835,36.86
35.747,67.525
39.122,56.62
34.097,39.167
27.83,47.494
36.521,67.274
28.901,59.672
29.352,62.893
37.05,40.443
32.333,61.337
28.02,55.183
39.48,45.466
31.831,53.446
34.51,56.736
25.855,59.354
37.129,34.649
26.116,54.817
26.068,55.891
31.665,32.266
37.961,53.902
31.461,55.184
40.247,66.801
28.277,51.394
26.531,40.354
22.483,46.697
24.43,55.049
33.666,50.172
24.0,54.094
34.465,45.873
25.707,45.363
38.89,50.988
22.382,53.284
28.762,62.342
25.272,58.01
23.043,33.473
27.278,41.345
31.296,58.565
37.27,52.243
22.642,51.58
37.788,57.634
23.077,27.317
34.521,56.033
26.753,58.178
22.241,46.481
28.39,58.035
33.915,51.122
28.797,52.34
34.413,50.572
41.988,37.227
25.746,41.382
34.146,53.783
36.299,39.217
26.931,52.907
26.225,45.105
25.776,49.388
25.439,64.326
28.998,46.048
41.714,55.683
33.329,38.87
34.496,58.494
14.915,42.224
27.134,60.415
29.3,51.205
42.556,51.144
26.322,75.42
27.601,51.194
38.602,36.17
33.922,48.289
25.842,49.042
42.669,42.04
29.74,64.409
