x,y
0.0012,0.2987
-0.2741,-0.8906
-0.4547,-0.9916
0.0601,1.3402
-0.4922,-0.6205
0.4898,0.3569
0.1054,-0.9305
-0.0293,0.6953
-1.3442,-0.4576
-1.9012,-1.2895
-1.8417,-0.2351
-1.2674,0.2713
0.1568,-0.1869
-2.5168,-0.5387
-0.0485,0.1133
-1.5301,-0.4778
-0.9785,-0.8088
1.0609,-0.8075
-0.0325,0.8844
-0.5836,-0.1117
0.1105,0.0638
-1.2251,0.0761
1.3588,-1.5471
0.8594,0.1194
-0.6415,2.0004
0.7623,-1.1993
0.0745,0.5767
-0.1888,0.6829
-0.0665,0.6672
1.4385,-0.6757
0.2031,-0.4633
0.1273,-1.1872
-0.5793,-0.1962
0.8988,1.1452
-1.3235,-0.7946
0.6469,-1.9924
-0.4632,-0.0973
1.257,0.6894
-0.3272,-0.3686
-0.2502,1.5235
-0.428,-0.3037
0.3526,-0.1208
-0.1973,-1.1141
-0.0115,-0.4436
1.1661,0.6531
-0.0241,0.6684
-0.3399,1.0521
-0.0054,0.5834
-1.2909,0.3467
-1.6882,-2.0353
-0.3045,-0.8999
0.1641,2.2448
-0.8317,-0.6239
0.2054,0.493
-0.1764,-0.2059
0.7025,0.5199
-1.0337,-0.0792
0.0353,-1.0545
0.2598,-0.858
0.9721,0.1927
0.0893,-0.591
-0.1186,-1.9977
-1.1314,0.3628
-2.1286,0.8466
-1.7461,0.7567
-0.8455,0.779
0.131,-1.5368
1.2491,1.4417
-0.0658,-0.2739
-0.1599,-0.9752
1.0986,-0.5429
-0.0512,-0.7933
-0.6261,-1.2777
1.2571,-0.1541
0.9659,0.0133
-0.6944,-0.3267
-0.5602,0.008
-0.3753,-0.2999
-1.3786,-0.8068
1.6541,-0.6712
-1.0541,0.3373
1.4073,-1.454
-0.2085,-0.6321
-1.761,0.7349
-0.0234,0.0714
-0.7523,0.4548
-0.5393,-0.1429
-1.1083,-1.2161
1.3355,-0.5071
0.2917,-0.0338
-0.4411,-0.508
0.6301,-0.3019
-0.1514,0.0222
1.1765,0.6805
0.3826,-0.5636
-1.382,0.9495
0.9664,-0.1407
0.5419,0.7814
0.8312,0.9214
-0.4556,1.515
-1.2466,0.8617
0.4939,0.8736
1.879,1.4844
-1.1452,-1.6887
0.8169,-1.015
-0.0124,0.8397
-1.6438,-2.11
0.2593,0.0444
-0.2458,0.0385
-0.8605,-1.5135
-0.1667,-0.9717
-1.6435,0.5057
-0.0614,0.4065
-0.9893,-0.6581
-0.999,-0.8866
0.1954,-0.783
0.3561,0.3398
2.0252,-1.3928
0.8879,-0.0895
-0.014,-1.4499
-0.4602,0.7432
-0.0825,0.0811
-0.2907,1.1546
-0.0215,-2.2004
-0.6921,-1.9688
-3.2514,-0.5301
1.3336,0.0471
-1.1725,-0.9407
1.1306,0.1576
0.048,-0.0535
0.0384,0.8054
0.5526,0.2157
-1.0429,0.5111
-0.6842,1.0938
-1.2711,-0.1376
-0.0074,-1.3246
1.722,1.4604
-0.4636,0.7717
0.3787,-2.6136
0.2504,-0.0613
0.0832,-1.0769
-0.2693,-0.1783
1.1881,0.3344
-0.0056,1.529
-0.5552,-0.3894
-1.8168,1.5691
0.9643,0.9168
0.6689,0.1101
0.2155,-0.252
-0.2036,0.0543
1.5118,0.5557
-0.0585,-0.5794
-0.635,1.6027
0.5067,0.0676
-0.3462,-1.1091
-0.0669,0.8737
-0.3925,-0.2272
-0.221,0.1096
-1.593,-0.2354
-0.8544,0.8846
-0.7706,0.577
1.5244,-0.3136
-0.6016,0.1914
-0.002,-0.9936
0.4609,2.0155
-0.2581,-0.2029
-1.0449,0.3191
-1.247,-1.1069
