month,region,sales
2024-01-01,North,50197.19
2024-01-01,South,40165.21
2024-01-01,West,30589.43
2024-02-01,North,48917.07
2024-02-01,South,39708.33
2024-02-01,West,30242.7
2024-03-01,North,48233.75
2024-03-01,South,40940.55
2024-03-01,West,30843.37
2024-04-01,North,47950.97
2024-04-01,South,42434.22
2024-04-01,West,32299.26
2024-05-01,North,46149.25
2024-05-01,South,41658.99
2024-05-01,West,32283.83
2024-06-01,North,45698.86
2024-06-01,South,41154.94
2024-06-01,West,31343.21
2024-07-01,North,44677.56
2024-07-01,South,43572.08
2024-07-01,West,33222.3
2024-08-01,North,44393.61
2024-08-01,South,42963.44
2024-08-01,West,33587.49
2024-09-01,North,42013.01
2024-09-01,South,44243.15
2024-09-01,West,33370.54
2024-10-01,North,42199.98
2024-10-01,South,43736.23
2024-10-01,West,33489.8
2024-11-01,North,41372.01
2024-11-01,South,43356.94
2024-11-01,West,36001.81
2024-12-01,North,40746.68
2024-12-01,South,44209.88
2024-12-01,West,35228.2
