sample,x,y
0,6.1576,15.2867
0,5.7423,11.2694
0,5.1954,12.1764
0,0.0639,-0.9934
0,5.5029,2.6001
0,9.6834,18.8668
0,3.9806,9.0566
0,0.1584,4.3364
0,2.4375,6.1177
0,9.4645,15.2914
0,8.9601,14.7326
0,4.7379,12.1919
0,1.1716,1.542
0,0.7881,2.3722
0,9.8279,16.6924
0,0.6446,4.0006
0,4.8948,15.9933
0,4.0901,6.6014
0,7.651,21.0925
0,0.7251,3.6144
0,4.9848,9.5865
0,8.626,13.6765
0,4.1197,10.9844
0,7.7681,18.7518
0,5.4471,7.5597
0,1.8731,4.5649
0,7.7324,12.9108
0,2.516,4.2005
0,6.0589,8.1796
0,2.8002,7.5803
1,5.4943,9.0367
1,6.4589,16.9467
1,8.1207,19.8389
1,1.496,6.8403
1,8.6472,12.5319
1,5.6359,10.8616
1,4.3984,7.2475
1,0.1033,0.5691
1,1.8338,3.7942
1,2.7824,6.25
1,9.2838,15.1204
1,3.8487,7.6216
1,5.4139,4.6326
1,6.3429,9.8881
1,7.6408,15.4635
1,1.5916,6.0074
1,1.263,-0.0028
1,6.7193,12.8187
1,1.6499,4.5941
1,9.4465,12.3974
1,3.8232,8.083
1,7.3824,14.4
1,2.2188,5.1677
1,2.9022,11.4909
1,9.1827,13.9698
1,1.807,5.3565
1,4.2272,9.6891
1,9.2619,17.253
1,2.3094,4.0067
1,6.2506,12.8444
2,4.0661,2.9009
2,9.6639,16.4355
2,8.2207,13.5378
2,2.5286,7.4567
2,6.1165,4.5726
2,1.7247,4.5574
2,7.0217,15.5633
2,0.9278,1.375
2,7.2324,14.5258
2,8.2146,16.0136
2,6.7015,11.2946
2,0.6547,3.8613
2,2.0535,7.6213
2,0.605,-1.6872
2,8.1685,16.1571
2,0.0161,1.128
2,4.2943,8.5027
2,3.5392,5.9425
2,1.8894,3.143
2,7.0263,14.6343
2,9.3554,17.2815
2,0.9383,2.455
2,3.5679,2.4641
2,5.906,11.9615
2,9.8143,18.2178
2,0.5148,8.7219
2,6.8187,10.1664
2,4.0356,8.5948
2,6.4655,10.9485
2,7.8942,5.865
3,1.9508,3.4989
3,2.9756,6.4609
3,0.8367,6.1145
3,2.056,6.1558
3,4.0026,9.8355
3,5.402,8.6001
3,9.4754,20.3423
3,2.7363,7.4503
3,1.1395,-1.9814
3,5.2765,13.7736
3,6.6695,8.2248
3,4.5919,12.4556
3,5.1952,6.948
3,9.0943,17.1177
3,3.9283,11.1997
3,8.4204,13.9456
3,2.4542,6.7584
3,7.6502,15.3426
3,3.4941,1.9012
3,5.6863,16.1112
3,6.839,11.7259
3,4.6081,10.302
3,0.3268,2.9139
3,8.3021,17.1994
3,0.2604,2.6306
3,5.769,7.0035
3,3.2321,9.4435
3,4.4952,1.9124
3,6.1375,13.906
3,2.7665,0.9578
4,0.4929,5.8473
4,5.794,7.6026
4,8.8138,18.297
4,1.4926,3.4546
4,5.0113,5.9096
4,2.2581,9.3267
4,3.5318,3.7585
4,4.3881,5.0797
4,0.5762,2.6652
4,6.8871,12.9283
4,9.1166,18.9154
4,9.6215,19.6591
4,9.6668,14.7571
4,4.9266,8.9999
4,7.743,12.4748
4,8.4427,9.1578
4,6.6536,11.0762
4,0.7636,-2.678
4,1.9521,4.3418
4,2.1352,1.9829
4,6.1519,9.0338
4,7.3086,14.2708
4,4.3695,9.5237
4,7.5523,16.7737
4,9.2564,11.1044
4,5.941,11.5921
4,8.0913,17.4511
4,4.1755,4.2657
4,9.2051,12.2856
4,5.6695,8.4773
5,3.9944,9.1471
5,6.9131,15.4482
5,7.08,7.6031
5,7.8114,10.6156
5,9.8827,16.867
5,0.1441,-1.5393
5,0.2466,8.1219
5,6.2937,9.9611
5,9.8946,14.2473
5,5.9541,10.4373
5,5.2851,11.2771
5,5.1043,14.7096
5,0.9165,4.6195
5,8.4744,13.7287
5,5.3429,11.6925
5,5.1835,11.9184
5,4.3555,8.2072
5,4.1871,13.4119
5,1.1278,2.7998
5,2.4202,1.9813
5,4.0382,10.334
5,1.75,7.0239
5,0.8595,-1.9265
5,3.5079,7.8829
5,6.6764,7.8922
5,3.8787,6.5515
5,6.157,10.4939
5,5.8101,8.6832
5,8.0824,14.7601
5,4.5255,8.5343
