hour,status,response_ms
10,200,46.95
14,200,65.06
23,404,46.65
1,200,68.41
11,200,18.33
8,200,43.04
9,200,46.89
8,404,70.8
15,200,106.52
0,200,38.34
16,404,84.86
20,200,178.67
6,200,34.71
0,500,40.33
15,200,164.74
0,200,59.35
12,200,230.95
15,200,114.76
0,404,81.36
1,404,94.09
6,200,55.38
3,200,14.87
8,200,133.53
4,200,143.0
19,200,46.79
11,200,34.73
14,200,35.36
10,200,14.47
18,200,101.41
11,200,43.48
21,200,98.78
16,200,41.89
5,200,133.84
7,404,18.34
23,200,112.47
0,200,72.11
3,200,80.7
12,200,47.84
15,200,100.06
9,200,220.2
0,200,34.32
19,200,83.34
1,200,110.98
23,200,106.34
18,200,83.84
18,200,180.2
6,200,78.54
13,200,44.79
11,200,73.9
6,404,26.4
17,200,42.57
5,200,154.49
5,200,104.84
21,200,89.92
7,200,22.83
23,200,84.8
12,200,105.77
21,404,120.25
13,200,35.93
21,404,82.07
1,200,102.71
22,200,60.59
17,200,28.56
13,200,15.2
23,200,106.01
15,200,63.56
15,200,51.51
1,200,14.3
2,200,36.37
0,200,156.79
1,200,150.54
2,200,14.8
23,200,23.91
13,404,10.42
23,200,143.36
22,200,26.06
19,200,35.73
20,200,122.57
9,200,321.14
3,200,18.11
22,200,248.73
23,200,74.57
2,200,36.61
23,200,94.78
22,200,16.13
5,200,79.54
12,200,26.59
16,200,19.79
1,404,78.32
2,200,31.76
21,200,62.34
2,404,118.19
22,200,65.46
13,200,14.25
21,500,58.45
1,200,88.21
17,500,33.98
13,200,41.53
6,200,41.58
6,200,89.41
8,500,83.39
7,200,12.7
22,200,17.92
1,200,106.25
8,200,66.21
17,200,118.88
3,200,63.07
10,200,75.66
10,200,37.34
19,200,46.81
20,200,282.41
9,200,65.96
19,404,51.69
15,500,86.98
20,200,19.34
9,200,24.85
16,200,55.97
13,200,45.23
23,200,53.9
17,200,134.69
5,200,102.14
18,200,19.68
10,200,75.65
16,200,84.33
6,200,139.9
11,404,57.1
19,200,29.8
13,200,137.45
3,200,143.09
17,200,58.09
22,200,125.64
23,200,84.98
7,200,141.19
1,200,51.65
21,200,136.42
0,200,42.85
22,200,25.02
8,200,70.25
21,200,57.93
5,200,265.97
22,200,14.36
1,200,123.16
18,200,50.65
10,200,63.79
0,200,71.93
11,200,97.51
14,200,185.3
21,200,72.03
15,200,89.46
16,200,28.54
22,200,49.45
18,200,72.57
14,200,70.64
14,200,102.49
0,200,142.22
22,200,116.74
9,200,114.41
12,200,42.03
4,200,42.8
1,200,32.17
7,200,48.39
7,200,64.66
11,200,112.62
13,200,30.51
18,200,132.97
15,200,34.17
21,200,52.93
13,200,65.32
17,404,189.62
23,200,53.31
4,200,29.58
16,200,53.37
9,200,142.76
1,200,8.0
20,200,12.2
22,200,14.73
19,200,77.92
19,200,139.49
0,200,61.35
23,200,157.8
19,200,294.41
11,200,117.97
21,404,83.22
5,200,59.32
4,200,194.64
9,200,118.94
1,200,12.27
12,200,53.35
11,200,61.84
16,200,44.01
15,200,56.18
19,200,159.29
3,200,70.34
11,200,28.89
20,200,14.51
19,200,42.47
23,200,83.61
3,200,90.39
14,200,6.73
8,200,24.27
9,200,163.36
22,200,66.51
18,200,9.34
9,200,46.93
13,200,40.01
16,200,263.96
6,200,78.99
22,200,86.9
16,200,9.56
21,200,75.63
7,200,33.53
3,200,79.27
20,200,181.35
22,200,49.7
22,200,10.43
18,200,40.58
0,200,66.82
1,200,214.84
21,200,25.47
7,200,12.73
12,200,118.19
15,200,169.7
7,200,178.99
21,200,47.08
19,200,66.55
0,200,102.93
20,200,33.88
16,200,95.2
1,200,179.72
22,200,39.13
18,200,91.11
7,200,87.35
12,200,54.2
20,200,62.32
0,200,35.88
12,404,43.25
7,200,294.47
19,200,164.87
3,200,55.54
9,200,13.29
1,200,160.24
2,404,64.24
17,200,87.05
2,200,72.99
19,200,266.77
4,200,119.3
14,200,11.66
23,200,17.22
4,200,31.05
1,200,16.4
12,200,58.66
9,200,150.75
16,200,102.41
22,200,121.41
5,200,73.67
0,200,74.59
14,200,37.27
22,404,61.24
18,200,32.09
16,200,40.69
9,200,190.84
21,200,186.33
19,200,26.9
16,200,83.31
14,200,189.38
1,200,63.79
10,200,77.51
19,200,72.92
18,200,91.5
18,200,118.35
11,200,86.04
20,200,11.7
11,200,54.5
5,200,21.88
14,200,100.72
23,200,81.72
0,200,42.96
15,200,40.49
12,200,112.09
9,200,16.0
17,404,24.92
18,200,60.17
19,200,47.3
9,200,87.42
7,200,50.91
20,200,145.58
20,500,30.02
21,200,4.81
12,200,13.55
15,200,111.72
4,200,41.81
22,200,45.43
0,200,19.86
15,200,25.28
1,200,64.16
6,200,57.58
17,200,135.03
17,200,45.2
20,200,88.59
11,200,117.38
8,200,39.91
14,500,22.1
