x,healthy,curved,growing_error
16.8128,52.5417,82.8471,48.0741
17.5423,48.6073,92.7647,67.5267
5.1489,14.9105,11.2993,15.353
5.3718,18.6802,11.2714,15.4032
10.3621,31.9323,31.8443,31.5093
15.3112,44.2322,66.0627,37.6663
14.3804,45.7851,61.3555,50.7597
18.9946,57.1988,106.6206,50.4257
2.2879,6.6647,1.4248,6.1377
10.3308,31.1436,29.5061,33.1327
7.4295,21.279,19.4663,19.1492
12.4364,39.3067,47.3804,43.3798
1.8034,7.758,0.3714,5.5487
7.46,22.8888,16.0953,26.0202
2.5523,9.209,2.1846,6.0219
19.4535,58.5194,115.2088,56.8079
12.1868,35.9607,42.2324,38.6423
10.6459,32.265,32.8877,29.0801
19.6342,58.2674,115.5766,70.5142
8.0363,24.0507,18.7787,24.6934
9.2008,27.4015,26.9443,26.7869
10.9393,35.8716,35.7278,33.7566
2.0902,2.9739,3.4981,6.9373
1.4585,3.5654,-0.7249,4.3788
6.8363,22.0525,11.6242,20.6309
12.1752,35.1356,43.909,35.3226
12.0679,35.8381,38.8794,38.5065
4.3609,13.1266,4.3854,13.1823
6.9033,20.4773,15.7982,20.5909
15.6353,47.2017,76.2169,53.5465
7.35,20.4661,13.5949,21.3536
9.8018,28.4299,28.4924,25.841
7.1641,19.2979,16.2608,20.932
16.9617,50.0352,82.6299,47.5662
6.9604,19.1792,16.2484,18.8081
12.2944,33.5462,46.6441,39.7583
6.1585,18.1173,13.5015,18.4921
15.7201,47.2057,76.0748,47.7402
12.34,37.3418,44.2569,43.1566
2.1777,6.6001,-1.1936,7.0398
14.9338,46.2378,67.3819,46.1337
17.3302,52.5339,90.8402,49.6636
15.0678,45.4215,74.941,50.4842
4.2296,14.8126,2.7351,12.1071
10.3586,31.2433,29.8955,36.1938
19.584,57.0301,115.1037,66.3881
16.8728,52.1282,84.2769,49.2528
16.5845,49.9043,79.5856,53.516
1.9051,2.418,-0.67,6.2215
3.6094,9.9065,5.972,10.8736
13.5515,38.464,54.9307,42.812
6.3957,19.85,13.7031,22.2072
4.523,12.9425,6.2495,10.9112
12.9307,34.7695,54.9773,40.1468
19.1981,55.2219,109.5392,60.928
6.4861,21.7919,13.89,20.4494
17.7407,53.0425,93.3197,48.9909
14.9487,44.9347,65.2678,43.3052
13.9701,41.1021,56.4213,41.1944
3.0904,9.2148,0.3802,11.2958
15.133,47.4857,67.4694,41.6982
10.2024,31.1301,29.9105,33.5905
7.8226,22.5196,15.9855,26.6012
11.6172,34.7573,38.7383,34.8771
19.9357,62.6623,120.0268,73.8968
11.0754,34.1474,34.4281,32.5955
10.8784,32.1426,37.709,29.7209
4.6883,16.9792,8.1829,13.3918
2.5042,5.0814,2.0039,7.7556
12.5401,32.8314,46.656,41.8811
8.0058,23.2766,21.8931,21.0405
8.2124,24.8514,22.9373,21.924
12.4106,37.7202,50.2451,42.1883
11.737,32.13,44.4173,37.8857
1.1756,3.3046,0.7972,3.274
17.9497,52.8123,94.4273,46.1602
14.598,45.8208,62.9513,34.8542
1.3,5.7815,-3.2555,3.4569
7.5346,22.7483,16.3208,24.7462
7.4789,20.4451,16.1623,20.8938
15.0093,45.8024,68.7717,51.6322
15.1287,45.4273,67.3594,46.1523
12.8215,38.3417,51.2483,32.8404
9.0037,27.3166,25.6638,30.2842
17.7968,55.4035,94.2686,54.3655
12.7025,36.2187,48.3848,38.3597
4.4122,10.4944,5.1259,14.5261
14.1675,42.8936,59.8632,40.0479
16.569,50.7323,81.2715,68.1899
11.615,34.9322,38.4455,32.6851
8.435,21.7595,20.0336,25.1725
12.7958,37.8448,50.0643,38.7478
10.2318,29.3978,29.3563,37.8065
6.7656,20.157,11.7812,21.3991
14.3182,43.0888,61.0908,38.574
15.0811,42.9295,72.0785,51.2431
12.863,37.3477,50.7336,38.0691
14.7539,42.2797,65.1271,44.1986
10.4638,30.6349,34.5348,29.0956
19.2232,59.4368,111.6076,66.963
15.574,44.3102,67.4413,49.8055
14.5982,44.4011,64.1258,41.3232
11.1287,33.7308,38.4992,32.4996
16.0314,46.0445,79.16,54.0561
18.806,57.9648,107.6454,47.8376
3.2668,4.6186,4.792,11.0799
18.2038,58.0552,96.0161,42.8212
6.007,20.3652,9.8046,19.1591
4.3339,12.2624,5.8023,12.5473
16.5856,47.4862,86.0387,52.8915
3.0871,7.4382,1.4117,9.1922
6.4069,16.6841,14.0888,23.9131
1.6398,8.2787,2.9728,4.7861
15.1908,42.9451,72.6284,42.749
4.8959,15.2405,8.7885,14.8395
18.9445,53.6493,110.6691,50.5024
9.8859,29.5553,30.0476,24.0842
16.014,48.861,74.9842,45.1844
1.6796,4.0782,-1.8459,4.9298
3.472,12.584,4.9468,9.0155
4.6047,13.6072,3.9539,14.4306
1.8759,6.8228,4.661,5.2954
16.5097,49.1415,83.8189,55.8698
4.6492,11.7398,7.3471,14.8521
2.062,5.6914,0.7181,4.4121
4.9574,15.6322,7.4273,14.9758
7.5957,24.3553,19.2576,22.9555
12.3599,35.9021,46.6431,30.2132
4.4983,11.4683,4.0013,14.5289
6.1047,17.6627,14.4044,15.0927
4.3971,11.7288,5.6476,12.5016
6.2695,18.4053,10.8651,17.7759
5.9831,16.9202,10.9841,21.1453
9.5016,28.9758,27.0091,25.0819
12.2393,37.7807,48.0194,39.2163
1.8143,3.2317,1.4349,5.3422
5.1247,15.6286,7.2323,15.1386
2.2168,5.3613,1.601,5.4605
9.9253,31.4854,30.1372,40.4394
11.9559,34.1336,40.8333,28.2865
13.7425,39.1945,53.4157,38.5617
9.4973,25.6858,25.8723,32.3639
5.2771,14.9709,8.4258,15.1958
13.088,39.0251,48.0161,40.4205
17.8974,51.7308,92.9602,48.8238
10.585,31.5267,32.5949,34.022
17.9866,48.7065,97.2813,57.3419
13.3018,39.9132,54.0012,42.4598
12.8167,38.1365,47.2201,35.5837
15.8493,43.0631,76.8872,44.1817
15.4673,48.9182,68.3307,43.5892
16.281,49.5319,78.732,33.1552
6.8434,21.4871,13.6255,19.2076
4.6686,15.9885,10.4999,16.4627
3.2626,8.366,4.8721,8.2732
15.0799,42.5374,65.6766,49.5805
6.4589,22.9487,13.8048,19.0687
11.576,33.2481,39.558,33.7084
12.1738,32.5045,44.4555,29.6694
14.698,39.9398,66.9286,50.0421
5.2202,19.7427,7.5971,14.0755
17.9566,53.9292,94.5545,54.1485
15.1672,46.0284,68.6601,48.5371
7.4553,22.6368,17.2026,25.183
10.971,33.7142,35.958,33.7819
13.5225,44.4127,53.0814,40.9176
16.4268,48.2273,80.1034,47.7972
9.1767,29.5048,24.6692,31.567
8.9535,27.0986,23.7542,22.3311
7.6996,21.9851,19.1836,22.1873
12.0837,34.4887,45.9765,34.4877
19.9454,59.5434,118.6331,61.8467
4.7955,13.0588,4.4122,14.6538
17.4045,54.1273,91.6495,55.0656
17.3976,55.674,89.2044,47.1947
12.3122,37.9227,48.0775,34.4526
16.131,47.2622,78.641,52.8143
3.185,6.8125,4.2014,11.6147
1.9998,3.9426,-3.4862,5.852
5.8054,19.1972,9.5759,15.9936
11.7523,36.6822,42.5188,38.145
13.6247,43.4766,52.6307,40.9019
4.293,10.892,5.0356,10.3259
11.4863,34.3249,41.7149,39.394
13.3932,42.6571,54.8388,39.2411
2.171,7.1301,-0.9438,7.0893
12.5715,35.5408,48.898,34.3589
3.0504,7.3449,3.9747,7.3648
2.8728,5.4577,3.6434,8.7181
15.2249,42.9613,69.9206,46.7211
18.2928,57.6404,100.686,58.2169
5.1668,13.1549,7.193,16.2228
13.2649,42.6182,51.2476,48.1742
19.3824,60.2967,108.9844,65.59
3.2126,10.4248,3.7576,10.2052
5.7087,15.496,10.1173,16.3781
9.0042,31.321,23.9051,23.308
1.39,5.9284,1.1961,4.4715
10.391,33.3818,33.2812,31.0986
8.4744,25.4915,19.6627,26.097
17.4137,49.2205,90.6308,48.9688
8.8383,27.6032,24.2281,27.0922
3.2133,11.066,5.9694,9.9707
19.502,55.6824,113.2892,59.4225
4.3264,12.9175,5.8486,12.8506
16.199,49.0134,77.3463,45.5471
19.934,57.1715,117.8216,64.6564
7.2073,21.8736,18.0315,23.0762
10.431,31.2535,27.7567,27.0794
6.1703,19.312,13.2868,16.8857
1.4924,4.2782,-0.8618,4.0948
8.6499,25.1293,21.4063,24.077
2.5741,7.2318,1.9184,7.1321
12.0052,34.9296,43.3802,31.6937
9.6199,31.7566,29.0288,22.9054
11.0442,33.8787,38.4699,37.7789
12.0834,34.7575,45.8538,33.1952
15.872,47.2499,72.3352,46.4302
19.5507,60.6196,114.5565,67.1504
5.3328,18.5132,9.1089,17.0279
9.9761,28.3166,30.5586,34.5308
18.8714,58.1888,103.8351,51.6265
1.5393,5.9134,3.5706,4.6787
14.2871,44.0229,63.0012,48.281
3.07,7.4981,2.568,9.1057
16.335,51.5742,85.8291,44.9716
12.3042,36.0703,43.1821,38.8298
18.5436,53.4365,102.4915,64.228
5.366,20.7578,8.15,13.1282
13.962,42.8252,59.5479,46.4422
17.2861,52.9631,88.2041,55.4952
1.2928,8.6422,-0.8863,3.3942
3.4154,6.7884,5.6978,9.633
10.8111,30.9713,34.571,34.207
9.414,24.2679,28.4425,21.5948
14.7033,43.2613,67.5949,43.0852
13.694,44.5574,55.683,41.9293
4.4451,14.3666,4.049,12.7364
14.7503,45.8116,64.3012,42.6297
14.9156,43.3884,67.7448,33.1244
15.8897,46.0403,77.9934,38.85
19.2652,56.0704,111.9728,54.8626
12.916,42.9274,47.6185,50.0311
9.057,27.4068,25.1491,27.3063
8.061,25.682,22.9757,25.3452
14.3924,39.4207,65.3302,43.5816
5.4326,17.4379,7.5359,17.6102
4.225,9.608,5.9097,10.9793
11.53,34.1919,40.7049,43.7945
11.5434,35.9336,36.8777,32.3178
12.6863,38.9706,49.1247,31.0726
16.4676,50.8605,77.8949,47.307
2.7232,6.6392,-0.9772,8.3794
