x,healthy,curved,fanning_out
9.4292,28.2474,33.7041,25.8045
11.8013,33.1334,53.2742,37.0047
18.254,55.4556,118.8251,52.5147
5.8307,15.4955,12.6757,19.0257
12.1868,36.7045,53.0925,37.9113
7.8233,21.6196,24.1246,25.2552
15.3711,47.161,82.2462,46.9672
11.3181,32.8127,43.4312,33.4355
4.8396,17.36,8.6658,14.9099
10.806,33.3069,44.1732,32.3573
5.5991,17.8528,9.7167,14.937
1.9419,3.1497,3.6541,4.6169
3.1454,5.255,5.3296,10.0997
7.513,20.9338,19.4562,26.3815
1.2933,7.4887,-0.8378,3.3795
15.6798,45.1514,82.9622,50.1846
16.2692,51.2427,90.4813,44.8219
1.3914,6.6793,1.1269,4.2732
10.9973,31.8203,43.9004,36.8381
9.2075,27.1961,28.5432,28.9352
8.6216,28.4747,24.9958,25.0292
2.3665,6.5846,0.5373,5.2601
18.8621,55.7711,129.4379,54.9488
6.6388,18.7627,12.801,19.8105
18.7124,56.2795,119.7184,65.2368
8.6671,25.7803,28.4672,23.5416
4.9817,17.4113,6.5892,14.7058
5.7712,17.7861,13.7004,17.7154
5.7033,19.467,9.8002,19.9253
16.2919,48.6624,94.9858,41.0285
16.7559,55.2713,101.0436,55.6484
16.3592,48.8465,92.7999,48.2971
6.06,17.891,12.8536,16.5062
6.6198,18.2668,13.4147,16.1965
11.2162,30.2771,45.8048,29.2288
14.525,41.8468,73.2497,48.2288
14.4265,43.7081,70.9932,40.17
17.0061,49.0433,102.1173,44.446
15.5332,48.2594,85.2001,43.9547
10.7747,29.0783,40.5572,37.93
14.1614,39.1493,69.3506,47.939
15.5217,47.1796,86.2378,51.518
4.6588,14.7451,6.308,15.7567
19.5821,56.499,132.5076,64.6602
11.2296,35.8553,43.6518,31.7878
13.0732,41.9927,60.8512,33.4182
13.7538,41.9933,65.4376,47.9312
14.4526,40.8049,71.8505,42.5687
2.6595,10.4768,0.436,8.0979
2.4492,6.7894,0.5029,6.8817
6.689,19.7306,14.3208,21.3814
3.5187,11.5356,8.267,12.4227
15.192,44.2041,77.2133,43.063
9.9803,32.9711,33.9274,30.5127
4.457,12.1489,7.0565,13.4692
8.6602,28.1248,24.4659,28.2411
4.7407,15.783,5.4712,14.1963
15.2135,49.1926,82.0852,45.8779
8.6138,26.8706,28.6874,23.7965
17.1915,53.3205,105.6093,51.8271
14.4843,42.7032,73.4372,39.3112
9.8238,29.04,32.873,32.3583
11.9116,34.5636,50.9506,35.1251
19.9771,61.477,136.3736,73.0281
14.6811,42.793,73.7397,40.1205
9.0758,30.2875,31.7255,23.5445
8.5043,25.3487,26.1452,28.6172
17.18,49.2378,103.6046,55.9059
12.9605,37.6178,58.3965,31.8658
14.1946,44.9614,69.74,57.2858
4.0458,11.2464,4.0277,11.8738
9.429,29.536,32.2514,32.4903
1.3222,0.9047,1.605,3.7641
11.1845,34.5288,44.8039,36.6442
1.3807,5.7653,-4.211,4.7536
13.3609,41.182,65.0243,37.5685
3.7645,12.9542,6.661,11.8348
2.4184,5.3997,5.1663,8.1037
4.1221,9.1861,4.8169,15.7411
8.9309,24.2986,23.57,30.3535
10.2934,32.6683,34.475,36.7085
5.772,18.2376,9.8811,18.7286
12.8481,40.2686,61.7838,42.2796
12.5348,36.6228,53.483,40.6066
5.0839,16.9883,8.1121,14.9203
8.2662,21.872,25.9024,18.9255
18.7072,57.0823,124.2693,43.908
10.4044,29.2993,39.8228,32.7952
16.4792,48.7365,94.1145,52.8081
13.9756,43.3887,72.0947,42.4549
13.3913,42.0749,63.5656,37.2143
17.7857,53.2092,109.0211,49.9452
1.8192,4.9228,1.9748,4.5525
11.4727,37.2776,43.2448,39.8036
18.012,56.2783,111.0635,42.122
11.4557,33.2086,44.5668,41.7919
1.3048,4.6853,-1.7772,3.6869
18.8494,56.3266,123.3607,75.5367
15.0627,47.3111,78.1068,48.064
8.21,25.7424,22.6465,23.5738
4.4426,14.3983,5.1611,13.5264
1.412,4.6374,2.9308,3.9591
18.6831,55.2022,120.1765,67.2113
16.86,52.9821,98.4242,50.295
3.4118,11.2768,2.2505,10.5293
4.0639,7.8277,4.5914,10.7388
14.4777,42.9084,70.7681,46.6369
3.6566,11.7273,8.8881,8.7616
11.8478,34.306,48.5832,32.2476
7.8924,22.0762,23.4407,27.4966
11.9627,34.8561,49.3573,25.8723
13.2347,40.6245,58.7018,41.0632
6.7056,18.4512,14.7081,23.1532
6.71,21.0812,14.3955,20.3456
4.5715,16.633,4.8574,16.3116
19.2203,59.767,129.514,66.9464
9.3816,30.3247,34.0341,29.8354
2.2191,6.4632,2.1125,5.2161
10.3869,33.7384,39.8466,29.0322
13.3683,40.3756,65.1495,38.113
17.9287,55.7675,108.6557,60.5511
