hour,sensor_reading,true_temperature
0,33.265,30.0
1,26.244,30.333
2,31.333,30.664
3,30.081,30.99
4,30.585,31.309
5,31.274,31.619
6,28.686,31.918
7,31.832,32.203
8,31.089,32.473
9,38.043,32.727
10,33.322,32.961
11,32.61,33.174
12,32.916,33.366
13,32.465,33.534
14,31.99,33.678
15,33.171,33.796
16,34.659,33.888
17,33.571,33.953
18,35.522,33.99
19,33.68,34.0
20,34.02,33.982
21,36.409,33.936
22,34.735,33.863
23,32.955,33.763
24,33.345,33.637
25,34.351,33.486
26,36.407,33.311
27,32.681,33.112
28,32.503,32.892
29,34.256,32.652
30,30.976,32.394
31,31.652,32.119
32,33.241,31.829
33,32.455,31.527
34,31.36,31.214
35,31.964,30.892
36,26.039,30.564
37,31.867,30.233
38,28.364,29.9
39,26.897,29.567
40,29.68,29.238
41,30.034,28.914
42,27.885,28.597
43,26.568,28.29
44,28.037,27.995
45,27.629,27.714
46,29.697,27.448
47,28.397,27.201
48,27.283,26.973
49,28.544,26.766
50,26.252,26.581
51,24.939,26.42
52,27.218,26.284
53,27.106,26.174
54,25.746,26.09
55,24.781,26.033
56,26.371,26.004
57,22.013,26.003
58,27.133,26.029
59,26.869,26.083
60,23.542,26.164
61,26.37,26.272
62,24.863,26.406
63,27.776,26.564
64,23.492,26.747
65,25.488,26.952
66,28.313,27.178
67,29.274,27.424
68,24.234,27.687
69,27.17,27.967
70,28.786,28.261
71,27.592,28.567
72,31.427,28.882
73,27.3,29.206
74,30.102,29.535
75,28.19,29.867
76,32.45,30.201
77,30.498,30.532
78,30.265,30.86
79,28.434,31.183
80,34.188,31.497
81,33.005,31.8
82,33.297,32.091
83,34.188,32.368
84,33.187,32.628
85,31.847,32.87
86,31.811,33.092
87,32.012,33.292
88,35.662,33.47
89,31.287,33.624
90,32.798,33.752
91,33.34,33.854
92,34.289,33.93
93,34.899,33.978
94,32.001,33.999
95,31.224,33.992
96,33.95,33.957
97,35.837,33.895
98,35.017,33.806
99,34.035,33.69
100,33.042,33.549
101,33.852,33.383
102,32.805,33.194
103,34.29,32.982
104,31.479,32.75
105,32.714,32.499
106,32.053,32.23
107,32.815,31.946
108,32.008,31.648
109,35.419,31.339
110,33.419,31.021
111,33.09,30.696
112,27.102,30.365
113,29.488,30.032
114,28.726,29.699
115,30.221,29.368
116,25.395,29.042
117,30.601,28.722
118,30.118,28.411
119,26.028,28.111
