server,status,response_ms
10.0.0.5,200,83.38
10.0.0.3,200,36.2
10.0.0.6,200,14.91
10.0.0.6,200,118.25
10.0.0.5,200,81.39
10.0.0.6,200,63.38
10.0.0.5,200,25.72
10.0.0.1,200,25.31
10.0.0.3,200,13.24
10.0.0.1,200,178.69
10.0.0.6,200,65.94
10.0.0.6,200,22.89
10.0.0.5,500,41.62
10.0.0.6,200,5.21
10.0.0.4,200,67.18
10.0.0.6,200,157.37
10.0.0.6,200,185.94
10.0.0.3,200,50.1
10.0.0.5,200,15.87
10.0.0.2,200,31.73
10.0.0.5,200,28.32
10.0.0.5,500,103.69
10.0.0.2,200,30.1
10.0.0.6,200,132.37
10.0.0.6,200,51.0
10.0.0.1,200,45.4
10.0.0.6,200,119.42
10.0.0.1,200,147.0
10.0.0.6,200,48.54
10.0.0.3,200,30.35
10.0.0.6,200,17.64
10.0.0.2,200,39.92
10.0.0.6,200,122.88
10.0.0.3,404,125.25
10.0.0.3,200,132.17
10.0.0.4,200,92.44
10.0.0.6,200,39.2
10.0.0.2,200,59.98
10.0.0.2,200,47.41
10.0.0.4,200,93.36
10.0.0.2,500,14.48
10.0.0.6,200,48.08
10.0.0.6,200,46.82
10.0.0.6,200,99.21
10.0.0.6,200,70.15
10.0.0.2,200,76.23
10.0.0.3,200,25.81
10.0.0.3,200,73.72
10.0.0.6,200,82.11
10.0.0.3,200,128.47
10.0.0.2,200,293.44
10.0.0.1,200,52.96
10.0.0.1,200,137.08
10.0.0.6,200,40.19
10.0.0.6,503,121.39
10.0.0.2,200,89.77
10.0.0.6,200,20.46
10.0.0.6,200,113.09
10.0.0.6,200,132.43
10.0.0.4,200,193.45
10.0.0.6,200,172.28
10.0.0.3,200,31.55
10.0.0.6,200,51.42
10.0.0.4,200,193.24
10.0.0.6,200,18.49
10.0.0.4,200,80.32
10.0.0.3,200,36.56
10.0.0.1,503,41.1
10.0.0.3,200,81.4
10.0.0.4,200,170.51
10.0.0.6,404,286.66
10.0.0.1,200,47.79
10.0.0.6,200,43.62
10.0.0.5,200,81.03
10.0.0.6,200,169.76
10.0.0.6,200,190.74
10.0.0.3,200,32.66
10.0.0.6,200,14.28
10.0.0.1,200,51.73
10.0.0.1,404,153.69
10.0.0.2,200,132.12
10.0.0.1,200,13.69
10.0.0.6,200,56.06
10.0.0.3,200,129.27
10.0.0.6,200,19.0
10.0.0.1,200,19.07
10.0.0.3,200,18.44
10.0.0.6,200,49.3
10.0.0.6,200,140.02
10.0.0.2,503,85.36
10.0.0.2,200,97.2
10.0.0.4,200,101.26
10.0.0.6,200,70.68
10.0.0.4,200,125.69
10.0.0.1,500,86.52
10.0.0.6,200,139.04
10.0.0.6,503,38.87
10.0.0.4,200,79.33
10.0.0.6,200,86.06
10.0.0.3,200,43.27
10.0.0.5,503,94.6
10.0.0.4,200,101.33
10.0.0.1,200,47.85
10.0.0.5,200,99.14
10.0.0.6,200,118.85
10.0.0.2,200,63.94
10.0.0.6,200,139.9
10.0.0.6,404,57.1
10.0.0.2,200,32.85
10.0.0.4,200,164.33
10.0.0.3,200,10.98
10.0.0.6,200,173.51
10.0.0.6,200,56.99
10.0.0.5,200,15.24
10.0.0.3,200,42.92
10.0.0.5,200,24.4
10.0.0.2,200,10.36
10.0.0.6,200,99.68
10.0.0.3,200,19.93
10.0.0.5,404,23.41
10.0.0.3,200,86.29
