date,shop,region,amount
2024-01-01,Andheri,West,30184
2024-01-01,Bandra,West,16444
2024-01-01,Colaba,South,13207
2024-01-02,Andheri,West,39554
2024-01-02,Bandra,West,11161
2024-01-02,Colaba,South,16154
2024-01-03,Andheri,West,27491
2024-01-03,Bandra,West,32599
2024-01-03,Colaba,South,27390
2024-01-04,Andheri,West,35446
2024-01-04,Bandra,West,6691
2024-01-04,Colaba,South,18687
2024-01-05,Andheri,West,25077
2024-01-05,Bandra,West,20325
2024-01-05,Colaba,South,18602
2024-01-06,Andheri,West,18046
2024-01-06,Bandra,West,6405
2024-01-06,Colaba,South,8743
2024-01-07,Andheri,West,23992
2024-01-07,Bandra,West,21763
2024-01-07,Colaba,South,38535
2024-01-08,Andheri,West,13447
2024-01-08,Bandra,West,34711
2024-01-08,Colaba,South,14000
2024-01-09,Andheri,West,10004
2024-01-09,Bandra,West,11465
2024-01-09,Colaba,South,18923
2024-01-10,Andheri,West,11785
2024-01-10,Bandra,West,36349
2024-01-10,Colaba,South,33483
2024-01-11,Andheri,West,33159
2024-01-11,Bandra,West,19804
2024-01-11,Colaba,South,6063
2024-01-12,Andheri,West,13957
2024-01-12,Bandra,West,20595
2024-01-12,Colaba,South,25681
2024-01-13,Andheri,West,20746
2024-01-13,Bandra,West,26149
2024-01-13,Colaba,South,18250
2024-01-14,Andheri,West,27640
2024-01-14,Bandra,West,5957
2024-01-14,Colaba,South,36897
2024-01-15,Andheri,West,23758
2024-01-15,Bandra,West,10257
2024-01-15,Colaba,South,33540
2024-01-16,Andheri,West,17998
2024-01-16,Bandra,West,35646
2024-01-16,Colaba,South,14961
2024-01-17,Andheri,West,36264
2024-01-17,Bandra,West,5587
2024-01-17,Colaba,South,20153
2024-01-18,Andheri,West,11354
2024-01-18,Bandra,West,20267
2024-01-18,Colaba,South,18813
2024-01-19,Andheri,West,39555
2024-01-19,Bandra,West,18765
2024-01-19,Colaba,South,31508
2024-01-20,Andheri,West,26585
2024-01-20,Bandra,West,18581
2024-01-20,Colaba,South,20829
2024-01-21,Andheri,West,7706
2024-01-21,Bandra,West,26256
2024-01-21,Colaba,South,18883
2024-01-22,Andheri,West,12807
2024-01-22,Bandra,West,10711
2024-01-22,Colaba,South,9689
2024-01-23,Andheri,West,36402
2024-01-23,Bandra,West,16525
2024-01-23,Colaba,South,35561
2024-01-24,Andheri,West,8363
2024-01-24,Bandra,West,7436
2024-01-24,Colaba,South,17804
2024-01-25,Andheri,West,38785
