q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12
2.8938,-1.4108,0.3815,3.8159,3.5185,1.4511,-0.8267,-1.8598,-0.1942,0.2336,1.461,0.8724
-1.9254,0.6972,0.1355,1.9344,-1.8999,-1.1553,-0.1098,-1.4048,-0.4327,-1.2457,0.1387,-0.086
0.5116,-0.2345,-0.4672,2.4273,0.445,0.8433,-3.0845,-0.1025,-0.5822,0.2928,3.0419,1.461
-1.3667,0.4306,-1.9078,-3.8095,-2.1473,2.6326,-3.7139,4.6011,0.1158,3.5813,4.0798,0.2168
-2.8104,1.5056,2.0038,2.527,-1.1144,-4.9836,0.2822,-1.9381,0.7391,-2.5957,-1.2587,0.2108
0.1901,-0.3014,0.1904,2.9619,0.4373,0.2631,1.7523,-1.5749,-0.6331,-1.7122,-0.9558,0.2626
1.2864,-0.5285,-0.8212,-1.3718,0.146,2.1456,3.5987,-0.6461,-0.3704,-0.5098,-2.3625,-1.8589
0.6298,-0.863,-0.8106,-1.3973,0.0214,3.6374,2.3268,0.0426,-0.9397,-1.0915,0.5425,-1.0244
-0.621,-0.306,-0.3674,2.3954,0.7179,-0.9729,-2.5434,-0.1428,0.1481,0.5168,2.1037,1.9786
-1.1747,0.4695,-1.333,-2.1945,-1.0883,1.5335,1.7176,0.8365,-0.2938,0.1538,-0.6525,-0.8835
-1.9716,0.7729,0.3666,-3.3193,-1.6723,-1.4306,-0.1514,1.5881,0.5531,0.9515,-1.3284,-0.9028
-0.1948,0.5971,0.1371,1.6922,-1.1594,-0.2477,0.6162,-1.3956,-0.1269,-1.9577,-0.7054,-0.1663
0.9201,-0.2571,-1.9588,-4.3934,0.4707,2.9874,-0.3914,2.3392,0.0663,2.749,1.557,-0.5548
0.69,-0.0183,-0.9323,2.2403,-0.5136,0.7979,-0.6162,-0.8132,-0.6017,-0.8424,1.2207,0.4843
-1.4993,0.7104,0.9103,1.0543,-1.0374,-2.8221,-1.9496,0.4444,0.4785,-0.9942,-0.0926,1.2765
2.0755,-0.0839,0.3009,-0.3232,2.2826,0.866,-1.1353,0.8526,0.379,2.0725,0.3998,0.484
-1.3778,0.2678,-1.4443,-2.3948,-1.5836,0.1372,-2.6952,2.1686,0.0562,1.1493,1.8554,0.397
3.8251,-0.9761,0.5786,5.4342,3.8344,2.3952,2.2337,-3.771,-0.5387,-2.3378,-0.1305,0.9653
-1.3269,0.4643,0.1598,0.0975,-0.8182,-2.3019,-3.2856,1.1495,0.2094,1.6386,2.4371,1.7124
-4.8143,1.9904,1.0442,-1.1491,-4.3615,-5.2551,3.1951,-1.3226,0.4536,-3.9701,-3.7067,-1.52
1.9109,-1.3976,-1.1892,2.77,2.3469,3.4836,-2.8244,0.5775,-0.5875,1.0905,4.4519,2.2439
-2.3119,0.7064,1.1708,0.2699,-1.4134,-3.3763,-0.39,-0.704,-0.0785,-0.8915,-0.4007,0.2203
-1.726,1.9328,1.2871,3.1983,-2.431,-2.7377,3.7334,-3.379,-0.4494,-5.0565,-3.1975,-1.3648
2.8847,-1.0487,-0.2843,1.857,2.4606,1.6422,0.3884,-1.4996,-0.2155,0.0182,-0.0011,0.28
1.0123,-0.341,0.7681,-0.2306,1.1069,-0.4589,-1.4638,0.79,0.6508,1.2745,0.0867,0.3943
2.8543,-0.7577,-0.5351,1.9345,1.9458,2.0179,-0.3817,-0.7415,-0.2308,0.668,1.5322,0.6474
-0.803,-0.5696,-0.5428,-2.3583,-0.8533,0.5345,-2.1604,1.7759,-0.1082,1.8025,1.1435,-0.285
-0.6113,0.6119,1.3421,2.2001,-0.2249,-2.9035,-2.5211,-0.6638,0.5723,-0.3744,0.0475,1.0459
0.7551,0.4357,-1.6095,-1.9763,-0.1739,2.0963,-1.5534,2.0997,-0.6236,2.4174,2.8774,0.5529
-0.1563,-0.2236,1.5509,1.1077,-0.0359,-1.795,4.2815,-3.0317,-0.1122,-2.7804,-3.5645,-1.408
2.6108,-1.7385,-1.9968,-4.0315,1.7898,5.7732,-3.7897,4.0874,-0.4361,3.993,4.3204,0.0148
2.5865,-2.127,-1.224,-3.0991,2.8327,3.7719,-2.1149,3.5796,0.6205,4.2866,1.7799,0.1761
2.5068,-1.0272,-1.7852,-3.2904,2.129,4.2322,-2.3353,2.4699,0.0106,3.7492,2.3061,-0.0412
-0.6734,-0.2321,1.4411,0.3276,0.1695,-1.9152,0.4037,-1.5348,0.6927,-0.7078,-2.0696,-0.4719
0.9402,-0.4522,-1.9829,2.4484,-0.181,3.5321,1.2036,-0.4133,-1.5228,-1.7561,1.6874,-0.055
0.9116,0.0275,1.4121,2.6104,1.558,-2.5838,-1.0353,-1.3715,0.0736,-0.5497,0.1418,1.5415
