customer_id,tenure_months,monthly_spend,support_calls,city,plan,churned
1,23,638.37,0,Pune,premium,0
2,67,442.66,2,Mumbai,standard,0
3,50,1070.64,1,Chennai,basic,0
4,26,934.38,1,Pune,basic,0
5,10,1717.12,4,Delhi,basic,1
6,56,2271.74,0,Mumbai,premium,0
7,29,1428.22,1,Delhi,basic,1
8,42,948.27,1,Chennai,basic,0
9,44,844.6,0,Mumbai,standard,0
10,21,2049.83,0,Delhi,standard,0
11,26,2156.93,1,Mumbai,standard,0
12,66,2672.5,0,Delhi,premium,0
13,56,1542.4,3,Delhi,standard,0
14,62,1229.4,1,Pune,standard,0
15,10,1159.66,0,Mumbai,standard,0
16,26,1596.03,2,Delhi,premium,0
17,6,180.5,1,Delhi,basic,0
18,70,251.73,3,Mumbai,basic,0
19,48,824.21,1,Pune,basic,0
20,16,686.8,1,Mumbai,basic,1
21,58,1833.41,0,Mumbai,basic,0
22,58,1610.72,2,Chennai,standard,0
23,23,2808.1,2,Mumbai,standard,0
24,49,391.82,1,Delhi,standard,0
25,8,2624.27,1,Mumbai,standard,1
26,34,1670.61,2,Delhi,basic,0
27,40,583.4,2,Pune,standard,0
28,3,1188.06,2,Delhi,basic,0
29,54,1433.84,1,Chennai,basic,0
30,64,756.88,2,Chennai,premium,0
31,51,928.37,2,Pune,basic,1
32,41,2642.93,1,Pune,premium,0
33,70,693.42,1,Mumbai,premium,0
34,28,632.65,2,Mumbai,basic,0
35,30,1650.65,0,Chennai,standard,0
36,26,655.4,1,Mumbai,basic,0
37,33,825.68,1,Delhi,basic,0
38,47,1013.43,2,Mumbai,basic,0
39,36,1004.48,3,Delhi,basic,0
40,25,1834.29,1,Chennai,premium,0
41,44,1609.12,0,Mumbai,standard,0
42,37,1335.16,1,Chennai,standard,0
43,5,764.99,0,Mumbai,basic,0
44,27,958.44,1,Pune,basic,0
45,25,884.43,2,Delhi,basic,0
46,4,927.82,1,Pune,standard,0
47,3,707.96,1,Mumbai,basic,0
48,18,1017.92,0,Pune,standard,0
49,18,970.43,1,Mumbai,basic,1
50,60,1057.84,0,Mumbai,standard,0
51,64,1381.24,1,Pune,basic,0
52,59,1065.87,0,Delhi,standard,0
53,34,1176.75,1,Mumbai,standard,0
54,48,950.91,1,Mumbai,basic,0
55,48,1463.62,4,Mumbai,basic,0
56,34,766.55,3,Delhi,basic,1
57,30,1411.38,1,Pune,premium,0
58,69,518.51,1,Pune,premium,0
59,33,1083.17,2,Mumbai,basic,0
60,60,1509.76,1,Pune,premium,0
61,29,1415.93,1,Mumbai,premium,0
62,18,965.13,1,Delhi,basic,0
63,61,2975.1,2,Mumbai,premium,0
64,41,1416.49,3,Pune,basic,0
65,42,2309.18,1,Chennai,basic,1
66,68,1394.46,0,Mumbai,basic,0
67,7,1851.76,3,Mumbai,standard,1
68,56,599.66,1,Mumbai,standard,0
69,16,1362.48,1,Chennai,basic,0
70,27,653.58,2,Mumbai,standard,0
71,60,1582.66,1,Chennai,premium,0
72,34,864.8,2,Delhi,basic,1
73,13,990.51,2,Mumbai,basic,0
74,37,1385.65,2,Mumbai,basic,0
75,-1,2124.98,0,Mumbai,standard,0
76,65,969.47,0,Mumbai,basic,0
77,7,1316.36,2,Chennai,basic,0
78,51,1020.64,2,Chennai,standard,0
79,56,1344.21,4,Mumbai,premium,0
80,29,1111.64,0,Delhi,basic,0
81,17,1663.48,0,Mumbai,basic,0
82,33,809.62,2,Mumbai,basic,1
83,13,695.03,2,Delhi,standard,1
84,7,548.28,2,Delhi,standard,0
85,19,780.66,0,Mumbai,basic,1
86,35,930.48,0,Delhi,basic,1
87,46,1155.29,1,Mumbai,standard,0
88,17,481.43,0,Mumbai,premium,0
89,20,564.1,1,Delhi,premium,0
90,7,2175.24,3,Delhi,basic,0
91,35,1304.49,1,Pune,basic,0
92,7,2162.71,2,Mumbai,basic,1
93,23,1604.77,2,Mumbai,standard,0
94,16,582.43,2,Pune,standard,0
95,1,688.73,1,Mumbai,standard,1
96,50,643.82,0,Mumbai,basic,0
97,2,1089.45,1,Mumbai,basic,0
98,13,575.78,0,Mumbai,basic,0
99,28,1705.68,1,Delhi,standard,0
100,41,1088.76,4,Delhi,standard,0
101,70,2168.45,1,Chennai,basic,0
102,43,612.08,1,Pune,standard,0
103,23,824.34,0,Delhi,basic,0
104,69,1081.55,0,Mumbai,standard,0
105,53,2328.92,0,Delhi,basic,0
106,33,676.62,0,Pune,standard,0
107,29,1021.51,2,Delhi,basic,0
108,55,321.29,0,Mumbai,basic,0
109,3,1201.76,2,Chennai,basic,0
110,3,1094.24,1,Mumbai,standard,1
111,2,1613.97,3,Pune,standard,0
112,46,787.3,3,Mumbai,premium,0
113,31,1127.8,1,Delhi,basic,0
114,70,1306.03,0,Delhi,basic,0
115,45,1188.06,1,Mumbai,basic,0
116,4,1249.33,4,Delhi,standard,0
117,66,442.11,0,Pune,standard,0
118,65,1374.01,2,Pune,standard,0
119,18,723.58,2,Chennai,basic,0
120,12,638.37,1,Mumbai,standard,0
121,9,436.88,3,Pune,basic,0
122,48,1089.52,2,Mumbai,premium,0
123,6,827.72,1,Delhi,basic,1
124,2,689.32,1,Delhi,basic,1
125,24,1018.18,2,Mumbai,basic,0
126,5,1298.62,0,Chennai,basic,0
127,16,1933.7,2,Delhi,basic,0
128,10,1056.78,0,Mumbai,basic,0
129,63,1236.65,0,Delhi,premium,0
130,64,833.22,4,Chennai,basic,0
131,13,887.67,1,Delhi,premium,0
132,56,911.02,2,Pune,basic,1
133,7,1239.1,4,Delhi,standard,0
134,47,1252.12,1,Mumbai,standard,0
135,66,1154.8,0,Mumbai,basic,0
136,47,633.76,0,Delhi,premium,0
137,17,1287.08,1,Mumbai,premium,0
138,21,1000.34,0,Mumbai,premium,0
139,65,1000.37,2,Pune,standard,0
140,38,1035.3,3,Mumbai,basic,0
141,5,1586.63,3,Delhi,basic,1
142,35,1020.85,2,Chennai,standard,0
143,37,564.89,2,Chennai,standard,0
144,68,821.9,2,Pune,premium,0
