x,y
1.261,2.1603
1.9958,2.3009
1.204,2.6647
2.0563,1.2975
1.1851,1.2161
1.5694,2.7114
2.5367,1.6736
1.672,3.1578
2.5417,1.518
1.9102,1.7418
2.0909,2.5275
1.8351,2.2216
2.341,2.4701
1.6217,1.8669
3.1834,1.8884
2.0179,2.2646
1.6536,1.7662
3.0069,2.7779
1.3379,2.0391
1.2263,1.081
2.0016,2.9147
1.9509,2.8821
1.3659,2.0818
2.0486,2.0517
2.596,2.344
1.6706,1.1892
1.6677,1.9876
1.6696,1.085
0.9418,2.4868
2.1539,1.6487
2.2645,2.2967
1.8719,1.7437
2.6893,2.5119
2.8595,2.6073
2.155,1.7305
1.7944,1.6433
2.0392,2.1255
2.7,2.8086
1.9892,2.234
1.2947,1.5934
1.3482,2.076
1.6771,1.5355
1.9825,0.8751
1.9413,2.272
2.7395,1.2932
1.7382,0.7645
2.7908,1.8729
2.1281,1.0763
1.8358,1.6184
1.2543,1.2746
1.4077,1.455
0.9207,2.7637
1.9524,2.0361
2.0267,1.8022
1.8881,2.2559
1.7638,2.6834
1.7936,2.6124
1.3787,2.093
2.3331,2.7084
2.7243,1.3463
6.5395,3.8537
6.7038,2.0272
7.5871,3.2833
6.2151,2.5786
7.6858,2.6632
6.5989,2.6841
7.6985,1.9449
7.1166,2.9543
7.1555,3.308
6.8967,3.2206
7.1379,3.7135
5.5573,2.8119
6.9567,2.124
7.7301,3.236
5.9446,2.7847
7.3576,3.0155
6.5241,3.315
7.1501,2.4333
6.8404,3.7366
7.6717,2.4221
6.6133,3.8059
7.3315,3.0176
6.8073,3.1065
7.532,1.6271
7.4978,2.4602
6.229,2.6095
6.357,2.4053
7.0233,2.7457
7.5748,2.0954
7.4631,2.2929
7.0958,2.8061
7.5535,2.2595
7.0498,3.9215
7.7563,2.8537
7.4624,3.6524
7.3211,3.7278
7.6111,1.7029
7.4064,5.1358
6.8135,2.8539
7.0626,2.5639
6.8413,2.9738
8.2189,2.89
7.37,2.9166
6.4801,2.6396
6.3664,3.8432
6.885,2.1669
7.0188,4.2498
7.1847,3.0052
7.1956,2.794
6.4106,3.8035
5.0472,2.7065
6.4866,2.8947
6.5791,3.6944
7.9538,3.1106
6.2648,2.579
6.8038,2.4812
6.2754,4.0576
7.577,2.4352
6.489,3.0512
6.6143,3.3558
4.4848,7.0378
3.4599,6.8247
3.0313,6.7913
5.0859,6.6768
4.4132,7.7278
4.9687,6.2128
3.8845,6.6704
4.8198,7.6576
3.3737,6.6747
4.2196,8.2354
3.7867,7.7375
3.5044,6.2721
4.4952,6.5385
3.0696,7.7523
4.3671,6.2352
4.5148,7.2602
4.3353,6.3638
3.7514,5.7233
2.7224,7.4823
3.7187,7.1231
3.8637,6.6816
3.6901,7.2915
3.8523,6.0736
4.6697,7.8311
4.4568,7.886
4.1099,7.0135
4.6771,7.3225
3.2873,6.8947
4.0529,8.3108
4.0267,6.5389
3.3499,6.9009
3.6113,6.925
3.3915,6.0259
3.8241,7.1996
4.0625,6.0779
3.8091,7.4644
4.1615,6.6059
3.7134,6.7138
4.113,6.764
4.2567,7.0884
4.0782,7.4565
4.491,6.7495
3.8138,7.5376
3.8085,6.2499
3.6416,6.3536
3.968,7.0478
4.7842,7.2409
4.3488,7.8756
4.4368,6.465
3.9414,6.5972
3.8698,7.6923
5.6899,7.473
4.1353,6.5571
4.1496,7.9166
3.5248,7.2439
4.4835,7.5612
5.4121,7.0007
4.1437,6.3771
3.7158,6.4411
4.0495,7.2567
