f1,f2,f3,target
0.1047,-0.8065,0.892,6.6603
-0.9286,-1.1357,0.5135,2.2973
1.3191,1.2758,1.3556,5.7879
0.403,-0.349,0.5779,0.6396
0.5794,0.0661,-0.6986,1.1265
-0.1776,0.2655,-1.1554,-1.7229
-0.3637,-1.217,1.7757,-0.2828
0.7107,-0.1407,0.9528,4.8436
0.1756,-0.5476,0.0288,2.894
-0.1314,3.6417,-0.9858,-7.4037
-2.7848,0.7665,-1.3263,-10.6659
-1.399,1.3565,-0.8927,-5.109
-1.3231,0.0184,-1.2654,-3.9951
0.7417,-0.7936,0.094,4.8122
1.5063,2.0202,-2.2684,0.2418
-0.5006,-0.4063,0.8529,-0.3362
-0.439,-0.9313,1.5131,1.0848
1.3408,0.1319,-2.1365,3.6881
-0.1416,-1.4062,2.0727,4.1985
0.5135,0.377,0.898,2.4874
0.7343,-1.2341,0.6346,1.6441
0.3554,-2.6101,1.2088,8.1273
0.4472,-0.0946,0.5522,-2.2968
-0.8404,1.0842,-0.3856,-6.6304
-1.2932,2.119,0.8554,-7.7516
0.0891,0.3009,0.5627,6.2939
1.5381,0.7753,1.438,3.8602
-0.6564,-0.7444,0.2544,1.6697
0.4786,-0.0288,-0.8431,-0.7559
-0.2961,0.9279,0.8591,-2.6549
-1.1776,0.862,0.4984,-8.8691
0.4004,0.9739,0.3125,2.2662
1.8075,-0.4917,-0.9381,6.8754
0.3162,0.4985,-1.063,0.8728
0.5289,0.3239,-1.133,0.7572
-0.2904,1.1364,1.0072,-2.3203
-1.0946,0.81,0.0821,-3.2817
2.1987,-0.184,0.6642,7.4655
-1.581,1.1641,-0.0159,-3.4278
-0.5484,-0.4996,-0.1434,0.6287
-0.5733,0.6214,-0.4838,-4.3283
-0.2837,3.0222,-0.0451,-9.8341
0.5116,0.3108,-0.0561,0.4017
0.1421,-1.3478,0.7503,1.108
0.2481,0.1531,-1.1416,0.3714
0.9608,-1.4084,-0.0907,5.4236
-0.7007,-1.4378,1.5623,-1.8188
1.4338,1.287,-0.0061,4.6414
-0.8896,0.1835,-0.1414,-4.755
-1.8243,1.2042,0.8367,-11.7549
-0.6326,-1.0399,-0.0758,3.4834
0.2108,2.1964,0.4143,-4.1699
-1.0331,0.6606,-1.2316,-7.0294
-1.0526,0.5112,-0.2208,-5.7857
-1.4503,-0.7081,-0.4842,-3.2421
-1.0514,-0.4928,0.1286,-2.2733
-0.2701,-0.88,0.7451,-1.3974
1.5829,0.8828,-1.0952,1.9124
-0.8215,0.0947,0.1831,-2.438
-0.9539,0.4837,0.0217,-2.8193
-1.2312,-1.773,0.0057,-4.1777
-0.6702,1.9604,-0.9498,-7.8526
-0.5993,2.8348,-1.1785,-12.1536
1.0377,0.1942,-0.2986,0.8494
-1.0815,0.1441,1.5791,-4.9983
0.8922,0.0075,0.9404,4.5448
-0.3518,0.2049,1.2151,-0.6059
0.0942,0.8932,0.1473,-1.7503
-1.051,1.3456,-0.7042,-6.1232
1.3721,1.103,1.4537,1.0871
0.8067,-0.1511,-0.9026,-1.5056
-0.5113,-0.5131,1.0701,-2.5238
-1.6556,0.9988,-0.2516,-4.5418
0.4607,0.9379,0.64,-0.6571
1.0817,-0.6806,-0.4218,10.2108
-1.3269,-0.1984,-0.1114,-1.7192
0.4136,0.6053,1.2415,1.4761
1.3238,-0.5708,-0.1836,7.1018
-0.3819,-0.2856,1.1404,-1.1401
1.5627,0.7495,0.581,4.2455
-0.8456,-0.504,-0.0873,-1.7038
-2.3306,0.4164,-0.1543,-5.6278
1.8574,-0.1137,-1.6719,0.2993
0.1472,-0.1335,0.2864,-1.4424
-1.1096,0.0561,-1.7909,-3.9543
0.3961,-0.1499,-2.2803,1.3332
0.7359,1.1032,1.1837,5.0371
0.7323,-0.5861,-0.7148,2.5269
0.5303,1.148,2.8206,2.4441
0.3552,-1.7482,-0.3093,0.8859
0.8671,0.6636,1.0782,3.6534
-0.8887,-0.4096,0.7181,0.4525
0.4381,0.4171,-0.5996,-0.7471
-0.4702,0.5285,0.9218,-0.6738
-1.2732,0.2242,0.6022,-3.1367
0.3198,0.351,-0.0771,1.3951
-0.7347,1.1738,-1.2764,-5.5659
0.2922,-1.1644,-0.6373,6.3102
-0.1495,-1.0626,0.0709,6.9783
0.8446,1.1845,-0.4644,-0.6917
0.2944,-0.5066,-1.1367,0.4962
-0.5948,2.0143,-1.0524,-10.0542
-0.6117,-0.3677,0.9767,-0.1971
0.1041,-0.5775,-0.6425,4.0344
0.2064,0.2009,-1.8163,-4.0276
0.0683,0.1507,0.3412,-1.7081
-0.396,0.4722,-1.17,0.885
0.2083,2.7672,0.428,-8.8521
-0.9328,0.6026,0.9941,-0.2461
0.7563,-0.3287,0.1202,4.6075
0.2933,3.2394,-1.8992,-7.4214
-0.3693,-0.2717,-0.3343,-2.4332
0.0875,1.1389,-1.2537,-2.4956
-0.1858,-0.9866,0.6216,5.4992
1.8751,-1.0036,-0.1502,4.3384
-0.3837,-0.9633,-0.4386,4.426
-0.0607,-1.288,0.7598,5.4922
-0.9382,-2.172,0.1125,0.3389
-0.2593,0.6896,-0.0393,-2.1761
0.3001,0.5335,-1.2598,0.8328
