income_right_skewed,height_symmetric,easy_exam_left_skewed
33157.4,172.17,99.57
56381.4,166.15,91.93
95033.4,161.08,79.2
19624.5,169.63,54.09
30627.9,172.47,80.27
32769.8,155.83,86.46
4334.9,161.33,62.6
14971.8,172.14,64.12
61875.2,159.63,90.64
31861.7,171.2,62.89
53368.8,153.18,91.85
22069.8,161.21,95.77
20017.1,164.27,74.73
26538.9,171.08,76.93
57293.1,164.33,98.27
59439.8,173.65,73.62
21130.9,161.64,92.43
29746.0,178.86,90.17
38525.1,182.36,90.44
35813.2,167.67,77.32
45048.1,155.12,99.03
64495.4,163.72,88.41
51138.5,162.54,94.1
24221.3,163.93,84.2
25138.6,164.53,95.05
24450.6,179.66,60.9
65560.9,184.32,76.21
76306.1,167.61,92.88
69677.3,170.66,70.59
70429.3,171.59,97.26
38366.2,163.16,83.85
51456.3,160.5,95.11
7163.0,155.05,84.42
43908.0,152.71,93.18
7320.0,159.56,92.4
25818.8,166.72,79.01
32079.0,159.05,85.74
76193.3,162.97,83.66
51787.3,161.62,87.52
11252.0,160.01,91.14
53608.5,157.37,95.66
51099.6,168.2,82.14
58919.9,155.94,88.62
17743.5,176.35,95.72
51234.7,157.25,92.0
73721.7,165.01,93.14
27685.1,157.15,97.02
56676.9,158.86,95.0
65982.2,161.53,89.14
17129.3,166.94,89.41
2755.5,167.54,96.82
38254.3,155.81,89.1
25561.1,148.37,92.48
34598.2,169.14,89.28
32694.7,159.1,84.82
49265.0,157.8,96.2
25243.7,163.18,83.96
6941.8,163.99,87.45
53421.6,173.07,96.48
31831.5,163.86,93.78
61846.0,169.28,87.74
15584.2,170.38,89.24
46326.7,171.03,76.47
156495.5,160.88,84.2
21463.7,174.51,94.3
6175.8,167.69,89.98
96367.9,167.14,55.73
19963.2,171.92,81.26
50680.0,160.82,93.4
40403.1,148.23,91.71
41861.0,156.72,94.06
18662.5,173.27,92.91
3115.5,167.41,96.05
26085.9,177.4,91.2
11403.2,161.71,86.46
68692.6,165.38,84.65
39473.2,156.33,92.75
44904.6,161.36,83.12
28371.9,179.1,95.31
11744.9,167.05,92.2
24261.8,154.62,76.88
13443.2,169.49,77.77
42156.6,171.0,79.49
8202.0,162.31,97.32
43080.3,161.44,87.28
53887.0,167.9,54.98
70443.8,170.81,98.45
16404.4,169.89,82.85
18102.5,161.59,98.28
6043.9,158.88,76.73
12006.9,157.58,96.77
20398.1,173.2,59.66
32186.0,164.16,96.88
26829.6,162.1,89.53
77900.0,170.49,97.07
31155.6,177.05,62.95
69484.2,175.65,95.92
52728.9,165.8,95.17
40801.5,159.26,86.44
18884.2,157.19,92.06
29203.4,172.82,79.73
6086.2,158.45,94.05
90269.0,168.14,89.92
45700.0,170.8,90.94
48355.5,175.95,81.22
17038.8,164.69,70.57
35965.1,170.68,91.67
32602.6,157.87,82.97
52368.7,158.94,74.2
49327.4,180.51,93.77
44637.5,161.83,98.21
46729.7,172.01,79.34
28108.6,170.25,96.88
15281.5,167.03,90.71
20691.7,155.88,87.42
41814.0,171.11,64.79
