area,income
north,30006.0
north,31494.0
north,28629.0
north,25547.0
north,27727.0
north,25042.0
north,30301.0
north,36701.0
north,27539.0
north,26898.0
north,32449.0
north,31784.0
north,30527.0
north,25348.0
north,29854.0
north,33477.0
north,23279.0
north,27712.0
north,20494.0
north,23552.0
north,20791.0
north,28825.0
north,23663.0
north,31356.0
north,30784.0
north,29065.0
north,17416.0
north,27307.0
north,29757.0
north,30567.0
north,22349.0
north,27611.0
north,25107.0
north,25956.0
north,35304.0
north,25962.0
north,29837.0
north,34422.0
north,27082.0
north,29441.0
north,30552.0
north,30319.0
north,23875.0
north,30381.0
north,36794.0
north,22264.0
north,34297.0
north,30597.0
north,26793.0
north,40002.0
north,33811.0
north,24004.0
north,30373.0
north,32883.0
north,29056.0
north,33415.0
north,29667.0
north,33336.0
north,37193.0
north,26622.0
north,31016.0
north,27683.0
north,30636.0
north,24064.0
north,27103.0
north,29019.0
north,34494.0
north,35726.0
north,23382.0
north,26027.0
north,33235.0
north,20038.0
north,27684.0
north,29514.0
north,36285.0
north,33447.0
north,28364.0
north,28157.0
north,28749.0
north,37618.0
north,27860.0
north,28482.0
north,31763.0
north,29396.0
north,29014.0
north,24430.0
north,29942.0
north,27782.0
north,35831.0
north,33265.0
north,29879.0
north,33342.0
north,28301.0
north,35261.0
north,29973.0
north,32917.0
north,23546.0
north,31733.0
north,21559.0
north,19823.0
north,28478.0
north,25500.0
north,30820.0
north,41224.0
north,25841.0
north,26880.0
north,31027.0
north,32465.0
north,29118.0
north,28970.0
north,33512.0
north,32600.0
north,24832.0
north,29604.0
north,30176.0
north,24728.0
north,31299.0
north,25710.0
north,34860.0
north,30964.0
north,30447.0
north,27045.0
north,29407.0
north,20011.0
north,24343.0
north,31814.0
north,19357.0
north,34233.0
north,21270.0
north,33784.0
north,25773.0
north,33895.0
north,30655.0
north,22316.0
north,36246.0
north,37209.0
north,29671.0
north,28630.0
north,29201.0
north,25124.0
north,35493.0
north,27286.0
north,29744.0
north,26034.0
north,26870.0
north,23611.0
north,36285.0
north,29230.0
north,34830.0
north,30067.0
north,26528.0
north,28367.0
north,27199.0
north,30040.0
north,28124.0
north,28500.0
north,23107.0
north,25966.0
north,38270.0
north,26644.0
north,24730.0
north,31687.0
north,37036.0
north,22730.0
north,28957.0
north,26840.0
north,21195.0
north,33675.0
north,29883.0
north,30357.0
north,26238.0
north,32274.0
north,27304.0
north,29285.0
north,24459.0
north,23919.0
north,36678.0
north,27464.0
north,31458.0
north,29831.0
north,27794.0
north,27460.0
north,33150.0
north,28491.0
north,29243.0
north,30111.0
north,35883.0
north,33403.0
north,31913.0
north,27182.0
north,23090.0
north,34748.0
north,34832.0
north,29296.0
north,32709.0
north,33907.0
north,34156.0
north,34607.0
north,27722.0
north,37575.0
north,23767.0
north,34309.0
north,32470.0
north,34368.0
north,39395.0
north,37422.0
north,24274.0
north,21557.0
north,34084.0
north,24925.0
north,29938.0
north,34199.0
north,21781.0
north,19450.0
north,31296.0
north,30222.0
north,28771.0
north,30193.0
north,25697.0
north,22433.0
north,29167.0
north,25141.0
north,21783.0
north,32528.0
north,29693.0
north,32033.0
north,25054.0
north,26710.0
north,25005.0
north,25567.0
north,30977.0
north,26085.0
north,31780.0
north,31699.0
north,40126.0
north,23036.0
north,34440.0
north,29553.0
north,29930.0
north,22751.0
north,27699.0
north,33716.0
north,29588.0
north,30405.0
north,28546.0
north,35773.0
north,29893.0
north,18998.0
north,26540.0
north,20156.0
north,13743.0
north,27349.0
north,36668.0
north,30236.0
north,24137.0
north,25297.0
north,35653.0
north,30788.0
north,30240.0
north,29733.0
north,30192.0
north,34027.0
north,32763.0
north,31079.0
north,24786.0
north,32556.0
north,26579.0
north,35469.0
north,23645.0
north,29312.0
north,29963.0
north,23377.0
north,38610.0
north,37302.0
north,27682.0
north,33859.0
north,31893.0
north,16932.0
north,31252.0
north,29693.0
north,30416.0
north,24616.0
north,28653.0
north,29109.0
north,35940.0
north,31672.0
north,29972.0
north,37645.0
north,27224.0
north,28053.0
north,20916.0
north,37846.0
north,34822.0
north,34584.0
north,33344.0
north,30551.0
north,31077.0
north,28740.0
north,28982.0
north,30272.0
north,37559.0
north,32778.0
north,29708.0
north,27103.0
north,26825.0
north,38014.0
north,32533.0
north,30338.0
north,28269.0
north,24455.0
north,29666.0
north,34368.0
north,28037.0
north,28864.0
north,28895.0
north,30548.0
north,22035.0
north,28823.0
north,25728.0
north,34423.0
north,26147.0
north,32885.0
north,37622.0
north,28432.0
north,26992.0
north,30957.0
north,29990.0
north,25032.0
north,32305.0
north,40078.0
north,28709.0
north,28986.0
north,24775.0
north,31595.0
north,23765.0
north,24465.0
north,36398.0
north,25473.0
north,35407.0
north,37622.0
north,31297.0
north,32767.0
north,39761.0
north,29016.0
north,27035.0
north,23234.0
north,30209.0
north,37396.0
north,34798.0
north,25290.0
north,25723.0
north,27479.0
north,31461.0
north,28973.0
north,31072.0
north,31484.0
north,28506.0
north,29799.0
north,31033.0
north,29580.0
north,32518.0
north,39354.0
north,32960.0
north,30279.0
north,21569.0
north,31940.0
north,20267.0
north,22955.0
north,34273.0
north,33531.0
north,29250.0
north,21450.0
north,28143.0
north,26606.0
north,33184.0
north,41289.0
north,31085.0
north,26103.0
north,24147.0
north,29720.0
north,29116.0
north,24242.0
north,30582.0
north,24245.0
north,35561.0
north,35313.0
north,35424.0
north,27630.0
north,32573.0
north,29340.0
north,28056.0
north,28304.0
north,23501.0
north,22781.0
north,33972.0
north,29044.0
north,31082.0
north,35009.0
north,21334.0
north,26079.0
north,30877.0
north,31960.0
north,28115.0
north,35146.0
north,31052.0
north,23933.0
north,25346.0
north,34027.0
north,32319.0
north,20505.0
north,36739.0
north,32990.0
north,36717.0
north,28081.0
north,28521.0
north,24368.0
north,42685.0
north,29123.0
north,37938.0
north,26764.0
north,30819.0
north,21643.0
north,28086.0
north,34919.0
north,23741.0
north,35361.0
north,31686.0
north,24780.0
north,27492.0
north,27705.0
north,29752.0
north,27319.0
north,25864.0
north,28477.0
north,24866.0
north,23552.0
north,29759.0
north,34414.0
north,22353.0
north,30018.0
north,26750.0
north,25114.0
north,34267.0
north,27409.0
north,37492.0
north,26101.0
north,31933.0
north,28864.0
north,26230.0
north,32938.0
north,29225.0
north,33016.0
north,29764.0
north,24571.0
north,29490.0
north,30260.0
north,34792.0
north,25469.0
north,29803.0
north,21391.0
north,33257.0
north,24593.0
north,20968.0
north,29704.0
north,35528.0
north,22378.0
north,24560.0
north,26284.0
north,24353.0
north,31897.0
north,25963.0
north,26392.0
north,32917.0
north,26222.0
north,32164.0
north,25143.0
north,23939.0
north,20823.0
north,39306.0
north,28399.0
north,31220.0
north,29845.0
north,30800.0
north,30248.0
north,39541.0
north,24805.0
north,22213.0
north,24940.0
north,23326.0
