shop,city,amount,ts
40,Mumbai,444.79,2024-01-01 00:00:00
24,Mumbai,486.78,2024-01-01 00:01:00
39,Mumbai,562.1,2024-01-01 00:02:00
15,Pune,520.28,2024-01-01 00:03:00
1,Delhi,480.43,2024-01-01 00:04:00
13,Mumbai,512.47,2024-01-01 00:05:00
48,Mumbai,526.35,2024-01-01 00:06:00
49,Delhi,522.77,2024-01-01 00:07:00
34,Mumbai,313.12,2024-01-01 00:08:00
10,Delhi,450.84,2024-01-01 00:09:00
25,Delhi,315.73,2024-01-01 00:10:00
1,Delhi,540.26,2024-01-01 00:11:00
8,Pune,542.46,2024-01-01 00:12:00
42,Delhi,687.29,2024-01-01 00:13:00
34,Pune,501.17,2024-01-01 00:14:00
8,Delhi,359.0,2024-01-01 00:15:00
42,Pune,265.06,2024-01-01 00:16:00
42,Delhi,646.3,2024-01-01 00:17:00
9,Pune,674.36,2024-01-01 00:18:00
36,Mumbai,330.32,2024-01-01 00:19:00
9,Pune,424.81,2024-01-01 00:20:00
3,Pune,610.22,2024-01-01 00:21:00
10,Mumbai,780.69,2024-01-01 00:22:00
5,Delhi,380.36,2024-01-01 00:23:00
41,Pune,451.79,2024-01-01 00:24:00
22,Mumbai,458.5,2024-01-01 00:25:00
23,Delhi,298.82,2024-01-01 00:26:00
37,Pune,516.04,2024-01-01 00:27:00
28,Delhi,600.94,2024-01-01 00:28:00
5,Mumbai,458.27,2024-01-01 00:29:00
20,Pune,461.42,2024-01-01 00:30:00
8,Delhi,389.61,2024-01-01 00:31:00
36,Mumbai,374.75,2024-01-01 00:32:00
38,Mumbai,250.89,2024-01-01 00:33:00
29,Delhi,233.77,2024-01-01 00:34:00
16,Pune,599.23,2024-01-01 00:35:00
15,Pune,569.23,2024-01-01 00:36:00
40,Pune,361.51,2024-01-01 00:37:00
22,Delhi,489.45,2024-01-01 00:38:00
5,Pune,572.5,2024-01-01 00:39:00
9,Mumbai,647.08,2024-01-01 00:40:00
47,Pune,647.19,2024-01-01 00:41:00
39,Pune,311.93,2024-01-01 00:42:00
0,Mumbai,737.57,2024-01-01 00:43:00
35,Delhi,603.39,2024-01-01 00:44:00
7,Pune,446.72,2024-01-01 00:45:00
39,Mumbai,584.8,2024-01-01 00:46:00
3,Delhi,371.65,2024-01-01 00:47:00
2,Pune,427.5,2024-01-01 00:48:00
33,Mumbai,549.83,2024-01-01 00:49:00
7,Delhi,480.63,2024-01-01 00:50:00
44,Pune,365.15,2024-01-01 00:51:00
11,Delhi,288.69,2024-01-01 00:52:00
4,Pune,504.59,2024-01-01 00:53:00
18,Pune,233.98,2024-01-01 00:54:00
19,Pune,412.45,2024-01-01 00:55:00
26,Delhi,392.63,2024-01-01 00:56:00
43,Pune,344.49,2024-01-01 00:57:00
46,Delhi,310.07,2024-01-01 00:58:00
3,Delhi,527.2,2024-01-01 00:59:00
2,Delhi,482.27,2024-01-01 01:00:00
17,Delhi,580.1,2024-01-01 01:01:00
32,Delhi,568.34,2024-01-01 01:02:00
19,Mumbai,323.58,2024-01-01 01:03:00
11,Pune,676.04,2024-01-01 01:04:00
19,Delhi,389.07,2024-01-01 01:05:00
11,Delhi,319.52,2024-01-01 01:06:00
46,Mumbai,440.83,2024-01-01 01:07:00
32,Mumbai,378.29,2024-01-01 01:08:00
41,Pune,438.21,2024-01-01 01:09:00
