actual,model_a_spread_out,model_b_one_disaster
500.0,520.0,2500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
500.0,520.0,500.0
