f1,f2,f3,f4,f5,f6,target
0.4278,-0.5708,2.6545,-1.6085,0.6617,-0.1434,9.0768
-0.3545,1.0664,-1.8179,-0.9847,-0.1142,1.7413,-5.0806
0.089,0.8957,-1.8633,-1.2389,0.9695,-0.6282,3.6819
-0.063,0.7309,-2.205,-1.2012,-0.0938,-1.5465,0.9966
-0.7106,-0.0424,-0.6651,-0.2688,0.0411,1.3302,1.8908
1.5787,-0.3946,-0.8278,0.8893,0.5106,0.2491,1.4285
-0.9082,0.645,0.8722,-1.7848,1.0174,-0.0728,-1.2844
-0.7435,-1.5771,-0.3418,-0.0611,-0.3748,-1.2044,-3.288
-1.1953,0.7054,0.0477,0.2846,0.6291,0.7176,0.4389
1.7351,-0.0713,-0.2595,-0.9582,0.2494,0.2645,1.2295
-0.7597,-0.0325,-0.0181,3.6644,-0.5105,1.246,-1.1129
0.4066,-0.0918,0.4082,0.3584,-0.0318,-0.2495,-1.046
-0.3744,-0.3856,0.2791,-0.118,0.964,1.3795,2.5909
-0.0554,-0.2984,1.32,-0.0707,0.2102,-0.3851,-0.8811
0.1334,1.2941,0.8955,-1.0924,-0.8508,-0.4077,-4.7908
-0.3026,0.7013,-2.1299,1.2894,-1.1491,1.0378,-0.3219
-1.2596,-0.2053,0.8653,0.0359,1.169,2.5106,-1.3044
-0.5182,-0.9742,-1.1682,-1.5043,-0.2727,-1.5988,-3.9154
-2.6518,-0.6487,1.6071,0.2632,-1.2921,-0.8836,1.8835
0.8019,0.202,-0.417,1.1162,0.2947,-0.3951,0.6338
-0.0088,0.3061,1.2717,-1.0876,-0.1402,-0.2969,1.4468
-2.0103,-0.6781,-1.6098,0.1014,-0.2048,0.277,-1.6133
0.2477,-1.6234,-0.0276,0.4325,0.9187,0.005,-1.6834
-0.6134,0.2225,1.3178,0.2192,-1.7045,0.4804,3.91
0.0275,0.0008,-0.4313,0.0245,0.0845,-1.4471,6.6766
0.7858,-0.3076,-0.1459,-0.4056,1.4053,1.0091,1.674
1.4559,-0.3233,-1.3904,-0.3066,1.1066,1.2416,3.9263
-0.8729,1.2509,-1.444,-0.1198,0.0895,1.4672,-1.9035
-1.8958,-1.4975,-2.3263,-1.0332,-2.0647,0.3452,0.4252
-1.2155,-0.7431,2.0163,0.4274,-0.6042,0.4856,-3.685
0.5772,1.1463,-0.7871,0.2162,-0.0541,-0.1417,5.3627
-0.476,0.7892,0.7041,-1.6209,-0.7581,-0.1448,-3.3771
0.7626,0.2001,0.835,-0.2289,-0.5585,0.1606,0.775
1.3129,-0.6912,-0.4252,-0.7497,-0.1383,0.9438,4.2377
-0.0303,-0.2106,-0.4158,-1.2341,-0.3059,-2.8784,2.2583
0.2085,-0.6154,0.4879,-0.0021,-0.0777,-0.8629,1.6148
0.9039,0.8593,-1.3148,0.0905,1.501,0.1562,8.4105
-0.9699,-1.9028,1.3455,-1.3574,-2.027,1.0093,-4.4287
0.5409,0.0114,0.3473,-0.1376,0.4579,0.034,-3.2328
0.1676,-0.0096,0.5125,-0.7152,0.1403,-1.7751,2.9824
-0.4637,1.1726,-0.1478,-0.5896,-0.3968,0.6682,-6.7437
-0.8195,1.6763,0.0342,0.3677,2.1399,2.0075,-1.5454
